# UBS DNTG (Louw-Nida) jelentesek magyar forditasa. Kulcs: strong + entry_kod. Sema: adat/SEMA.md 2.10
strong	entry_kod	lexid	definicio_hu	glosszak_hu	megjegyzes	proveniencia
G0012	1.20	000012001001000	(az ἄβυσσος 'verem' jelentés átvitt kiterjesztése, amely az Újszövetségben nem fordul elő) a halottak helye, és az a hely, ahol az Ördögöt fogva tartják (Jel 20:3); a fenevadnak mint antikrisztusnak a lakóhelye (Jel 11:7), valamint Abaddoné, az alvilág angyaláé (Jel 9:11)	mélység; a gonosz lelkek lakóhelye; igen mély hely		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G0086	1.19	000086001001000	a halottak helye vagy lakóhelye, az igazakat és a hamisakat egyaránt beleértve (a legtöbb szövegösszefüggésben a ᾅδης[a] a héber seol megfelelője)	a halottak világa; Hádész		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G0086	23.108	000086001002000	(a ᾅδης[a] 'Hádész' [Louw–Nida 1.19] jelentés átvitt kiterjesztése: a Hádésznak mint a halottak helyének hatalmát személyesíti meg)	halál; a halál hatalma		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G0282	10.17	000280001001000	olyan személy, akinek anyjáról nincs feljegyzés, vagy akinek sohasem volt anyja, vagy akinek anyja meghalt	anya nélküli		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1311	20.40	001325001001000	valakinek vagy valaminek a teljes pusztulását okozni	teljesen elpusztítani		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1311	88.266	001325001002000	valakit romlottá vagy züllötté tenni, az erkölcsi pusztulás egy fajtájaként	megrontani; elferdíteni; tönkretenni; valakinek erkölcsi romlását okozni	forrásban {N:001} lábjegyzet	forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1941	33.131	001957001001000	valakiről szólva megjelölést (címet, jelzőt) alkalmazni	hívni; nevezni		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1941	11.28	001957001004000	(idióma, szó szerint: valakinek a nevét valakire hívják) elismertnek lenni úgy, mint aki ahhoz tartozik, akinek a nevét rá hívták	(Isten) népéhez tartozni; valakinek a népe lenni		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1941	33.176	001957001002000	valakit arra hívni, hogy tegyen valamit; rendszerint segítségkérést is magában foglal	segítségül hívni; folyamodni valakihez; segítséget kérni		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G1944	33.475	001960001001000	átkozott állapotra vonatkozó	átkozott; elátkozott	a UBS-ben azonos L–N egység: G1944a ἐπάρατος (eparatosz) — nem ez a címszó; a lexid a strong_kod pontos egyezésével dőlt el (G1944 = ἐπικατάρατος), l. LEXV2_2_BRIEF.md döntésnapló v2	forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G2671	33.474	002680001003000	az, amit megátkoztak	átkozott; elátkozott		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G4151	12.33	004054001002000	természetfeletti, nem anyagi lény	szellem		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G4151	12.18	004054001001000	a Szentháromság harmadik személyének címe, szó szerint: szellem	Szellem; Isten Szelleme; Szent Szellem		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G4151	26.9	004054001005000	a nem anyagi, pszichológiai képesség, amely képes Isten iránt fogékony lenni és Istennek válaszolni (a πνεῦμα[e] ellentétben áll a σάρξ[f]-fel [Louw–Nida 26.7]: az isteni kifejeződése a pusztán emberivel szemben)	szellem; szellemi; szellemi természet; belső lény		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5010	58.21	004915001003000	valamely dolog fajtája vagy típusa, más hasonló dolgokkal való szembeállítást és összehasonlítást feltételezve	fajta; típus		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5351	88.266	005241001003000	valakit romlottá vagy züllötté tenni, az erkölcsi pusztulás egy fajtájaként	megrontani; elferdíteni; tönkretenni; valakinek erkölcsi romlását okozni	forrásban {N:001} lábjegyzet	forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5356	23.205	005246001002000	rothadni vagy bomlani, szerves anyagra vonatkoztatva	rothadni; bomlani; bomlás		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5590	23.88	005475001002000	az ember vagy más élőlény létezése, amelyet a belélegezhető levegő és az ennivaló jelenléte tart fenn	élet		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5590	26.4	005475001001000	az élet lényege a gondolkodás, az akarás és az érzés tekintetében	belső én; elme; gondolatok; érzések; szív; lény		forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
G5590	9.20	005475001003000	(a ψυχή[a] 'belső én, elme' [Louw–Nida 26.4] jelentés átvitt kiterjesztése) személy mint élő lény	személy; emberek	forrásban {N:001} lábjegyzet	forras=UBS_DNTG_jelentesek.tsv | forditas=chat-jovahagyas 2026.09.22
