# GENERÁLT: eszkozok/grammatikai_strongok_general.py — kézzel nem szerkesztendő.
# A kézi listák (HEBER_KEZI, GOROG_KEZI) és a TILTOLISTA a szkript forrásában élnek.
# proveniencia-heber: scope=OT-full | forras=TAHOT_kivonat.tsv | tartomany=H9xxx | n=44 | elofordulas=169598 | ts=2026-09-13T18:39Z
# proveniencia-gorog: scope=NT-full | forras=TAGNT_kivonat.tsv | modszer=teteles-lista | n=31 | elofordulas=65646 | ts=2026-09-13T18:39Z
# A TAGNT G9xxx tartomanya NEM grammatikai (7 ritka lexikai szo), ezert a gorog
# oldalnak nincs gepi alapja — teteles lista, soronkent indokolva.
strong	rovid_jelentes	kategoria	kizaras_oka
G0235	hanem	kotoszo	Ellentétes kötőszó (ἀλλά).
G0575	-tól, -től	eloljaro	Elöljáró (ἀπό). Héber párja szintén a H9006.
G0846	ő, az, maga	nevmas	Személyes/visszaható névmás (αὐτός). Héber párja a H9023 stb. névmási szuffixum-sor, a gépi alapban.
G1063	mert, ugyanis	partikula	Magyarázó partikula (γάρ). Az érvelés szerkezetét jelöli, nem a tartalmát.
G1161	pedig, de	partikula	Mondatkapcsoló partikula (δέ). Tisztán diskurzus-jelölő, nincs fogalmi tartalma.
G1223	által, keresztül	eloljaro	Elöljáró (διά).
G1437	ha	kotoszo	Feltételes kötőszó (ἐάν).
G1473	én	nevmas	Személyes névmás (ἐγώ, alanyeset).
G1487	ha	kotoszo	Feltételes kötőszó (εἰ).
G1519	-ba, felé	eloljaro	Elöljáró (εἰς). Héber párja részben a H9005 (לְ).
G1537	-ból, -ből	eloljaro	Elöljáró (ἐκ). Héber párja a H9006 (מִן).
G1565	az	nevmas	Mutató névmás (ἐκεῖνος).
G1722	-ban, -ben	eloljaro	Elöljáró (ἐν). Héber párja a H9003 (בְּ), a gépi alapban.
G1909	-on, -en, -ra	eloljaro	Elöljáró (ἐπί).
G2228	vagy	kotoszo	Választó kötőszó (ἤ).
G2532	és	kotoszo	Mellérendelő kötőszó (καί). Héber párja a H9002 (ו), a gépi alapban.
G2596	szerint, ellen	eloljaro	Elöljáró (κατά).
G3165	engem, én, mi	nevmas	Személyes névmás (ἐγώ, függő esetek). A TAGNT a TÖBBES SZÁMÚ alakokat is ide sorolja (ἡμῶν), ezért a G2249 (ἡμεῖς) nem kap sort — a kivonatban 0 előfordulású.
G3326	-val, után	eloljaro	Elöljáró (μετά).
G3361	ne, nem	tagadoszo	Tagadószó (μή).
G3588	a, az	nevelo	Határozott névelő (ὁ). A héber oldalon ezt a H9009 (ה) fedi le, ami a gépi H9xxx alapban van.
G3739	aki, amely	vonatkozo_nevmas	Vonatkozó névmás (ὅς). Héber párja a H0834 (אֲשֶׁר), kézi kiegészítésként.
G3754	hogy, mert	kotoszo	Alárendelő kötőszó (ὅτι). Héber párja a H3588 (כִּי).
G3756	nem	tagadoszo	Tagadószó (οὐ). Héber párja a H3808 (לֹא), kézi kiegészítésként.
G3767	tehát	partikula	Következtető partikula (οὖν).
G3778	ez	nevmas	Mutató névmás (οὗτος).
G4012	-ról, felől	eloljaro	Elöljáró (περί).
G4314	-hoz, felé	eloljaro	Elöljáró (πρός).
G4771	te, ti	nevmas	Személyes névmás (σύ). A TAGNT a többes számú alakokat is ide sorolja, ezért a G5210 (ὑμεῖς) nem kap sort — a kivonatban 0 előfordulású.
G4862	-val együtt	eloljaro	Elöljáró (σύν).
G5259	által	eloljaro	Elöljáró (ὑπό).
H0834	amely, aki	vonatkozo_nevmas	Vonatkozó névmás (אֲשֶׁר). Tisztán szerkezeti elem: alárendelt tagmondatot vezet be, a tagmondat tartalmáról semmit nem mond.
H0853	[tárgy jelölője]	targyrag	Tárgyrag (אֵת). Nem hordoz jelentést, csak a határozott tárgyat jelöli; gyakorlatilag minden tranzitív mondatban jelen van, ezért minden metszetbe bekerül.
H3808	nem	tagadoszo	Tagadószó (לֹא). A tagadás formális jelölője; a tagadott fogalom hordozza a tartalmat, nem maga a partikula.
H9001	&	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9002	and	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9003	in	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9004	like	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9005	to	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9006	from	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9007	which	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9008	¿	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9009	the	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9010	the	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9011	to	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9012	emph.	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9013	emph.	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9014	link	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9020	my	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9021	your	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9022	your	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9023	his	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9024	her	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9025	our	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9026	your	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9027	your	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9028	their	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9029	their	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9030	me	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9031	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9032	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9033	him	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9034	her	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9035	us	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9036	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9037	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
