# Szotari hivatkozasok. Kulcs: szotar + strong + entry_id + jelentes_szam. Sema: adat/SEMA.md 2.5
strong	szotar	entry_id	jelentes_szam	szoveg_en	forditas_hu	forrasfajl
H7121	BDB	H7121	2.c	c. ׳ק י ׳בְּשֵׁם call with name of ׳י (i.e. use it in invocation): Gen 4:26; 12:8; 2Kin 5:11; Jer 10:25 = Psa 79:6 16t. (1Kin 18:24 of specific appeal to ׳י to display his power), + Isa 65:1 (see Pu`al); with name of Baal 1Kin 18:24-25, 26.	c. ׳ק י ׳בְּשֵׁם hívni ׳י nevével (azaz használni azt a segítségül hívásban): 1Móz 4:26; 12:8; 2Kir 5:11; Jer 10:25 = Zsolt 79:6, összesen 16-szor (1Kir 18:24: annak konkrét kérésére, hogy ׳י mutassa meg hatalmát), továbbá Ézs 65:1 (l. Pual); Baál nevével: 1Kir 18:24-25, 26.	konkordancia/BDB_teljes_unabridged.tsv
H7121	BDB	H7121	3	3 proclaim: a. with accusative of thing procl. Amos 4:5; Gen 41:43; Deut 15:2; Jer 31:6; Lev 25:10 +; ׳ק צוֺם proclaim a fast 1Kin 21:9, 12; Jer 36:9 +, ׳ק י ׳מוֺעֲדֵי Lev 23:2, 4; ׳ק followed by oratio recta [direct speech] Exod 34:6, etc.; followed by ל person Jer 34:8, 15, 17 (twice in verse); Isa 61:1, עַל person (against, concerning) 1Kin 13:4, 32; Jer 49:29; Lam 1:15; proclaim peace to (ל person) Judg 21:13; compare ׳ק לְשָׁלוֺם אֵלֶיהָ Deut 20:10; ׳ק with accusative of congnate meaning with verb מִקְרָא Isa 1:13, הַקְּרִיאָה Jonah 3:2 (+ אֶל).	3 kihirdetni: a. a kihirdetett dolog tárgyesetével: Ámós 4:5; 1Móz 41:43; 5Móz 15:2; Jer 31:6; 3Móz 25:10 és máshol; ׳ק צוֺם böjtöt hirdetni: 1Kir 21:9, 12; Jer 36:9 és máshol; ׳ק י ׳מוֺעֲדֵי: 3Móz 23:2, 4; ׳ק után egyenes beszéd: 2Móz 34:6 stb.; ל + személy: Jer 34:8, 15, 17 (a versben kétszer); Ézs 61:1; עַל + személy (ellen, felől): 1Kir 13:4, 32; Jer 49:29; JSir 1:15; békességet hirdetni valakinek (ל + személy): Bír 21:13; vö. ׳ק לְשָׁלוֺם אֵלֶיהָ 5Móz 20:10; ׳ק az igével rokon jelentésű tárgyesettel: מִקְרָא Ézs 1:13, הַקְּרִיאָה Jón 3:2 (+ אֶל).	konkordancia/BDB_teljes_unabridged.tsv
H3548	BDB	H3548	1	1 priest-king: e.g. Melchizedek Gen 14:18 (E ?), compare Psa 110:4 (the Messianic priest-king like Melchizedek); Zech 6:13 (Messianic priest and king); Israel כֹּהֲנִים מַמְלֶכֶת Exod 19:6 (E) a kingdom of priests (priests and kings at once in their relation to the nations); compare Isa 61:6 (of Israel ministering as a priest); or a chieftain (exercising priestly functions) מִדְיָן כֹּהֵן Exod 2:16; 3:1; 18:1 (all J E); so also probably the sons of David 2Sam 8:18, his grandson 1Kin 4:5, and Ira the Jairite 2Sam 20:26, who as princes performed priestly functions. With these we may class the כהנים Exod 19:22, 24 (J).	1 pap-király: pl. Melkisédek 1Móz 14:18 (E ?), vö. Zsolt 110:4 (a Melkisédekhez hasonló messiási pap-király); Zak 6:13 (messiási pap és király); Izráel: כֹּהֲנִים מַמְלֶכֶת 2Móz 19:6 (E), papok királysága (a népekhez való viszonyukban egyszerre papok és királyok); vö. Ézs 61:6 (Izráelről, amint papként szolgál); vagy törzsfő (aki papi feladatokat lát el): מִדְיָן כֹּהֵן 2Móz 2:16; 3:1; 18:1 (mind J E); így valószínűleg Dávid fiai is, 2Sám 8:18, az unokája, 1Kir 4:5, és a jairita Íra, 2Sám 20:26, akik fejedelmekként papi feladatokat végeztek. Velük sorolhatók a כהנים is, 2Móz 19:22, 24 (J).	konkordancia/BDB_teljes_unabridged.tsv
G1941	TBESG	G1941	1	to call, name, surname : with accusative (cl.), Mat.10:25; pass., Act.1:23 4:36 10:5, 18 10:22 11:13 12:12, 25 , Heb.11:16 ; τ. ὄνομα, before ἐπί (denoting possession, as Heb. עַל. . שֻׁם קָרָא), Act.15:17 (LXX), Jas.2:7 (see. CB on Amo.9:12 ).	hívni, nevezni, melléknevet adni: tárgyesettel (klasszikus), Mt 10:25; szenvedő alakban: ApCsel 1:23; 4:36; 10:5, 18, 22; 11:13; 12:12, 25; Zsid 11:16; τ. ὄνομα, ἐπί előtt (birtoklást jelölve, mint a héb. עַל. . שֻׁם קָרָא): ApCsel 15:17 (LXX), Jak 2:7 (l. CB, Ámós 9:12-höz).	konkordancia/TBESG.txt
G1941	TBESG	G1941	2	Mid. (so also act.; cl., LXX), to call upon, invoke, appeal to (θεόν, θεούς, Hdt., Xen., al.; cf. Deiss., LAE , 426): Καίσαρα (Σεβαστόν, Act.25:25 ), Act.25:11-12, 21 26:32 28:19 ; sc. τ. Κύριον Ἰησοῦν, Act.7:59; μάρτυρα (cl.) τ. θεόν, 2Co.1:23; πατέρα, 1Pe.1:17; τ. κύριον, Rom.10:12 , 2Ti.2:22 ; τ. ὄνομα κυρίου (μου, σου; like Heb. יְהוָֹה שֻׁם קָרָא), Act.2:21 (LXX) Act.9:14, 21 22:16 , Rom.10:13-14 " (LXX) 1Co.1:2 (Cremer, 335, 742).† (AS)	Közép alakban (így cselekvő alakban is; klasszikus, LXX): segítségül hívni, invokálni, folyamodni valakihez (θεόν, θεούς: Hérodotosz, Xenophón és mások; vö. Deissmann, LAE, 426): Καίσαρα (Σεβαστόν, ApCsel 25:25), ApCsel 25:11-12, 21; 26:32; 28:19; ti. τ. Κύριον Ἰησοῦν, ApCsel 7:59; μάρτυρα (klasszikus) τ. θεόν, 2Kor 1:23; πατέρα, 1Pét 1:17; τ. κύριον, Róm 10:12; 2Tim 2:22; τ. ὄνομα κυρίου (μου, σου; mint a héb. יְהוָֹה שֻׁם קָרָא), ApCsel 2:21 (LXX); 9:14, 21; 22:16; Róm 10:13-14 (LXX); 1Kor 1:2 (Cremer, 335, 742). † (Abbott-Smith; † = minden újszövetségi előfordulás felsorolva)	konkordancia/TBESG.txt
G0012	Thayer	G12	teljes	G12 — ἄβυσσος in classic Greek an adjective, (ος, (from ὁ βύσσος equivalent to βυθός), bottomless (so perhaps in Wis. 10:19), unbounded (πλοῦτος ἄβυσσος, Aeschylus, the Sept. (931) 950). in the Scriptures ἡ ἄβυσσος (the Sept. for תְּהום) namely, χώρα, the pit, the immeasurable depth, the abyss. Hence, of 'the deep' sea: Gen 1:2; Gen 7:11; Deu 8:7; Sir. 1:3 Sir. 16:18, etc.; of Orcus (a very deep gulf or chasm in the lowest parts of the earth: Psalm 70:20 ἐκ τῶν ἀβύσσων τῆς γῆς, Euripides, Phoen. 1632 (1605) ταρτάρου ἄβυσσα χάσματα, Clement of Rome, 1 Cor. 20, 5 [ET] ἀβύσσων ἀνεξιχνίαστα κλίματα, ibid. 59, 3 [ET] ὁ ἐπιβλέπων ἐν ταῖς ἀβύσσοις, of God; (Act. Thom.32ὁ τήν ἄβυσσον τοῦ ταρτάρου οἴκων, of the dragon)), both as the common receptacle of the dead, Rom 10:7, and especially as the abode of demons, Luk 8:31; Rev 9:1; Rev 9:11; Rev 11:7; Rev 17:8; Rev 20:1, Rev 20:3. Among secular authors used as a substantive only by Diogenes Laërtius 4 (5) 27 κατῆλθες εἰς μέλαιναν Πλουτέως ἄβυσσον. Cf. Knapp, Scripta var. Arg., p. 554f; (J. G. Müller, Philo's Lehre von der Weltschöpfung, p. 173f; B. D. American edition under the word ).		konkordancia/Thayer_teljes.tsv
G0086	Thayer	G86	teljes	G86 — Ἅιδης ᾅδης,, ὁ (for the older Ἀΐδης, which Homer uses, and this from the alpha privative and ἰδεῖν, not to be seen (cf. Lob. Path. Element. 2:6f)); in the classics 1. a proper name, Hades, Pluto, the god of the lower regions; so in Homer always. 2. an appellative, Orcus, the nether world, the realm of the dead (cf: Theocritus, idyll. 2,159 schol. τήν τοῦ ᾅδου κρούει πύλην. τουτ' ἔστιν ἀποθανεῖται. In the Sept. the Hebrew שְׁאול is almost always rendered by this word (once by θάνατος, 2Sa 22:6); it denotes, therefore, in Biblical Greek Orcus, the infernal regions, a dark (Job 10:21) and dismal place (but cf. γέεννα and παράδεισος) in the very depths of the earth (Job 11:8; Isa 57:9; Amo 9:2, etc.; see ἄβυσσος), the common receptacle of disembodied spirits: Luk 16:23; εἰς ᾅδου namely, δόμον, Act 2:27, Act 2:31, according to a very common ellipsis, cf. Winers Grammar, 592 (550) (Buttmann, 171 (149)); (but L T Tr WH in Act 2:27 and T WH in both verses read εἰς ᾅδην; so the Sept. Psalm 15:10); πύλαι ᾅδου, Mat 16:18 (πυλωροί ᾅδου, Job 38:17; see πύλη); κλείς τοῦ ᾅδου, Rev 1:18; Hades as a power is personified, 1Co 15:55 (where L T Tr WH read θάνατε for R G ᾅδῃ (cf. Act 2:24 Tr marginal reading)); Rev 6:8; Rev 20:13f. Metaphorically, ἕως ᾅδου καταβαίνειν or) καταβιβάζεσθαι to (go or) be thrust down into the depth of misery and disgrace: Mat 11:23 (here L Tr WH καταβαίνειν); Luk 10:15 (here Tr marginal reading WH text καταβαίνειν). (See especially Boettcher, De Inferis, under the word ἀϊδής in Greek index. On the existence and locality of Hades cf. Greswell on the Parables, Appendix, chapter x, vol. v, part ii, pp. 261-406; on the doctrinal significance of the word see the BB. DD. [Hades] and E. R. Craven in Lange on Revelation, pp. 364-377.)		konkordancia/Thayer_teljes.tsv
G0282	Thayer	G282	teljes	G282 — ἀμήτωρ (ορος, ὁ, ἡ (μήτηρ), without a mother, motherless; in Greek writings: 1. born without a mother, e. g. Minerva, Euripides, Phoen. 666f, others; God himself, inasmuch as he is without origin, Lactantius, instt. 4, 13, 2. 2. bereft of a mother, Herodotus 4, 154, elsewhere. 3. born of a base or unknown mother, Euripides, Ion 109 cf. 837. 4. unmotherly, unworthy of the name of mother: μήτηρ ἀμήτωρ, Sophocles El. 1154. Cf. Bleek on Heb. vol. ii., 2, p. 305ff 5. in a significance unused by the Greeks, 'whose mother is not recorded in the genealogy': of Melchizedek, Heb 7:3; (of Sarah by Philo in de temul. § 14, and rer. div. haer. § 12; (cf. Bleek as above)); cf. the classic ἀνολυμπιάς.		konkordancia/Thayer_teljes.tsv
G0813	Thayer	G813	teljes	G813 — ἄτακτος ἄτακτον (τάσσω), disorderly, out of the ranks, (often so of soldiers); irregular, inordinate (ἀτακτοι ἡδοναι immoderate pleasures, Plato, legg. 2, 660 b.; Plutarch, de book educ. c. 7), deviating from the prescribed order or rule: 1Th 5:14, cf. 2Th 3:6. (In Greek writings from (Herodotus and) Thucydides down; often in Plato.)		konkordancia/Thayer_teljes.tsv
G1311	Thayer	G1311	teljes	G1311 — διαφθείρω 1 aorist διεφθειρα; passive (present διαφθείρομαι); perfect participle διεφθαρμενος; 2 aorist διεφθαρην; the Sept. very often for שִׁחֵת, occasionally for חִבֵּל; in Greek writings from Homer down; 1. to change for the worse, to corrupt: minds, morals; τήν γῆν, i. e. the men that inhabit the earth, Rev 11:18; διεφθαρμένοι τόν νοῦν, 1Ti 6:5 (τήν διάνοιαν, Plato, legg. 10, p. 888 a.; τόν γνώμην, Dionysius Halicarnassus Antiquities 5, 21; τούς ὀφθαλμούς, Xenophon, an. 4, 5, 12). 2. to destroy, ruin, (Latinperdere); a. to consume, of bodily vigor and strength: ὁ ἔξω ἡμῶν ἄνθρωπος διαφθείρεται (is decaying), 2Co 4:16; of the worm or moth that eats provisions, clothing, etc. Luk 12:33. b. to destroy (Latindelere): Rev 8:9; to kill, διαφθείρειν τούς, etc. Rev 11:18.		konkordancia/Thayer_teljes.tsv
