id	igehely	karoli_szo	azonositas_modja	megbizhatosag	join_igehely	join_strong	megjegyzes
KIRALY-001	1Móz 14:18-20	papja	tartalom-alapú	magas	1Móz 14:18	H3548	
KIRALY-001	Zsolt 76:3	Sálemben	tartalom-alapú	magas	Zsolt 76:3	H8004	
KIRALY-001	Zsolt 110:4	Pap	tartalom-alapú	magas	Zsolt 110:4	H3548	
KIRALY-001	Zsid 5:6	rendje szerint	tartalom-alapú	magas	Zsid 5:6	G5010	
KIRALY-001	Zsid 5:10	rendje szerint	tartalom-alapú	magas	Zsid 5:10	G5010	
KIRALY-001	Zsid 6:20	rendje szerint	tartalom-alapú	magas	Zsid 6:20	G5010	
KIRALY-001	Zsid 7:1-28	rendje szerint (G5010, 7:17); Apa nélkül (G0540, 7:3); anya nélkül (G0282, 7:3); nemzetség nélkül való (G0035, 7:3)	tartalom-alapú	magas	Zsid 7:17	G5010	tobbes: l. f3_4_extra_join.tsv
ISTENTISZT-001	1Móz 4:26	segítségül hívni az Úrnak nevét	tartalom-alapú	magas	1Móz 4:26	H7121+H8034	
ISTENTISZT-001	1Móz 12:8	segítségűl hívá az Úr nevét	tartalom-alapú	magas	1Móz 12:8	H7121+H8034	
ISTENTISZT-001	1Móz 13:4	segítségűl hívá ott Ábrám az Úrnak nevét	tartalom-alapú	magas	1Móz 13:4	H7121+H8034	
ISTENTISZT-001	1Móz 21:33	segítségűl hívá ott az örökkévaló Úr Istennek nevét	tartalom-alapú	magas	1Móz 21:33	H7121+H8034	
ISTENTISZT-001	1Móz 26:25	segítségűl hívá az Úrnak nevét	tartalom-alapú	magas	1Móz 26:25	H7121+H8034	
ISTENTISZT-001	1Kir 18:24	segítségül hívom az Úrnak nevét	tartalom-alapú	magas	1Kir 18:24	H7121+H8034	
ISTENTISZT-001	1Kir 18:25	hívjátok segítségül a ti istenteknek nevét	tartalom-alapú	magas	1Kir 18:25	H7121+H8034	
