Igehely	Szósorszám	Strong-szám	Angol szó
Pro.1.1	1	H4912	The proverbs
Pro.1.1	2	H8010	of Solomon
Pro.1.1	3	H1121	the son
Pro.1.1	4	H1732	of David,
Pro.1.1	5	H4428	king
Pro.1.1	6	H3478	of Israel:
Pro.1.2	1	H3045	To know
Pro.1.2	2	H2451	wisdom
Pro.1.2	3	H4148	and instruction;
Pro.1.2	4	H995	To discern
Pro.1.2	5	H561	the words
Pro.1.2	6	H998	of understanding;
Pro.1.3	1	H3947	To receive
Pro.1.3	2	H4148	instruction
Pro.1.3	3	H7919	in wise
Pro.1.3	4	H6664	dealing, In righteousness
Pro.1.3	5	H6664	and justice
Pro.1.3	6	H4339	and equity;
Pro.1.4	1	H5414	To give
Pro.1.4	2	H6195	prudence
Pro.1.4	3	H6612	to the simple,
Pro.1.4	4	H5288	To the young man
Pro.1.4	5	H1847	knowledge
Pro.1.4	6	H4209	and discretion:
Pro.1.5	1	H2450	That the wise
Pro.1.5	2	H8085	man may hear,
Pro.1.5	3	H3254	and increase
Pro.1.5	4	H3948	in learning;
Pro.1.5	5	H995	And that the man of understanding
Pro.1.5	6	H7069	may attain
Pro.1.5	7	H8458	unto sound counsels:
Pro.1.6	1	H995	To understand
Pro.1.6	2	H4912	a proverb,
Pro.1.6	3	H4426	and a figure,
Pro.1.6	4	H1697	The words
Pro.1.6	5	H2450	of the wise,
Pro.1.6	6	H2420	and their dark sayings.
Pro.1.7	1	H3374	The fear
Pro.1.7	2	H3068	of Jehovah
Pro.1.7	3	H7225	is the beginning
Pro.1.7	4	H1847	of knowledge;
Pro.1.7	5	H191	But the foolish
Pro.1.7	6	H936	despise
Pro.1.7	7	H2451	wisdom
Pro.1.7	8	H4148	and instruction.
Pro.1.8	1	H1121	My son,
Pro.1.8	2	H8085	hear
Pro.1.8	3	H4148	the instruction
Pro.1.8	4	H1	of thy father,
Pro.1.8	5	H5203	And forsake
Pro.1.8	6	H8451	not the law
Pro.1.8	7	H517	of thy mother:
Pro.1.9	1	H3880	For they shall be a chaplet
Pro.1.9	2	H2580	of grace
Pro.1.9	3	H7218	unto thy head,
Pro.1.9	4	H6060	And chains
Pro.1.9	5	H1621	about thy neck.
Pro.1.10	1	H1121	My son,
Pro.1.10	2	H2400	if sinners
Pro.1.10	3	H6601	entice
Pro.1.10	4	H14	thee, Consent thou not.
Pro.1.11	1	H559	If they say,
Pro.1.11	2	H3212	Come
Pro.1.11	3	H693	with us, Let us lay wait
Pro.1.11	4	H1818	for blood;
Pro.1.11	5	H6845	Let us lurk
Pro.1.11	6	H5355	privily for the innocent
Pro.1.11	7	H2600	without cause;
Pro.1.12	1	H1104	Let us swallow them up
Pro.1.12	2	H2416	alive
Pro.1.12	3	H7585	as Sheol,
Pro.1.12	4	H8549	And whole,
Pro.1.12	5	H3381	as those that go down
Pro.1.12	6	H953	into the pit;
Pro.1.13	1	H4672	We shall find
Pro.1.13	2	H3368	all precious
Pro.1.13	3	H1952	substance;
Pro.1.13	4	H4390	We shall fill
Pro.1.13	5	H1004	our houses
Pro.1.13	6	H7998	with spoil;
Pro.1.14	1	H5307	Thou shalt cast
Pro.1.14	2	H1486	thy lot
Pro.1.14	3	H8432	among
Pro.1.14	4	H259	us; We will all have one
Pro.1.14	5	H3599	purse:
Pro.1.15	1	H1121	My son,
Pro.1.15	2	H3212	walk
Pro.1.15	3	H1870	not thou in the way
Pro.1.15	4	H4513	with them; Refrain
Pro.1.15	5	H7272	thy foot
Pro.1.15	6	H5410	from their path:
Pro.1.16	1	H7272	For their feet
Pro.1.16	2	H7323	run
Pro.1.16	3	H7451	to evil,
Pro.1.16	4	H4116	And they make haste
Pro.1.16	5	H8210	to shed
Pro.1.16	6	H1818	blood.
Pro.1.17	1	H2600	For in vain
Pro.1.17	2	H7568	is the net
Pro.1.17	3	H2219	spread
Pro.1.17	4	H5869	In the sight
Pro.1.17	5	H1167	of any bird:
Pro.1.18	1	H693	And these lay wait
Pro.1.18	2	H1818	for their own blood;
Pro.1.18	3	H6845	They lurk privily
Pro.1.18	4	H5315	for their own lives.
Pro.1.19	1	H734	So are the ways
Pro.1.19	2	H1214	of every one that is greedy
Pro.1.19	3	H1215	of gain;
Pro.1.19	4	H3947	It taketh away
Pro.1.19	5	H5315	the life
Pro.1.19	6	H1167	of the owners thereof.
Pro.1.20	1	H2454	Wisdom
Pro.1.20	2	H7442	crieth
Pro.1.20	3	H2351	aloud in the street;
Pro.1.20	4	H5414	She uttereth
Pro.1.20	5	H6963	her voice
Pro.1.20	6	H7339	in the broad places;
Pro.1.21	1	H7121	She crieth
Pro.1.21	2	H7218	in the chief place
