Karoli_konyv_prefix	Karoli_igehely	Oszlop	Nyers_ertek
Zsolt	Zsolt 126:6	Gorog	Psa.125:6a
Zsolt	Zsolt 136:26	Gorog	Psa.135:26a
Zsolt	Zsolt 13:2	Gorog	Psa.12:3a
Zsolt	Zsolt 13:5	Gorog	Psa.12:6a
Zsolt	Zsolt 13:6	Gorog	Psa.12:6b
Zsolt	Zsolt 2:12	Gorog	Psa.2:12a
Zsolt	Zsolt 43:5	Gorog	Psa.42:5a
Zsolt	Zsolt 47:9	Gorog	Psa.46:10a
Zsolt	Zsolt 126:6	Heber	Psa.126:6a
Zsolt	Zsolt 136:26	Heber	Psa.136:26a
Zsolt	Zsolt 13:2	Heber	Psa.13:3a
Zsolt	Zsolt 13:5	Heber	Psa.13:6a
Zsolt	Zsolt 13:6	Heber	Psa.13:6b
Zsolt	Zsolt 2:12	Heber	Psa.2:12a
Zsolt	Zsolt 43:5	Heber	Psa.43:5a
Zsolt	Zsolt 47:9	Heber	Psa.47:9a
