Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Megbizhatosag	Javasolt_pozicio	Kontextus
1Móz 4:26	G1941	επικαλείσθαι	N/A	✅	pozicio=11	elozo_strong=G1679 kovetkezo_strong=G3588
1Móz 12:8	G1941	επεκαλέσατο	N/A	✅	pozicio=25	elozo_strong=G2532 kovetkezo_strong=G1909
1Móz 13:4	G1941	επεκαλέσατο	N/A	✅	pozicio=11	elozo_strong=G2532 kovetkezo_strong=G1563
1Móz 21:33	G1941	επεκαλέσατο	N/A	✅	pozicio=9	elozo_strong=G2532 kovetkezo_strong=G1563
1Móz 26:25	G1941	επεκαλέσατο	N/A	✅	pozicio=5	elozo_strong=G2532 kovetkezo_strong=G3588
1Móz 33:20	G1941	επεκαλέσατο	N/A	✅	pozicio=5	elozo_strong=G2532 kovetkezo_strong=G3588
1Móz 48:16	G1941	επικληθήσεται	N/A	⚠️	nincs egyezes	elozo_strong=G2532 kovetkezo_strong=G1473
Zsolt 4:1	G1941	επικαλείσθαί	N/A	✅	pozicio=9	elozo_strong=G3588 kovetkezo_strong=G1473
Zsolt 14:4	G1941	επεκαλέσαντο	N/A	⚠️	nincs egyezes	elozo_strong=G3756 kovetkezo_strong=None
Zsolt 18:3	G1941	επικαλέσομαι	N/A	⚠️	nincs egyezes	elozo_strong=G0134 kovetkezo_strong=G3588
Zsolt 18:6	G1941	επεκαλεσάμην	N/A	✅	pozicio=5	elozo_strong=G1473 kovetkezo_strong=G3588
Zsolt 20:7	G1941	επικαλεσόμεθα	N/A	⚠️	pozicio=8	elozo_strong=G1473 kovetkezo_strong=None
Zsolt 20:9	G1941	επικαλεσώμεθά	N/A	⚠️	nincs egyezes	elozo_strong=G2250 kovetkezo_strong=G1473
Zsolt 31:17	G1941	επεκαλεσάμην	N/A	⚠️	nincs egyezes	elozo_strong=G3754 kovetkezo_strong=G1473
Zsolt 42:7	G1941	επικαλείται	N/A	✅	pozicio=2	elozo_strong=G0012 kovetkezo_strong=G1519
Zsolt 49:11	G1941	επεκαλέσαντο	N/A	✅	pozicio=15	elozo_strong=G1074 kovetkezo_strong=G3588
Zsolt 50:15	G1941	επικάλεσαί	N/A	✅	pozicio=1	elozo_strong=G2532 kovetkezo_strong=G1473
Zsolt 53:4	G1941	επεκαλέσαντο	N/A	⚠️	nincs egyezes	elozo_strong=G3756 kovetkezo_strong=None
Zsolt 56:9	G1941	επικαλέσωμαι	N/A	⚠️	nincs egyezes	elozo_strong=G2250 kovetkezo_strong=G1473
Zsolt 75:1	G1941	επικαλεσόμεθα	N/A	✅	pozicio=14	elozo_strong=G2532 kovetkezo_strong=G3588
Zsolt 79:6	G1941	επεκαλέσαντο	N/A	⚠️	nincs egyezes	elozo_strong=G3756 kovetkezo_strong=None
Zsolt 80:18	G1941	επικαλεσόμεθα	N/A	⚠️	pozicio=6	elozo_strong=G1473 kovetkezo_strong=None
Zsolt 81:7	G1941	επεκαλέσω	N/A	✅	pozicio=2	elozo_strong=G2347 kovetkezo_strong=G1473
Zsolt 86:5	G1941	επικαλουμένοις	N/A	⚠️	nincs egyezes	elozo_strong=G3588 kovetkezo_strong=G1473
Zsolt 89:26	G1941	επικαλέσεταί	N/A	⚠️	nincs egyezes	elozo_strong=G1473 kovetkezo_strong=G1473
Zsolt 99:6	G1941	επικαλουμένοις	N/A	✅	pozicio=10	elozo_strong=G3588 kovetkezo_strong=G3588
Zsolt 99:6	G1941	επεκαλούντο	N/A	⚠️	nincs egyezes	elozo_strong=G1473 kovetkezo_strong=G3588
Zsolt 102:2	G1941	επικαλέσωμαί	N/A	⚠️	nincs egyezes	elozo_strong=G2250 kovetkezo_strong=G1473
Zsolt 105:1	G1941	επικαλείσθε	N/A	✅	pozicio=5	elozo_strong=G2532 kovetkezo_strong=G3588
Zsolt 116:2	G1941	επικαλέσομαι	N/A	⚠️	pozicio=6	elozo_strong=G1473 kovetkezo_strong=None
Zsolt 116:4	G1941	επεκαλεσάμην	N/A	⚠️	nincs egyezes	elozo_strong=G2962 kovetkezo_strong=G5599
Zsolt 116:13	G1941	επικαλέσομαι	N/A	⚠️	pozicio=7	elozo_strong=G2962 kovetkezo_strong=None
Zsolt 116:17	G1941	επικαλέσομαι	N/A	⚠️	nincs egyezes	elozo_strong=G2962 kovetkezo_strong=None
Zsolt 118:5	G1941	επεκαλεσάμην	N/A	✅	pozicio=2	elozo_strong=G2347 kovetkezo_strong=G3588
Zsolt 138:3	G1941	επικαλέσωμαί	N/A	⚠️	nincs egyezes	elozo_strong=G2250 kovetkezo_strong=G1473
Zsolt 145:18	G1941	επικαλουμένοις	N/A	⚠️	nincs egyezes	elozo_strong=G3588 kovetkezo_strong=G1473
Zsolt 145:18	G1941	επικαλουμένοις	N/A	⚠️	nincs egyezes	elozo_strong=G3588 kovetkezo_strong=G1473
Zsolt 147:9	G1941	επικαλουμένοις	N/A	⚠️	nincs egyezes	elozo_strong=G3588 kovetkezo_strong=G1473
Jóel 2:32	G1941	επικαλέσηται	N/A	✅	pozicio=5	elozo_strong=G0302 kovetkezo_strong=G3588
