Igehely	Szósorszám	Strong-szám	Angol szó	Morfológiai kód
Gen.1.1	1	H7225	In the beginning	
Gen.1.1	2	H430	God	
Gen.1.1	3	H1254	created	[H8804]
Gen.1.1	4	H853		
Gen.1.1	5	H8064	the heaven	
Gen.1.1	6	H853	and	
Gen.1.1	7	H776	the earth.	
Gen.1.2	1	H776	And the earth	
Gen.1.2	2	H1961	was	[H8804]
Gen.1.2	3	H8414	without form	
Gen.1.2	4	H922	, and void	
Gen.1.2	5	H2822	; and darkness	
Gen.1.2	6	H6440	was upon the face	
Gen.1.2	7	H8415	of the deep	
Gen.1.2	8	H7307	. And the Spirit	
Gen.1.2	9	H430	of God	
Gen.1.2	10	H7363	moved	[H8764]
Gen.1.2	11	H5921	upon	
Gen.1.2	12	H6440	the face	
Gen.1.2	13	H4325	of the waters.	
Gen.1.3	1	H430	And God	
Gen.1.3	2	H559	said	[H8799]
Gen.1.3	3	H1961	, Let there be	[H8799]
Gen.1.3	4	H216	light	
Gen.1.3	5	H216	: and there was light.	
Gen.1.4	1	H430	And God	
Gen.1.4	2	H7200	saw	[H8799]
Gen.1.4	3	H853		
Gen.1.4	4	H216	the light	
Gen.1.4	5	H3588	, that	
Gen.1.4	6	H2896	it was good	
Gen.1.4	7	H430	: and God	
Gen.1.4	8	H914	divided	[H8686]
Gen.1.4	9	H996		
Gen.1.4	10	H216	the light	
Gen.1.4	11	H996	from	
Gen.1.4	12	H2822	the darkness.	
Gen.1.5	1	H430	And God	
Gen.1.5	2	H7121	called	[H8799]
Gen.1.5	3	H216	the light	
Gen.1.5	4	H3117	Day	
Gen.1.5	5	H2822	, and the darkness	
Gen.1.5	6	H7121	he called	[H8804]
Gen.1.5	7	H3915	Night	
Gen.1.5	8	H6153	. And the evening	
Gen.1.5	9	H1242	and the morning	
Gen.1.5	10	H259	were the first	
Gen.1.5	11	H3117	day.	
Gen.1.6	1	H430	And God	
Gen.1.6	2	H559	said	[H8799]
Gen.1.6	3	H7549	, Let there be a firmament	
Gen.1.6	4	H8432	in the midst	
Gen.1.6	5	H4325	of the waters	
Gen.1.6	6	H914	, and let it divide	[H8688]
Gen.1.6	7	H4325	the waters	
Gen.1.6	8	H4325	from the waters.	
Gen.1.7	1	H430	And God	
Gen.1.7	2	H6213	made	[H8799]
Gen.1.7	3	H7549	the firmament	
Gen.1.7	4	H914	, and divided	[H8686]
Gen.1.7	5	H4325	the waters	
Gen.1.7	6	H834	which	
Gen.1.7	7	H8478	were under	
Gen.1.7	8	H7549	the firmament	
Gen.1.7	9	H4325	from the waters	
Gen.1.7	10	H834	which	
Gen.1.7	11	H5921	were above	
Gen.1.7	12	H7549	the firmament	
Gen.1.7	13	H3651	: and it was so.	
Gen.1.8	1	H430	And God	
Gen.1.8	2	H7121	called	[H8799]
Gen.1.8	3	H7549	the firmament	
Gen.1.8	4	H8064	Heaven	
Gen.1.8	5	H6153	. And the evening	
Gen.1.8	6	H1242	and the morning	
Gen.1.8	7	H8145	were the second	
Gen.1.8	8	H3117	day.	
Gen.1.9	1	H430	And God	
Gen.1.9	2	H559	said	[H8799]
Gen.1.9	3	H4325	, Let the waters	
Gen.1.9	4	H8064	under the heaven	
Gen.1.9	5	H6960	be gathered together	[H8735]
Gen.1.9	6	H413	unto	
Gen.1.9	7	H259	one	
Gen.1.9	8	H4725	place	
Gen.1.9	9	H3004	, and let the dry	
Gen.1.9	10	H7200	land appear	[H8735]
Gen.1.10	1	H430	And God	
Gen.1.10	2	H7121	called	[H8799]
Gen.1.10	3	H3004	the dry	
Gen.1.10	4	H776	land Earth	
Gen.1.10	5	H4723	; and the gathering together	
Gen.1.10	6	H4325	of the waters	
