Igehely	Strong-szám	Károli-szó	Azonosítás módja	Forrás-tanulmány	Megbízhatóság	Szófaj	Gyök/Származtatás
Gen.1.1	H7225	Kezdetben	tartalom-alapú	1Moz_1v1_bovitett.md	magas	főnév, nőnemű	from the same as H7218
Gen.1.1	H1254	teremté	tartalom-alapú	1Moz_1v1_bovitett.md	magas	ige	a primitive root
Gen.1.1	H430	Isten	tartalom-alapú	1Moz_1v1_bovitett.md	magas	főnév, hímnemű	plural of H433
Gen.1.1	H8064	az eget	tartalom-alapú	1Moz_1v1_bovitett.md	magas	főnév, hímnemű	dual of an unused singular שָׁמֶה; from an unused root meaning to be lofty
Gen.1.1	H776	a földet	tartalom-alapú	1Moz_1v1_bovitett.md	magas	főnév, nőnemű	from an unused root probably meaning to be firm
Gen.1.2	H8414+H922	kietlen és puszta	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas		
Gen.1.2	H8415	mélység	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	főnév	or תְּהֹם; (usually feminine) from H1949
Gen.1.2	H7307+H430	az Isten Lelke	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas		
Gen.1.2	H7363	lebeg vala	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.1.3	H559	monda	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.1.3	H1961	Legyen	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root (compare H1933)
Gen.1.3	H216	világosság	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	főnév, nőnemű	from H215
Gen.1.26	H6213	Teremtsünk	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.1.26	H1823	hasonlatosságunkra	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	főnév, nőnemű	from H1819
Gen.1.27	H1254	teremté	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.1.27	H2145+H5347	férfiúvá és asszonynyá	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas		
Gen.1.28	H6509+H7235	Szaporodjatok és sokasodjatok	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas		
Gen.1.28	H3533	hajtsátok	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.1.28	H7287	uralkodjatok	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.2.2	H7673	megszűnék	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.2.3	H1288	megáldá	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.2.3	H6942	megszentelé	tartalom-alapú	1Moz_1v2-2v3_bovitett.md	magas	ige	a primitive root
Gen.2.4	H8435	eredete	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas	főnév, nőnemű	or תֹּלְדָה; from H3205
Gen.2.7	H3335	formálta vala	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas	ige	probably identical with H3334 (through the squeezing into shape); (compare H3331)
Gen.2.7	H6083	porából	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas	főnév, hímnemű	from H6080
Gen.2.7	H127	földnek	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas	főnév, nőnemű	from H119
Gen.2.7	H5301	lehellett vala	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas	ige	a primitive root
Gen.2.7	H5397+H2416	életnek lehelletét	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas		
Gen.2.7	H5315+H2416	élő lélekké	tartalom-alapú	1Moz_2v4-7_bovitett.md	magas		
Gen.2.8	H5731	Édenben	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	tulajdonnév, hímnemű (személynév) / tulajdonnév, helynév	the same as H5730 (masculine)
Gen.2.9	H6086+H2416	élet fáját	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas		
Gen.2.9	H6086+H1847	jó és gonosz tudásának fáját	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas		
Gen.2.15	H5647	mívelje	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	ige	a primitive root
Gen.2.15	H8104	őrizze	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	ige	a primitive root
Gen.2.18	H3808+H2896	Nem jó	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas		
Gen.2.23	H376	emberből	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	főnév, hímnemű	contracted for H582 (or perhaps rather from an unused root meaning to be extant)
Gen.2.24	H1692	ragaszkodik	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	ige	a primitive root
Gen.2.24	H1320+H259	egy testté	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas		
Gen.2.25	H6174	mezítelenek	tartalom-alapú	1Moz_2v8-25_bovitett.md	magas	melléknév	or עָרֹם; from H6191 (in its original sense)
Gen.3.1	H6175	ravaszabb	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas	melléknév	passive participle of H6191
Gen.3.3	H5060	illessétek	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas	ige	a primitive root
Gen.3.3	H6435+H4191	meg ne haljatok	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas		
Gen.3.5	H3045+H2896+H7451	jónak és gonosznak tudói	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas		
Gen.3.6	H8378	kedves	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas	főnév, nőnemű	from H183 (abbreviated)
Gen.3.6	H2530	kivánatos	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas	ige	a primitive root
Gen.3.6	H5414	és ada	tartalom-alapú	1Moz_3v1-6_bovitett.md	magas	ige	a primitive root
Gen.3.7	H6491	És megnyilatkozának	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	ige	a primitive root
Gen.3.7	H5869	szemei	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, nőnemű	probably a primitive word
Gen.3.7	H2290	körülkötőket	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű / főnév, nőnemű	or חֲגֹר; and (feminine) חֲגוֹרָה; or חֲגֹרָה; from H2296
Gen.3.14	H779	átkozott	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	ige	a primitive root
Gen.3.15	H342	ellenségeskedést	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, nőnemű	from H340
Gen.3.15	H2233	magod	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	from H2232
Gen.3.15	H7779	tapos	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	ige	a primitive root
Gen.3.15	H6119	sarkát	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	or (feminine) עִקְּבָה; from H6117
Gen.3.16	H6093	fájdalmait	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	from H6087
Gen.3.16	H8669	epekedel	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, nőnemű	from H7783 in the original sense of stretching out after
Gen.3.16	H4910	uralkodik	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	ige	a primitive root
Gen.3.19	H6083	por	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	from H6080
Gen.3.19	H7725	visszatérsz	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	ige	a primitive root
Gen.3.21	H3801	ruhákat	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, nőnemű	or כֻּתֹּנֶת; from an unused root meaning to cover (compare H3802)
Gen.3.21	H5785	bőr	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	from H5783
Gen.3.24	H3742	Kerúbokat	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	of uncertain derivation
Gen.3.24	H3858	lángját	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, hímnemű	from H3857
Gen.3.24	H2719	pallos	tartalom-alapú	1Moz_3v7-24_bovitett.md	magas	főnév, nőnemű	from H2717
Gen.4.1	H7069	Nyertem	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	ige	a primitive root
