Igehely	Konyv	Fejezet	Vers	Tipus	Allapot	Megjegyzes_forras
2Móz 36:38	2Móz	36	38	A	TOROLVE	MEK 2Móz 36 = 37 vers, a projekt sora tulfutott placeholder volt. https://mek.oszk.hu/00100/00161/html/o/2-moz/chap036.html
4Móz 30:17	4Móz	30	17	A	TOROLVE	MEK 4Móz 30 = 16 vers. https://mek.oszk.hu/00100/00161/html/o/4-moz/chap030.html
Jób 17:16	Jób	17	16	A	TOROLVE	MEK Jób 17 = 15 vers. https://mek.oszk.hu/00100/00161/html/o/job/chap017.html
Jób 37:24	Jób	37	24	A	TOROLVE	MEK Jób 37 = 23 vers. https://mek.oszk.hu/00100/00161/html/o/job/chap037.html
Jób 40:20	Jób	40	20	A	TOROLVE	MEK Jób 40 = 19 vers (a Jób 40/41 hatar mar a projektben is helyesen all). https://mek.oszk.hu/00100/00161/html/o/job/chap040.html
Jób 40:21	Jób	40	21	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:22	Jób	40	22	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:23	Jób	40	23	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:24	Jób	40	24	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:25	Jób	40	25	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:26	Jób	40	26	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:27	Jób	40	27	A	TOROLVE	ld. Jób 40:20 megjegyzese
Jób 40:28	Jób	40	28	A	TOROLVE	ld. Jób 40:20 megjegyzese
Péld 12:28	Péld	12	28	A	TOROLVE	MEK Péld 12 = 27 vers. https://mek.oszk.hu/00100/00161/html/o/peld/chap012.html
Préd 1:18	Préd	1	18	A	TOROLVE	MEK Préd 1 = 17 vers. https://mek.oszk.hu/00100/00161/html/o/pred/chap001.html
Préd 8:16	Préd	8	16	A	TOROLVE	MEK Préd 8 = 15 vers. https://mek.oszk.hu/00100/00161/html/o/pred/chap008.html
Préd 8:17	Préd	8	17	A	TOROLVE	ld. Préd 8:16 megjegyzese
Préd 10:18	Préd	10	18	A	TOROLVE	MEK Préd 10 = 17 vers. https://mek.oszk.hu/00100/00161/html/o/pred/chap010.html
Préd 10:19	Préd	10	19	A	TOROLVE	ld. Préd 10:18 megjegyzese
