STEPBible-rövidítés	Magyar rövidítés	Teljes magyar könyvnév
Gen	1Móz	Mózes első könyve
Exo	2Móz	Mózes második könyve
Lev	3Móz	Mózes harmadik könyve
Num	4Móz	Mózes negyedik könyve
Deu	5Móz	Mózes ötödik könyve
Jos	Józs	Józsué könyve
Jdg	Bír	Bírák könyve
Rut	Ruth	Ruth könyve
1Sa	1Sám	Sámuel első könyve
2Sa	2Sám	Sámuel második könyve
1Ki	1Kir	Királyok első könyve
2Ki	2Kir	Királyok második könyve
1Ch	1Krón	Krónikák első könyve
2Ch	2Krón	Krónikák második könyve
Ezr	Ezsd	Ezsdrás könyve
Neh	Neh	Nehémiás könyve
Est	Eszt	Eszter könyve
Job	Jób	Jób könyve
Psa	Zsolt	Zsoltárok könyve
Pro	Péld	Példabeszédek könyve
Ecc	Préd	Prédikátor könyve
Sng	Én	Énekek éneke
Isa	Ézs	Ézsaiás könyve
Jer	Jer	Jeremiás könyve
Lam	Sir	Jeremiás siralmai
Ezk	Ez	Ezékiel könyve
Dan	Dán	Dániel könyve
Hos	Hós	Hóseás könyve
Jol	Jóel	Jóel könyve
Amo	Ámós	Ámós könyve
Oba	Abd	Abdiás könyve
Jon	Jón	Jónás könyve
Mic	Mik	Mikeás könyve
Nam	Náh	Náhum könyve
Hab	Hab	Habakuk könyve
Zep	Sof	Sofóniás könyve
Hag	Hag	Aggeus könyve
Zec	Zak	Zakariás könyve
Mal	Mal	Malakiás könyve
Mat	Mt	Máté evangéliuma
Mrk	Mk	Márk evangéliuma
Luk	Luk	Lukács evangéliuma
Jhn	Ján	János evangéliuma
Act	ApCsel	Apostolok Cselekedetei
Rom	Róm	Rómabeliekhez írt levél
1Co	1Kor	Korinthusiakhoz írt I. levél
2Co	2Kor	Korinthusiakhoz írt II. levél
Gal	Gal	Galatákhoz írt levél
Eph	Ef	Efézusiakhoz írt levél
Php	Fil	Filippiekhez írt levél
Col	Kol	Kolosséiakhoz írt levél
1Th	1Thessz	Thesszalonikaiakhoz írt I. levél
2Th	2Thessz	Thesszalonikaiakhoz írt II. levél
1Ti	1Tim	Timótheushoz írt I. levél
2Ti	2Tim	Timótheushoz írt II. levél
Tit	Tit	Tituszhoz írt levél
Phm	Filem	Filemonhoz írt levél
Heb	Zsid	Zsidókhoz írt levél
Jas	Jak	Jakab levele
1Pe	1Pét	Péter első levele
2Pe	2Pét	Péter második levele
1Jn	1Ján	János első levele
2Jn	2Ján	János második levele
3Jn	3Ján	János harmadik levele
Jud	Júd	Júdás levele
Rev	Jel	Jelenések könyve
