# GENERÁLT: eszkozok/lxx_os_import.py — kézzel nem szerkesztendő.
# forras: lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 (CC BY 4.0) + GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 (CC BY 4.0)
# sha256(verse_pairs.jsonl)=3a91c571f1f32545f78397a256fdfa5124bcbcbc42902411a8a93209dcb2e985 | sha256(GreekWordList.js)=84703d5de9fae423c141ff374ffab73fcda288d0a400fcd500445302a5dbe483
igehely_lxx	igehely_kjv	igehely_karoli	karoli_ok	pozicio	szoalak	normalizalt	lemma	morf	strong	strong_ok	proveniencia
Jeremiah (LXX) 1:1	1:1	Jer 1:1		1	τὸ	το	ὁ	article neut nom/voc/acc sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		2	ῥῆμα	ρημα	ῥῆμα	noun neut nom/voc/acc sg	4487		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		3	τοῦ	του	ὁ	article masc/neut gen sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		4	θεοῦ	θεου	θεός	noun masc gen sg	2316		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		5	ὃ	ο	ὅς	pronoun neut nom/voc/acc sg	3739		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		6	ἐγένετο	εγενετο	γίνομαι	verb aor ind mid/pass 3rd sg	1096		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		7	ἐπὶ	επι	ἐπί	preposition	1909		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		8	Ιερεμιαν	ιερεμιαν	Ἰερεμίας	proper noun masc acc sg	2408		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		9	τὸν	τον	ὁ	article masc acc sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		10	τοῦ	του	ὁ	article masc/neut gen sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		11	Χελκιου	χελκιου	Χελκιας	proper noun masc gen sg		nincs_uszbeli_megfelelo	forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		12	ἐκ	εκ	ἐκ	preposition	1537		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		13	τῶν	των	ὁ	article masc/fem/neut gen pl	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
Jeremiah (LXX) 1:1	1:1	Jer 1:1		14	ἱερέων	ιερεων	ἱερεύς	noun masc gen pl	2409		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
