Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Abd 1:1	G3706	ορασις	N-NSF	LXX_WH
Abd 1:1		αβδιου	N-GSM	ELTERO_SZOVEGALAP
Abd 1:1	G3592	ταδε	D-APN	LXX_WH
Abd 1:1	G3004	λεγει	V-PAI-3S	LXX_WH
Abd 1:1	G2962	κυριος	N-NSM	LXX_WH
Abd 1:1	G3588	ο	T-NSM	LXX_WH
Abd 1:1	G2316	θεος	N-NSM	LXX_WH
Abd 1:1	G3588	τη	T-DSF	LXX_WH
Abd 1:1	G2401	ιδουμαια	N-DSF	LXX_WH
Abd 1:1	G0189	ακοην	N-ASF	LXX_WH
Abd 1:1	G0191	ηκουσα	V-AAI-1S	LXX_WH
Abd 1:1	G3844	παρα	PREP	LXX_WH
Abd 1:1	G2962	κυριου	N-GSM	LXX_WH
Abd 1:1	G2532	και	CONJ	LXX_WH
Abd 1:1	G4042	περιοχην	N-ASF	LXX_WH
Abd 1:1	G1519	εις	PREP	LXX_WH
Abd 1:1	G3588	τα	T-APN	LXX_WH
Abd 1:1	G1484	εθνη	N-APN	LXX_WH
Abd 1:1	G1821	εξαπεστειλεν	V-AAI-3S	LXX_WH
Abd 1:1	G0450	αναστητε	V-AAD-2P	LXX_WH
Abd 1:1	G2532	και	CONJ	LXX_WH
Abd 1:1	G1817	εξαναστωμεν	V-AAS-1P	ABP-potolt
Abd 1:1	G1909	επ	PREP	LXX_WH
Abd 1:1	G0846	αυτην	D-ASF	LXX_WH
Abd 1:1	G1519	εις	PREP	LXX_WH
Abd 1:1	G4171	πολεμον	N-ASM	LXX_WH
Abd 1:2	G2400	ιδου	INJ	LXX_WH
Abd 1:2	G3641	ολιγοστον	A-ASM	ABP-potolt
Abd 1:2	G1325	δεδωκα	V-RAI-1S	LXX_WH
Abd 1:2	G4771	σε	P-AS	LXX_WH
Abd 1:2	G1722	εν	PREP	LXX_WH
Abd 1:2	G3588	τοις	T-DPN	LXX_WH
Abd 1:2	G1484	εθνεσιν	N-DPN	LXX_WH
Abd 1:2	G0821	ητιμωμενος	V-RPPNS	LXX_WH
Abd 1:2	G4771	συ	P-NS	LXX_WH
Abd 1:2	G1510	ει	V-PAI-2S	LXX_WH
Abd 1:2	G4970	σφοδρα	ADV	LXX_WH
Abd 1:3	G5243	υπερηφανια	N-NSF	LXX_WH
