Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Ámós 1:1	G3056	λογοι	N-NPM	LXX_WH
Ámós 1:1	G0301	αμως	N-PRI	LXX_WH
Ámós 1:1	G3739	οι	R-NPM	LXX_WH
Ámós 1:1	G1096	εγενοντο	V-AMI-3P	LXX_WH
Ámós 1:1	G1722	εν	PREP	LXX_WH
Ámós 1:1		νακκαριμ	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:1	G1537	εκ	PREP	LXX_WH
Ámós 1:1		θεκουε	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:1	G3739	ους	R-APM	LXX_WH
Ámós 1:1	G3708	ειδεν	V-AAI-3S	LXX_WH
Ámós 1:1	G5228	υπερ	PREP	LXX_WH
Ámós 1:1	G2419	ιερουσαλημ	N-PRI	LXX_WH
Ámós 1:1	G1722	εν	PREP	LXX_WH
Ámós 1:1	G2250	ημεραις	N-DPF	LXX_WH
Ámós 1:1	G3604	οζιου	N-GSM	LXX_WH
Ámós 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Ámós 1:1	G2448	ιουδα	N-PRI	LXX_WH
Ámós 1:1	G2532	και	CONJ	LXX_WH
Ámós 1:1	G1722	εν	PREP	LXX_WH
Ámós 1:1	G2250	ημεραις	N-DPF	LXX_WH
Ámós 1:1		ιεροβοαμ	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:1	G3588	του	T-GSM	LXX_WH
Ámós 1:1		ιωας	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Ámós 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Ámós 1:1	G4253	προ	PREP	LXX_WH
Ámós 1:1	G1417	δυο	N-NUI	LXX_WH
Ámós 1:1	G2094	ετων	N-GPN	LXX_WH
Ámós 1:1	G3588	του	T-GSM	LXX_WH
Ámós 1:1	G4578	σεισμου	N-GSM	LXX_WH
Ámós 1:2	G2532	και	CONJ	LXX_WH
Ámós 1:2	G2036	ειπεν	V-AAI-3S	ABP-potolt
Ámós 1:2	G2962	κυριος	N-NSM	LXX_WH
Ámós 1:2	G1537	εκ	PREP	LXX_WH
Ámós 1:2	G4622	σιων	N-PRI	LXX_WH
Ámós 1:2	G5350	εφθεγξατο	V-AMI-3S	LXX_WH
Ámós 1:2	G2532	και	CONJ	LXX_WH
Ámós 1:2	G1537	εξ	PREP	LXX_WH
Ámós 1:2	G2419	ιερουσαλημ	N-PRI	LXX_WH
Ámós 1:2	G1325	εδωκεν	V-AAI-3S	LXX_WH
Ámós 1:2	G5456	φωνην	N-ASF	LXX_WH
Ámós 1:2	G0846	αυτου	D-GSM	LXX_WH
Ámós 1:2	G2532	και	CONJ	LXX_WH
Ámós 1:2	G3996	επενθησαν	V-AAI-3P	LXX_WH
Ámós 1:2	G3588	αι	T-NPF	LXX_WH
Ámós 1:2	G3542	νομαι	N-NPF	LXX_WH
Ámós 1:2	G3588	των	T-GPM	LXX_WH
Ámós 1:2	G4166	ποιμενων	N-GPM	LXX_WH
Ámós 1:2	G2532	και	CONJ	LXX_WH
Ámós 1:2	G3583	εξηρανθη	V-API-3S	LXX_WH
Ámós 1:2	G3588	η	T-NSF	LXX_WH
Ámós 1:2		κορυφη	N-NSF	
Ámós 1:2	G3588	του	T-GSM	LXX_WH
Ámós 1:2		καρμηλου	N-GSM	ELTERO_SZOVEGALAP
Ámós 1:3	G2532	και	CONJ	LXX_WH
Ámós 1:3		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Ámós 1:3	G2962	κυριος	N-NSM	LXX_WH
Ámós 1:3	G1909	επι	PREP	LXX_WH
Ámós 1:3	G3588	ταις	T-DPF	LXX_WH
Ámós 1:3	G5140	τρισιν	A-DPF	LXX_WH
Ámós 1:3	G0763	ασεβειαις	N-DPF	LXX_WH
Ámós 1:3	G1154	δαμασκου	N-GS	LXX_WH
Ámós 1:3	G2532	και	CONJ	LXX_WH
Ámós 1:3	G1909	επι	PREP	LXX_WH
Ámós 1:3	G3588	ταις	T-DPF	LXX_WH
Ámós 1:3	G5064	τεσσαρσιν	A-DPF	LXX_WH
Ámós 1:3	G3364	ουκ	ADV	LXX_WH
Ámós 1:3	G0654	αποστραφησομαι	V-FPI-1S	LXX_WH
Ámós 1:3	G0846	αυτον	D-ASM	LXX_WH
Ámós 1:3	G0473	ανθ	PREP	LXX_WH
Ámós 1:3	G3739	ων	R-GPM	LXX_WH
Ámós 1:3	G4249	επριζον	V-IAI-3P	LXX_WH
Ámós 1:3		πριοσιν	N-DPM	ELTERO_SZOVEGALAP
Ámós 1:3		σιδηροις	A-DPM	ELTERO_SZOVEGALAP
Ámós 1:3	G3588	τας	T-APF	LXX_WH
Ámós 1:3	G1722	εν	PREP	LXX_WH
Ámós 1:3	G1064	γαστρι	N-DSF	LXX_WH
Ámós 1:3	G2192	εχουσας	V-PAPAP	LXX_WH
Ámós 1:3	G3588	των	T-GPM	LXX_WH
Ámós 1:3	G1722	εν	PREP	LXX_WH
Ámós 1:3		γαλααδ	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:4	G2532	και	CONJ	LXX_WH
Ámós 1:4	G1821	εξαποστελω	V-FAI-1S	LXX_WH
Ámós 1:4	G4442	πυρ	N-ASN	LXX_WH
Ámós 1:4	G1519	εις	PREP	LXX_WH
Ámós 1:4	G3588	τον	T-ASM	LXX_WH
Ámós 1:4	G3624	οικον	N-ASM	LXX_WH
Ámós 1:4		αζαηλ	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:4	G2532	και	CONJ	LXX_WH
Ámós 1:4	G2719	καταφαγεται	V-FMI-3S	LXX_WH
Ámós 1:4		θεμελια	N-APN	ELTERO_SZOVEGALAP
Ámós 1:4	G5207	υιου	N-GSM	LXX_WH
Ámós 1:4		αδερ	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:5	G2532	και	CONJ	LXX_WH
Ámós 1:5	G4937	συντριψω	V-FAI-1S	LXX_WH
Ámós 1:5		μοχλους	N-APM	ELTERO_SZOVEGALAP
Ámós 1:5	G1154	δαμασκου	N-GS	LXX_WH
Ámós 1:5	G2532	και	CONJ	LXX_WH
Ámós 1:5		εξολεθρευσω	V-FAI-1S	ELTERO_SZOVEGALAP
Ámós 1:5		κατοικουντας	V-PAPAP	ELTERO_SZOVEGALAP
Ámós 1:5	G1537	εκ	PREP	LXX_WH
Ámós 1:5		πεδιου	N-GSN	ELTERO_SZOVEGALAP
Ámós 1:5	G5607	ων	N-PRI	LXX_WH
Ámós 1:5	G2532	και	CONJ	LXX_WH
Ámós 1:5	G2629	κατακοψω	V-FAI-1S	LXX_WH
Ámós 1:5	G5443	φυλην	N-ASF	LXX_WH
Ámós 1:5	G1537	εξ	PREP	LXX_WH
Ámós 1:5	G0435	ανδρων	N-GPM	LXX_WH
Ámós 1:5		χαρραν	N-PRI	ELTERO_SZOVEGALAP
Ámós 1:5	G2532	και	CONJ	LXX_WH
Ámós 1:5	G0162	αιχμαλωτευθησεται	V-FPI-3S	LXX_WH
Ámós 1:5	G2992	λαος	N-NSM	LXX_WH
Ámós 1:5	G4947	συριας	N-GSF	LXX_WH
Ámós 1:5		επικλητος	A-NSM	ELTERO_SZOVEGALAP
Ámós 1:5	G3004	λεγει	V-PAI-3S	LXX_WH
Ámós 1:5	G2962	κυριος	N-NSM	LXX_WH
Ámós 1:6	G3592	ταδε	D-APN	LXX_WH
Ámós 1:6	G3004	λεγει	V-PAI-3S	LXX_WH
Ámós 1:6	G2962	κυριος	N-NSM	LXX_WH
Ámós 1:6	G1909	επι	PREP	LXX_WH
Ámós 1:6	G3588	ταις	T-DPF	LXX_WH
Ámós 1:6	G5140	τρισιν	A-DPF	LXX_WH
Ámós 1:6	G0763	ασεβειαις	N-DPF	LXX_WH
