Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Bír 1:1	G2532	και	CONJ	LXX_WH
Bír 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Bír 1:1	G3326	μετα	PREP	LXX_WH
Bír 1:1	G3588	την	T-ASF	LXX_WH
Bír 1:1	G5054	τελευτην	N-ASF	LXX_WH
Bír 1:1	G2424	ιησου	N-PRI	LXX_WH
Bír 1:1	G2532	και	CONJ	LXX_WH
Bír 1:1	G1905	επηρωτων	V-IAI-3P	ABP-potolt
Bír 1:1	G3588	οι	T-NPM	LXX_WH
Bír 1:1	G5207	υιοι	N-NPM	LXX_WH
Bír 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Bír 1:1	G1722	εν	PREP	LXX_WH
Bír 1:1	G2962	κυριω	N-DSM	LXX_WH
Bír 1:1	G3004	λεγοντες	V-PAPNP	LXX_WH
Bír 1:1	G5100	τις	I-NSM	LXX_WH
Bír 1:1	G0305	αναβησεται	V-FMI-3S	LXX_WH
Bír 1:1	G1473	ημιν	P-DP	LXX_WH
Bír 1:1	G4314	προς	PREP	LXX_WH
Bír 1:1	G3588	τον	T-ASM	LXX_WH
Bír 1:1	G0860	χαναναιον	N-ASM	ABP-potolt
Bír 1:1	G0860	αφηγουμενος	V-PMPNS	ABP-potolt
Bír 1:1	G3588	του	T-GSN	LXX_WH
Bír 1:1	G4170	πολεμησαι	V-AAN	LXX_WH
Bír 1:1	G1722	εν	PREP	LXX_WH
Bír 1:1	G0846	αυτω	D-DSM	LXX_WH
Bír 1:2	G2532	και	CONJ	LXX_WH
Bír 1:2		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Bír 1:2	G2962	κυριος	N-NSM	LXX_WH
Bír 1:2	G2455	ιουδας	N-NSM	LXX_WH
Bír 1:2	G0305	αναβησεται	V-FMI-3S	LXX_WH
Bír 1:2	G2400	ιδου	INJ	LXX_WH
Bír 1:2	G1325	δεδωκα	V-RAI-1S	LXX_WH
Bír 1:2	G3588	την	T-ASF	LXX_WH
Bír 1:2	G1065	γην	N-ASF	LXX_WH
Bír 1:2	G1722	εν	PREP	LXX_WH
Bír 1:2	G5495	χειρι	N-DSF	LXX_WH
Bír 1:2	G0846	αυτου	D-GSM	LXX_WH
Bír 1:3	G2532	και	CONJ	LXX_WH
Bír 1:3		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Bír 1:3	G2455	ιουδας	N-NSM	LXX_WH
Bír 1:3	G4314	προς	PREP	LXX_WH
Bír 1:3	G4826	συμεων	N-PRI	LXX_WH
Bír 1:3	G3588	τον	T-ASM	LXX_WH
Bír 1:3	G0080	αδελφον	N-ASM	LXX_WH
Bír 1:3	G0846	αυτου	D-GSM	LXX_WH
Bír 1:3	G0305	αναβηθι	V-AAD-2S	LXX_WH
Bír 1:3	G3326	μετ	PREP	LXX_WH
Bír 1:3	G1473	εμου	P-GS	LXX_WH
Bír 1:3	G1722	εν	PREP	LXX_WH
Bír 1:3	G3588	τω	T-DSM	LXX_WH
Bír 1:3	G2819	κληρω	N-DSM	LXX_WH
Bír 1:3	G1473	μου	P-GS	LXX_WH
Bír 1:3	G2532	και	CONJ	LXX_WH
Bír 1:3	G4170	πολεμησωμεν	V-AAS-1P	LXX_WH
Bír 1:3	G1722	εν	PREP	LXX_WH
Bír 1:3	G3588	τω	T-DSM	LXX_WH
Bír 1:3	G2819	χαναναιω	N-DSM	ABP-potolt
Bír 1:3	G2532	και	CONJ	LXX_WH
Bír 1:3	G4198	πορευσομαι	V-FMI-1S	LXX_WH
Bír 1:3	G2532	και	CONJ	LXX_WH
Bír 1:3	G1065	γε	PRT	LXX_WH
Bír 1:3	G1473	εγω	P-NS	LXX_WH
Bír 1:3	G3326	μετα	PREP	LXX_WH
Bír 1:3	G4771	σου	P-GS	LXX_WH
Bír 1:3	G1722	εν	PREP	LXX_WH
Bír 1:3	G3588	τω	T-DSM	LXX_WH
Bír 1:3	G2819	κληρω	N-DSM	LXX_WH
Bír 1:3	G4771	σου	P-GS	LXX_WH
Bír 1:3	G2532	και	CONJ	LXX_WH
Bír 1:3	G4198	επορευθη	V-API-3S	LXX_WH
Bír 1:3	G3326	μετ	PREP	LXX_WH
Bír 1:3	G0846	αυτου	D-GSM	LXX_WH
Bír 1:3	G4826	συμεων	N-PRI	LXX_WH
Bír 1:4	G2532	και	CONJ	LXX_WH
Bír 1:4	G0305	ανεβη	V-AAI-3S	LXX_WH
Bír 1:4	G2455	ιουδας	N-NSM	LXX_WH
Bír 1:4	G2532	και	CONJ	LXX_WH
Bír 1:4	G1325	εδωκεν	V-AAI-3S	LXX_WH
Bír 1:4	G2962	κυριος	N-NSM	LXX_WH
Bír 1:4	G3588	τον	T-ASM	LXX_WH
Bír 1:4		χαναναιον	N-ASM	ELTERO_SZOVEGALAP
Bír 1:4	G2532	και	CONJ	LXX_WH
Bír 1:4	G3588	τον	T-ASM	LXX_WH
Bír 1:4		φερεζαιον	N-ASM	ELTERO_SZOVEGALAP
Bír 1:4	G1722	εν	PREP	LXX_WH
Bír 1:4	G5495	χειρι	N-DSF	LXX_WH
Bír 1:4	G0846	αυτου	D-GSM	LXX_WH
Bír 1:4	G2532	και	CONJ	LXX_WH
Bír 1:4	G3960	επαταξεν	V-AAI-3S	LXX_WH
Bír 1:4	G0846	αυτους	D-APM	LXX_WH
Bír 1:4	G1722	εν	PREP	LXX_WH
Bír 1:4		βεζεκ	N-PRI	ELTERO_SZOVEGALAP
Bír 1:4	G1176	δεκα	N-NUI	LXX_WH
Bír 1:4	G5505	χιλιαδας	N-APF	LXX_WH
Bír 1:4	G0435	ανδρων	N-GPM	LXX_WH
Bír 1:5	G2532	και	CONJ	LXX_WH
Bír 1:5	G2147	ευρον	V-AAI-3P	LXX_WH
Bír 1:5	G3588	τον	T-ASM	LXX_WH
Bír 1:5		αδωνιβεζεκ	N-PRI	ELTERO_SZOVEGALAP
Bír 1:5	G1722	εν	PREP	LXX_WH
