Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Dán 1:1	G1722	εν	PREP	LXX_WH
Dán 1:1	G2094	ετει	N-DSN	LXX_WH
Dán 1:1	G5154	τριτω	A-DSN	LXX_WH
Dán 1:1	G3588	της	T-GSF	LXX_WH
Dán 1:1	G0932	βασιλειας	N-GSF	LXX_WH
Dán 1:1		ιωακιμ	N-PRI	ELTERO_SZOVEGALAP
Dán 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Dán 1:1	G2448	ιουδα	N-PRI	LXX_WH
Dán 1:1	G2064	ηλθεν	V-AAI-3S	LXX_WH
Dán 1:1	G3588	ναβουχοδονοσορ	N-PRI	ABP-potolt
Dán 1:1	G0935	βασιλευς	N-NSM	LXX_WH
Dán 1:1	G0897	βαβυλωνος	N-GSF	LXX_WH
Dán 1:1	G1519	εις	PREP	LXX_WH
Dán 1:1	G2419	ιερουσαλημ	N-PRI	LXX_WH
Dán 1:1	G2532	και	CONJ	LXX_WH
Dán 1:1		επολιορκει	V-IAI-3S	ELTERO_SZOVEGALAP
Dán 1:1	G0846	αυτην	D-ASF	LXX_WH
Dán 1:2	G2532	και	CONJ	LXX_WH
Dán 1:2	G1325	εδωκεν	V-AAI-3S	LXX_WH
Dán 1:2	G2962	κυριος	N-NSM	LXX_WH
Dán 1:2	G1722	εν	PREP	LXX_WH
Dán 1:2	G5495	χειρι	N-DSF	LXX_WH
Dán 1:2	G0846	αυτου	D-GSM	LXX_WH
Dán 1:2	G3588	τον	T-ASM	LXX_WH
Dán 1:2		ιωακιμ	N-PRI	ELTERO_SZOVEGALAP
Dán 1:2	G0935	βασιλεα	N-ASM	LXX_WH
Dán 1:2	G2448	ιουδα	N-PRI	LXX_WH
Dán 1:2	G2532	και	CONJ	LXX_WH
Dán 1:2	G0575	απο	PREP	LXX_WH
Dán 1:2	G3313	μερους	N-GSN	LXX_WH
Dán 1:2	G3588	των	T-GPN	LXX_WH
Dán 1:2	G4632	σκευων	N-GPN	LXX_WH
Dán 1:2	G3624	οικου	N-GSM	LXX_WH
Dán 1:2	G3588	του	T-GSM	LXX_WH
Dán 1:2	G2316	θεου	N-GSM	LXX_WH
Dán 1:2	G2532	και	CONJ	LXX_WH
