Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
5Móz 1:1	G3778	ουτοι	D-NPM	LXX_WH
5Móz 1:1	G3588	οι	T-NPM	LXX_WH
5Móz 1:1	G3056	λογοι	N-NPM	LXX_WH
5Móz 1:1	G3739	ους	R-APM	LXX_WH
5Móz 1:1	G2980	ελαλησεν	V-AAI-3S	LXX_WH
5Móz 1:1		μωυσης	N-NSM	ELTERO_SZOVEGALAP
5Móz 1:1	G3956	παντι	A-DSM	LXX_WH
5Móz 1:1	G2474	ισραηλ	N-PRI	LXX_WH
5Móz 1:1	G4008	περαν	ADV	LXX_WH
5Móz 1:1	G3588	του	T-GSM	LXX_WH
5Móz 1:1	G2446	ιορδανου	N-GSM	LXX_WH
5Móz 1:1	G1722	εν	PREP	LXX_WH
5Móz 1:1	G3588	τη	T-DSF	LXX_WH
5Móz 1:1	G2048	ερημω	N-DSF	LXX_WH
5Móz 1:1	G4314	προς	PREP	LXX_WH
5Móz 1:1	G1424	δυσμαις	N-DPF	LXX_WH
5Móz 1:1	G4139	πλησιον	ADV	LXX_WH
5Móz 1:1	G3588	της	T-GSF	LXX_WH
5Móz 1:1	G2063	ερυθρας	A-GSF	LXX_WH
5Móz 1:1	G0303	ανα	PREP	LXX_WH
5Móz 1:1	G3319	μεσον	A-ASM	LXX_WH
5Móz 1:1		φαραν	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:1		τοφολ	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:1	G2532	και	CONJ	LXX_WH
5Móz 1:1	G0836	λοβον	N-PRI	ABP-potolt
5Móz 1:1	G2532	και	CONJ	LXX_WH
5Móz 1:1	G0836	αυλων	N-PRI	ABP-potolt
5Móz 1:1	G2532	και	CONJ	LXX_WH
5Móz 1:1	G2710	καταχρυσεα	N	ABP-potolt
5Móz 1:2	G1733	ενδεκα	N-NUI	LXX_WH
5Móz 1:2	G2250	ημερων	N-GPF	LXX_WH
5Móz 1:2	G1722	εν	PREP	LXX_WH
5Móz 1:2		χωρηβ	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:2	G3598	οδος	N-NSF	LXX_WH
5Móz 1:2	G1909	επ	PREP	LXX_WH
5Móz 1:2	G3735	ορος	N-ASN	LXX_WH
5Móz 1:2		σηιρ	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:2	G2193	εως	PREP	LXX_WH
5Móz 1:2		καδης	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:2		βαρνη	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:3	G2532	και	CONJ	LXX_WH
5Móz 1:3	G1096	εγενηθη	V-API-3S	LXX_WH
5Móz 1:3	G1722	εν	PREP	LXX_WH
5Móz 1:3	G3588	τω	T-DSN	LXX_WH
5Móz 1:3	G5063	τεσσαρακοστω	A-DSN	ABP-potolt
5Móz 1:3	G2094	ετει	N-DSN	LXX_WH
5Móz 1:3	G1722	εν	PREP	LXX_WH
5Móz 1:3	G3588	τω	T-DSM	LXX_WH
5Móz 1:3	G1734	ενδεκατω	A-DSM	LXX_WH
5Móz 1:3	G3303	μηνι	N-DSM	LXX_WH
5Móz 1:3	G1519	μια	A-DSF	LXX_WH
5Móz 1:3	G3588	του	T-GSM	LXX_WH
5Móz 1:3	G3303	μηνος	N-GSM	LXX_WH
5Móz 1:3	G2980	ελαλησεν	V-AAI-3S	LXX_WH
5Móz 1:3		μωυσης	N-NSM	ELTERO_SZOVEGALAP
5Móz 1:3	G4314	προς	PREP	LXX_WH
5Móz 1:3	G3956	παντας	A-APM	LXX_WH
5Móz 1:3	G5207	υιους	N-APM	LXX_WH
5Móz 1:3	G2474	ισραηλ	N-PRI	LXX_WH
5Móz 1:3	G2596	κατα	PREP	LXX_WH
5Móz 1:3	G3956	παντα	A-APN	LXX_WH
5Móz 1:3	G3745	οσα	A-APN	LXX_WH
5Móz 1:3	G1781	ενετειλατο	V-AMI-3S	LXX_WH
5Móz 1:3	G2962	κυριος	N-NSM	LXX_WH
5Móz 1:3	G0846	αυτω	D-DSM	LXX_WH
5Móz 1:3	G4314	προς	PREP	LXX_WH
5Móz 1:3	G0846	αυτους	D-APM	LXX_WH
5Móz 1:4	G3326	μετα	PREP	LXX_WH
5Móz 1:4	G3588	το	T-ASN	LXX_WH
5Móz 1:4	G3960	παταξαι	V-AAN	LXX_WH
5Móz 1:4		σηων	N-PRI	
5Móz 1:4	G0935	βασιλεα	N-ASM	LXX_WH
5Móz 1:4	G3588	αμορραιων	N-GPM	ABP-potolt
5Móz 1:4	G3588	τον	T-ASM	LXX_WH
5Móz 1:4	G2730	κατοικησαντα	V-AAPAS	ABP-potolt
5Móz 1:4	G1722	εν	PREP	LXX_WH
5Móz 1:4		εσεβων	N-PRI	
5Móz 1:4	G2532	και	CONJ	LXX_WH
5Móz 1:4	G3588	ωγ	N-PRI	ABP-potolt
5Móz 1:4	G0935	βασιλεα	N-ASM	LXX_WH
5Móz 1:4	G3588	της	T-GSF	LXX_WH
5Móz 1:4	G0935	βασαν	N-PRI	ABP-potolt
5Móz 1:4	G3588	τον	T-ASM	LXX_WH
5Móz 1:4	G2730	κατοικησαντα	V-AAPAS	ABP-potolt
5Móz 1:4	G1722	εν	PREP	LXX_WH
5Móz 1:4		ασταρωθ	N-PRI	
5Móz 1:4	G2532	και	CONJ	LXX_WH
5Móz 1:4	G1722	εν	PREP	LXX_WH
5Móz 1:4		εδραιν	N-PRI	
5Móz 1:5	G1722	εν	PREP	LXX_WH
5Móz 1:5	G3588	τω	T-DSN	LXX_WH
5Móz 1:5	G4008	περαν	ADV	LXX_WH
5Móz 1:5	G3588	του	T-GSM	LXX_WH
5Móz 1:5	G2446	ιορδανου	N-GSM	LXX_WH
5Móz 1:5	G1722	εν	PREP	LXX_WH
5Móz 1:5	G1065	γη	N-DSF	LXX_WH
5Móz 1:5		μωαβ	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:5	G0757	ηρξατο	V-AMI-3S	LXX_WH
5Móz 1:5		μωυσης	N-NSM	ELTERO_SZOVEGALAP
5Móz 1:5	G1285	διασαφησαι	V-AAN	LXX_WH
5Móz 1:5	G3588	τον	T-ASM	LXX_WH
5Móz 1:5	G3551	νομον	N-ASM	LXX_WH
5Móz 1:5	G3778	τουτον	D-ASM	LXX_WH
5Móz 1:5	G3004	λεγων	V-PAPNS	LXX_WH
5Móz 1:6	G2962	κυριος	N-NSM	LXX_WH
5Móz 1:6	G3588	ο	T-NSM	LXX_WH
5Móz 1:6	G2316	θεος	N-NSM	LXX_WH
5Móz 1:6	G1473	ημων	P-GP	LXX_WH
5Móz 1:6	G2980	ελαλησεν	V-AAI-3S	LXX_WH
5Móz 1:6	G1473	ημιν	P-DP	LXX_WH
5Móz 1:6	G1722	εν	PREP	LXX_WH
5Móz 1:6		χωρηβ	N-PRI	ELTERO_SZOVEGALAP
5Móz 1:6	G3004	λεγων	V-PAPNS	LXX_WH
5Móz 1:6	G2427	ικανουσθω	V-PMD-3S	LXX_WH
5Móz 1:6	G4771	υμιν	P-DP	LXX_WH
5Móz 1:6		κατοικειν	V-PAN	ELTERO_SZOVEGALAP
5Móz 1:6	G1722	εν	PREP	LXX_WH
5Móz 1:6	G3588	τω	T-DSN	LXX_WH
5Móz 1:6	G3735	ορει	N-DSN	LXX_WH
5Móz 1:6	G3778	τουτω	D-DSN	LXX_WH
5Móz 1:7	G1994	επιστραφητε	V-APD-2P	LXX_WH
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G0522	απαρατε	V-AAD-2P	LXX_WH
5Móz 1:7	G4771	υμεις	P-NP	LXX_WH
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G1531	εισπορευεσθε	V-PMD-2P	LXX_WH
5Móz 1:7	G1519	εις	PREP	LXX_WH
5Móz 1:7	G3735	ορος	N-ASN	LXX_WH
5Móz 1:7		αμορραιων	N-GPM	ELTERO_SZOVEGALAP
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G4314	προς	PREP	LXX_WH
5Móz 1:7	G3956	παντας	A-APM	LXX_WH
5Móz 1:7	G3588	τους	T-APM	LXX_WH
5Móz 1:7	G4040	περιοικους	A-APM	LXX_WH
5Móz 1:7	G0687	αραβα	N-PRI	ABP-potolt
5Móz 1:7	G1519	εις	PREP	LXX_WH
5Móz 1:7	G3735	ορος	N-ASN	LXX_WH
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G3977	πεδιον	N-ASN	ABP-potolt
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G4314	προς	PREP	LXX_WH
5Móz 1:7	G3047	λιβα	N-ASM	LXX_WH
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7	G3882	παραλιαν	A-ASF	LXX_WH
5Móz 1:7	G1065	γην	N-ASF	LXX_WH
5Móz 1:7		χαναναιων	N-GPM	ELTERO_SZOVEGALAP
5Móz 1:7	G2532	και	CONJ	LXX_WH
5Móz 1:7		αντιλιβανον	N-ASM	ELTERO_SZOVEGALAP
5Móz 1:7	G2193	εως	PREP	LXX_WH
5Móz 1:7	G3588	του	T-GSM	LXX_WH
5Móz 1:7	G4215	ποταμου	N-GSM	LXX_WH
5Móz 1:7	G3588	του	T-GSM	LXX_WH
5Móz 1:7	G3173	μεγαλου	A-GSM	LXX_WH
5Móz 1:7	G2166	ευφρατου	N-GSM	LXX_WH
5Móz 1:8	G3708	ιδετε	V-AAD-2P	LXX_WH
5Móz 1:8	G3860	παραδεδωκα	V-RAI-1S	LXX_WH
5Móz 1:8	G1799	ενωπιον	PREP	LXX_WH
5Móz 1:8	G4771	υμων	P-GP	LXX_WH
5Móz 1:8	G3588	την	T-ASF	LXX_WH
5Móz 1:8	G1065	γην	N-ASF	LXX_WH
5Móz 1:8	G1531	εισπορευθεντες	V-APPNP	LXX_WH
5Móz 1:8	G2816	κληρονομησατε	V-AAD-2P	LXX_WH
5Móz 1:8	G3588	την	T-ASF	LXX_WH
5Móz 1:8	G1065	γην	N-ASF	LXX_WH
5Móz 1:8	G3739	ην	R-ASF	LXX_WH
5Móz 1:8	G3660	ωμοσα	V-AAI-1S	ABP-potolt
5Móz 1:8	G3588	τοις	T-DPM	LXX_WH
5Móz 1:8	G3962	πατρασιν	N-DPM	LXX_WH
5Móz 1:8	G4771	υμων	P-GP	LXX_WH
5Móz 1:8	G3588	τω	T-DSM	LXX_WH
5Móz 1:8	G0011	αβρααμ	N-PRI	LXX_WH
5Móz 1:8	G2532	και	CONJ	LXX_WH
5Móz 1:8	G2464	ισαακ	N-PRI	LXX_WH
5Móz 1:8	G2532	και	CONJ	LXX_WH
5Móz 1:8	G2384	ιακωβ	N-PRI	LXX_WH
5Móz 1:8	G1325	δουναι	V-AAN	LXX_WH
5Móz 1:8	G0846	αυτοις	D-DPM	LXX_WH
5Móz 1:8	G2532	και	CONJ	LXX_WH
5Móz 1:8	G3588	τω	T-DSN	LXX_WH
5Móz 1:8	G4690	σπερματι	N-DSN	LXX_WH
5Móz 1:8	G0846	αυτων	D-GPM	LXX_WH
5Móz 1:8	G3326	μετ	PREP	LXX_WH
5Móz 1:8	G0846	αυτους	D-APM	LXX_WH
5Móz 1:9	G2532	και	CONJ	LXX_WH
5Móz 1:9	G2036	ειπα	V-AAI-1S	ABP-potolt
5Móz 1:9	G4314	προς	PREP	LXX_WH
5Móz 1:9	G4771	υμας	P-AP	LXX_WH
5Móz 1:9	G1722	εν	PREP	LXX_WH
5Móz 1:9	G3588	τω	T-DSM	LXX_WH
5Móz 1:9	G2540	καιρω	N-DSM	LXX_WH
5Móz 1:9	G1565	εκεινω	D-DSM	LXX_WH
5Móz 1:9	G3004	λεγων	V-PAPNS	LXX_WH
5Móz 1:9	G3364	ου	ADV	LXX_WH
5Móz 1:9	G1410	δυνησομαι	V-FMI-1S	LXX_WH
5Móz 1:9	G3441	μονος	A-NSM	LXX_WH
5Móz 1:9	G5342	φερειν	V-PAN	LXX_WH
5Móz 1:9	G4771	υμας	P-AP	LXX_WH
5Móz 1:10	G2962	κυριος	N-NSM	LXX_WH
5Móz 1:10	G3588	ο	T-NSM	LXX_WH
5Móz 1:10	G2316	θεος	N-NSM	LXX_WH
5Móz 1:10	G4771	υμων	P-GP	LXX_WH
5Móz 1:10	G4129	επληθυνεν	V-AAI-3S	LXX_WH
5Móz 1:10	G4771	υμας	P-AP	LXX_WH
5Móz 1:10	G2532	και	CONJ	LXX_WH
5Móz 1:10	G2400	ιδου	INJ	LXX_WH
5Móz 1:10	G1510	εστε	V-PAI-2P	LXX_WH
5Móz 1:10	G4594	σημερον	ADV	LXX_WH
5Móz 1:10	G5616	ωσει	ADV	LXX_WH
5Móz 1:10	G3588	τα	T-APN	LXX_WH
5Móz 1:10	G0798	αστρα	N-APN	LXX_WH
5Móz 1:10	G3588	του	T-GSM	LXX_WH
5Móz 1:10	G3772	ουρανου	N-GSM	LXX_WH
5Móz 1:10	G3588	τω	T-DSN	LXX_WH
5Móz 1:10	G4128	πληθει	N-DSN	LXX_WH
5Móz 1:11	G2962	κυριος	N-NSM	LXX_WH
5Móz 1:11	G3588	ο	T-NSM	LXX_WH
5Móz 1:11	G2316	θεος	N-NSM	LXX_WH
5Móz 1:11	G3588	των	T-GPM	LXX_WH
5Móz 1:11	G3962	πατερων	N-GPM	LXX_WH
5Móz 1:11	G4771	υμων	P-GP	LXX_WH
5Móz 1:11	G4369	προσθειη	V-AAO-3S	LXX_WH
