Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Én 1:1		ασμα	N-NSN	
Én 1:1		ασματων	N-GPN	
Én 1:1	G3739	ο	R-NSN	LXX_WH
Én 1:1	G1510	εστιν	V-PAI-3S	LXX_WH
Én 1:1	G3588	τω	T-DSM	LXX_WH
Én 1:1		σαλωμων	N-PRI	
Én 1:2	G5368	φιλησατω	V-AAD-3S	LXX_WH
Én 1:2	G1473	με	P-AS	LXX_WH
Én 1:2	G0575	απο	PREP	LXX_WH
Én 1:2	G5370	φιληματων	N-GPN	LXX_WH
Én 1:2	G4750	στοματος	N-GSN	LXX_WH
Én 1:2	G0846	αυτου	D-GSM	LXX_WH
Én 1:2	G3754	οτι	CONJ	LXX_WH
Én 1:2	G0018	αγαθοι	A-NPM	LXX_WH
Én 1:2	G3149	μαστοι	N-NPM	LXX_WH
Én 1:2	G4771	σου	P-GS	LXX_WH
Én 1:2	G5228	υπερ	PREP	LXX_WH
Én 1:2	G3631	οινον	N-ASM	LXX_WH
Én 1:3	G2532	και	CONJ	LXX_WH
Én 1:3	G3744	οσμη	N-NSF	LXX_WH
Én 1:3	G3464	μυρων	N-GPN	LXX_WH
Én 1:3	G4771	σου	P-GS	LXX_WH
Én 1:3	G5228	υπερ	PREP	LXX_WH
Én 1:3	G3956	παντα	A-APN	LXX_WH
Én 1:3	G3588	τα	T-APN	LXX_WH
Én 1:3	G0759	αρωματα	N-APN	LXX_WH
Én 1:3	G3464	μυρον	N-NSN	LXX_WH
Én 1:3	G1573	εκκενωθεν	V-APPNS	ABP-potolt
Én 1:3	G3686	ονομα	N-NSN	LXX_WH
Én 1:3	G4771	σου	P-GS	LXX_WH
Én 1:3	G1223	δια	PREP	LXX_WH
Én 1:3	G3778	τουτο	D-ASN	LXX_WH
Én 1:3	G3494	νεανιδες	N-NPF	ABP-potolt
Én 1:3	G0025	ηγαπησαν	V-AAI-3P	LXX_WH
Én 1:3	G4771	σε	P-AS	LXX_WH
Én 1:4		ειλκυσαν	V-AAI-3P	ELTERO_SZOVEGALAP
Én 1:4	G4771	σε	P-AS	LXX_WH
Én 1:4	G3694	οπισω	PREP	LXX_WH
Én 1:4	G4771	σου	P-GS	LXX_WH
Én 1:4	G1519	εις	PREP	LXX_WH
Én 1:4	G3744	οσμην	N-ASF	LXX_WH
Én 1:4	G3464	μυρων	N-GPN	LXX_WH
Én 1:4	G4771	σου	P-GS	LXX_WH
Én 1:4	G5143	δραμουμεν	V-FAI-1P	LXX_WH
Én 1:4	G1533	εισηνεγκεν	V-AAI-3S	LXX_WH
Én 1:4	G1473	με	P-AS	LXX_WH
Én 1:4	G3588	ο	T-NSM	LXX_WH
Én 1:4	G0935	βασιλευς	N-NSM	LXX_WH
Én 1:4	G1519	εις	PREP	LXX_WH
Én 1:4	G3588	το	T-ASN	LXX_WH
Én 1:4		ταμιειον	N-ASN	ELTERO_SZOVEGALAP
Én 1:4	G0846	αυτου	D-GSM	LXX_WH
Én 1:4		αγαλλιασωμεθα	V-AMS-1P	ELTERO_SZOVEGALAP
Én 1:4	G2532	και	CONJ	LXX_WH
Én 1:4	G2165	ευφρανθωμεν	V-APS-1P	LXX_WH
Én 1:4	G1722	εν	PREP	LXX_WH
Én 1:4	G4771	σοι	P-DS	LXX_WH
Én 1:4	G0025	αγαπησομεν	V-FAI-1P	LXX_WH
Én 1:4	G3149	μαστους	N-APM	LXX_WH
Én 1:4	G4771	σου	P-GS	LXX_WH
Én 1:4	G5228	υπερ	PREP	LXX_WH
Én 1:4	G3631	οινον	N-ASM	LXX_WH
Én 1:4	G2118	ευθυτης	N-NSF	LXX_WH
Én 1:4	G0025	ηγαπησεν	V-AAI-3S	LXX_WH
Én 1:4	G4771	σε	P-AS	LXX_WH
