Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Eszt 1:2	G1722	εν	PREP	LXX_WH
Eszt 1:2	G0846	αυταις	D-DPF	LXX_WH
Eszt 1:2	G3588	ταις	T-DPF	LXX_WH
Eszt 1:2	G2250	ημεραις	N-DPF	LXX_WH
Eszt 1:2	G3753	οτε	ADV	LXX_WH
Eszt 1:2		εθρονισθη	V-API-3S	ELTERO_SZOVEGALAP
Eszt 1:2	G3588	ο	T-NSM	LXX_WH
Eszt 1:2	G0935	βασιλευς	N-NSM	LXX_WH
Eszt 1:2		αρταξερξης	N-NSM	ELTERO_SZOVEGALAP
Eszt 1:2	G1722	εν	PREP	LXX_WH
Eszt 1:2	G3778	σουσοις	N-PRI	ABP-potolt
Eszt 1:2	G3588	τη	T-DSF	LXX_WH
Eszt 1:2	G4172	πολει	N-DSF	LXX_WH
Eszt 1:3	G1722	εν	PREP	LXX_WH
Eszt 1:3	G3588	τω	T-DSN	LXX_WH
Eszt 1:3	G5154	τριτω	A-DSN	LXX_WH
Eszt 1:3	G2094	ετει	N-DSN	LXX_WH
Eszt 1:3	G0936	βασιλευοντος	V-PAPGS	LXX_WH
Eszt 1:3	G0846	αυτου	D-GSM	LXX_WH
Eszt 1:3	G1403	δοχην	N-ASF	LXX_WH
Eszt 1:3	G4160	εποιησεν	V-AAI-3S	LXX_WH
Eszt 1:3	G3588	τοις	T-DPM	LXX_WH
Eszt 1:3	G5384	φιλοις	A-DPM	LXX_WH
Eszt 1:3	G2532	και	CONJ	LXX_WH
Eszt 1:3	G3588	τοις	T-DPN	LXX_WH
Eszt 1:3	G3062	λοιποις	A-DPN	ABP-potolt
Eszt 1:3	G1484	εθνεσιν	N-DPN	LXX_WH
Eszt 1:3	G2532	και	CONJ	LXX_WH
Eszt 1:3	G3588	τοις	T-DPM	LXX_WH
Eszt 1:3	G5384	περσων	N-GPM	ABP-potolt
Eszt 1:3	G2532	και	CONJ	LXX_WH
Eszt 1:3		μηδων	N-GPM	ELTERO_SZOVEGALAP
Eszt 1:3	G1741	ενδοξοις	A-DPM	LXX_WH
Eszt 1:3	G2532	και	CONJ	LXX_WH
Eszt 1:3	G3588	τοις	T-DPM	LXX_WH
Eszt 1:3	G0758	αρχουσιν	N-DPM	LXX_WH
Eszt 1:3	G3588	των	T-GPM	LXX_WH
Eszt 1:3	G4568	σατραπων	N-GPM	ABP-potolt
Eszt 1:4	G2532	και	CONJ	LXX_WH
Eszt 1:4	G3326	μετα	PREP	LXX_WH
Eszt 1:4	G3778	ταυτα	D-APN	LXX_WH
Eszt 1:4	G3326	μετα	PREP	LXX_WH
Eszt 1:4	G3588	το	T-ASN	LXX_WH
Eszt 1:4	G1166	δειξαι	V-AAN	LXX_WH
Eszt 1:4	G0846	αυτοις	D-DPM	LXX_WH
Eszt 1:4	G3588	τον	T-ASM	LXX_WH
Eszt 1:4	G4149	πλουτον	N-ASM	LXX_WH
Eszt 1:4	G3588	της	T-GSF	LXX_WH
Eszt 1:4	G0932	βασιλειας	N-GSF	LXX_WH
Eszt 1:4	G0846	αυτου	D-GSM	LXX_WH
Eszt 1:4	G2532	και	CONJ	LXX_WH
Eszt 1:4	G3588	την	T-ASF	LXX_WH
Eszt 1:4	G1391	δοξαν	N-ASF	LXX_WH
Eszt 1:4	G3588	της	T-GSF	LXX_WH
Eszt 1:4	G2167	ευφροσυνης	N-GSF	LXX_WH
Eszt 1:4	G3588	του	T-GSM	LXX_WH
Eszt 1:4	G4149	πλουτου	N-GSM	LXX_WH
Eszt 1:4	G0846	αυτου	D-GSM	LXX_WH
Eszt 1:4	G1909	επι	PREP	LXX_WH
Eszt 1:4	G2250	ημερας	N-APF	LXX_WH
Eszt 1:4	G1540	εκατον	N-NUI	LXX_WH
Eszt 1:4	G3589	ογδοηκοντα	N-NUI	LXX_WH
Eszt 1:5	G3753	οτε	ADV	LXX_WH
Eszt 1:5	G1161	δε	PRT	LXX_WH
Eszt 1:5	G0378	ανεπληρωθησαν	V-API-3P	LXX_WH
Eszt 1:5	G3588	αι	T-NPF	LXX_WH
Eszt 1:5	G2250	ημεραι	N-NPF	LXX_WH
Eszt 1:5	G3588	του	T-GSM	LXX_WH
Eszt 1:5	G1062	γαμου	N-GSM	LXX_WH
Eszt 1:5	G4160	εποιησεν	V-AAI-3S	LXX_WH
Eszt 1:5	G3588	ο	T-NSM	LXX_WH
Eszt 1:5	G0935	βασιλευς	N-NSM	LXX_WH
Eszt 1:5	G4224	ποτον	N-ASM	LXX_WH
Eszt 1:5	G3588	τοις	T-DPN	LXX_WH
Eszt 1:5	G1484	εθνεσιν	N-DPN	LXX_WH
Eszt 1:5	G3588	τοις	T-DPN	LXX_WH
Eszt 1:5	G2147	ευρεθεισιν	V-APPDP	LXX_WH
Eszt 1:5	G1519	εις	PREP	LXX_WH
Eszt 1:5	G3588	την	T-ASF	LXX_WH
Eszt 1:5	G4172	πολιν	N-ASF	LXX_WH
Eszt 1:5	G1909	επι	PREP	LXX_WH
Eszt 1:5	G2250	ημερας	N-APF	LXX_WH
Eszt 1:5	G1803	εξ	N-NUI	LXX_WH
Eszt 1:5	G1722	εν	PREP	LXX_WH
Eszt 1:5	G0833	αυλη	N-DSF	LXX_WH
Eszt 1:5	G3624	οικου	N-GSM	LXX_WH
Eszt 1:5	G3588	του	T-GSM	LXX_WH
Eszt 1:5	G0935	βασιλεως	N-GSM	LXX_WH
Eszt 1:6	G2885	κεκοσμημενη	V-RMPDS	LXX_WH
Eszt 1:6	G1039	βυσσινοις	A-DPM	LXX_WH
Eszt 1:6	G2532	και	CONJ	LXX_WH
Eszt 1:6		καρπασινοις	N-DPM	
Eszt 1:6		τεταμενοις	V-RMPDP	
Eszt 1:6	G1909	επι	PREP	LXX_WH
Eszt 1:6	G4979	σχοινιοις	N-DPN	LXX_WH
