Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
2Móz 1:1	G3778	ταυτα	D-NPN	LXX_WH
2Móz 1:1	G3588	τα	T-NPN	LXX_WH
2Móz 1:1	G3686	ονοματα	N-NPN	LXX_WH
2Móz 1:1	G3588	των	T-GPM	LXX_WH
2Móz 1:1	G5207	υιων	N-GPM	LXX_WH
2Móz 1:1	G2474	ισραηλ	N-PRI	LXX_WH
2Móz 1:1	G3588	των	T-GPM	LXX_WH
2Móz 1:1	G1531	εισπεπορευμενων	V-RPPGP	LXX_WH
2Móz 1:1	G1519	εις	PREP	LXX_WH
2Móz 1:1	G0125	αιγυπτον	N-ASF	LXX_WH
2Móz 1:1	G0260	αμα	ADV	LXX_WH
2Móz 1:1	G2384	ιακωβ	N-PRI	LXX_WH
2Móz 1:1	G3588	τω	T-DSM	LXX_WH
2Móz 1:1	G3962	πατρι	N-DSM	LXX_WH
2Móz 1:1	G0846	αυτων	D-GPM	LXX_WH
2Móz 1:1	G1538	εκαστος	A-NSM	LXX_WH
2Móz 1:1		πανοικια	N-DSF	ELTERO_SZOVEGALAP
2Móz 1:1	G0846	αυτων	D-GPM	LXX_WH
2Móz 1:1	G1525	εισηλθοσαν	V-AAI-3P	LXX_WH
2Móz 1:2		ρουβην	N-PRI	ELTERO_SZOVEGALAP
2Móz 1:2	G4826	συμεων	N-PRI	LXX_WH
2Móz 1:2	G3017	λευι	N-PRI	LXX_WH
2Móz 1:2	G2455	ιουδας	N-PRI	LXX_WH
2Móz 1:3		ισσαχαρ	N-PRI	ELTERO_SZOVEGALAP
2Móz 1:3	G2194	ζαβουλων	N-PRI	LXX_WH
2Móz 1:3	G2532	και	CONJ	LXX_WH
2Móz 1:3	G0958	βενιαμιν	N-PRI	LXX_WH
2Móz 1:4	G2532	δαν	N-PRI	ABP-potolt
2Móz 1:4	G2532	και	CONJ	LXX_WH
2Móz 1:4		νεφθαλι	N-PRI	ELTERO_SZOVEGALAP
2Móz 1:4	G1045	γαδ	N-PRI	LXX_WH
2Móz 1:4	G2532	και	CONJ	LXX_WH
2Móz 1:4	G0768	ασηρ	N-PRI	LXX_WH
2Móz 1:5	G2501	ιωσηφ	N-PRI	LXX_WH
2Móz 1:5	G1161	δε	PRT	LXX_WH
2Móz 1:5	G1510	ην	V-IAI-3S	LXX_WH
2Móz 1:5	G1722	εν	PREP	LXX_WH
2Móz 1:5	G0125	αιγυπτω	N-DSF	LXX_WH
2Móz 1:5	G1510	ησαν	V-IAI-3P	LXX_WH
2Móz 1:5	G1161	δε	PRT	LXX_WH
2Móz 1:5	G3956	πασαι	A-NPF	LXX_WH
2Móz 1:5	G5590	ψυχαι	N-NPF	LXX_WH
2Móz 1:5	G1537	εξ	PREP	LXX_WH
2Móz 1:5	G2384	ιακωβ	N-PRI	LXX_WH
2Móz 1:5	G4002	πεντε	N-NUI	LXX_WH
2Móz 1:5	G2532	και	CONJ	LXX_WH
2Móz 1:5	G1440	εβδομηκοντα	N-NUI	LXX_WH
2Móz 1:6	G5053	ετελευτησεν	V-AAI-3S	LXX_WH
2Móz 1:6	G1161	δε	PRT	LXX_WH
2Móz 1:6	G2501	ιωσηφ	N-PRI	LXX_WH
2Móz 1:6	G2532	και	CONJ	LXX_WH
2Móz 1:6	G3956	παντες	A-NPM	LXX_WH
2Móz 1:6	G3588	οι	T-NPM	LXX_WH
2Móz 1:6	G0080	αδελφοι	N-NPM	LXX_WH
2Móz 1:6	G0846	αυτου	D-GSM	LXX_WH
2Móz 1:6	G2532	και	CONJ	LXX_WH
2Móz 1:6	G3956	πασα	A-NSF	LXX_WH
2Móz 1:6	G3588	η	T-NSF	LXX_WH
2Móz 1:6	G1074	γενεα	N-NSF	LXX_WH
2Móz 1:6	G1565	εκεινη	D-NSF	LXX_WH
2Móz 1:7	G3588	οι	T-NPM	LXX_WH
2Móz 1:7	G1161	δε	PRT	LXX_WH
2Móz 1:7	G5207	υιοι	N-NPM	LXX_WH
2Móz 1:7	G2474	ισραηλ	N-PRI	LXX_WH
