Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Ez 1:1	G2532	και	CONJ	LXX_WH
Ez 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Ez 1:1	G1722	εν	PREP	LXX_WH
Ez 1:1	G3588	τω	T-DSN	LXX_WH
Ez 1:1	G5145	τριακοστω	A-DSN	ABP-potolt
Ez 1:1	G2094	ετει	N-DSN	LXX_WH
Ez 1:1	G1722	εν	PREP	LXX_WH
Ez 1:1	G3588	τω	T-DSM	LXX_WH
Ez 1:1	G5067	τεταρτω	A-DSM	LXX_WH
Ez 1:1	G3303	μηνι	N-DSM	LXX_WH
Ez 1:1	G3991	πεμπτη	A-DSF	LXX_WH
Ez 1:1	G3588	του	T-GSM	LXX_WH
Ez 1:1	G3303	μηνος	N-GSM	LXX_WH
Ez 1:1	G2532	και	CONJ	LXX_WH
Ez 1:1	G1473	εγω	P-NS	LXX_WH
Ez 1:1	G1510	ημην	V-IAI-1S	LXX_WH
Ez 1:1	G1722	εν	PREP	LXX_WH
Ez 1:1	G3319	μεσω	A-DSN	LXX_WH
Ez 1:1	G3588	της	T-GSF	LXX_WH
Ez 1:1	G0161	αιχμαλωσιας	N-GSF	LXX_WH
Ez 1:1	G1909	επι	PREP	LXX_WH
Ez 1:1	G3588	του	T-GSM	LXX_WH
Ez 1:1	G4215	ποταμου	N-GSM	LXX_WH
Ez 1:1	G3588	του	T-GSM	LXX_WH
Ez 1:1		χοβαρ	N-PRI	
Ez 1:1	G2532	και	CONJ	LXX_WH
Ez 1:1	G0455	ηνοιχθησαν	V-API-3P	LXX_WH
Ez 1:1	G3588	οι	T-NPM	LXX_WH
Ez 1:1	G3772	ουρανοι	N-NPM	LXX_WH
Ez 1:1	G2532	και	CONJ	LXX_WH
Ez 1:1	G3708	ειδον	V-AAI-1S	LXX_WH
Ez 1:1	G3706	ορασεις	N-APF	LXX_WH
Ez 1:1	G2316	θεου	N-GSM	LXX_WH
Ez 1:2	G3991	πεμπτη	A-DSF	LXX_WH
Ez 1:2	G3588	του	T-GSM	LXX_WH
Ez 1:2	G3303	μηνος	N-GSM	LXX_WH
Ez 1:2	G3778	τουτο	D-NSN	LXX_WH
Ez 1:2	G3588	το	T-NSN	LXX_WH
Ez 1:2	G2094	ετος	N-NSN	LXX_WH
Ez 1:2	G3588	το	T-NSN	LXX_WH
Ez 1:2	G3991	πεμπτον	A-NSN	LXX_WH
Ez 1:2	G3588	της	T-GSF	LXX_WH
Ez 1:2	G0161	αιχμαλωσιας	N-GSF	LXX_WH
Ez 1:2	G3588	του	T-GSM	LXX_WH
Ez 1:2	G0935	βασιλεως	N-GSM	LXX_WH
Ez 1:2		ιωακιμ	N-PRI	ELTERO_SZOVEGALAP
Ez 1:3	G2532	και	CONJ	LXX_WH
Ez 1:3	G1096	εγενετο	V-AMI-3S	LXX_WH
Ez 1:3	G3056	λογος	N-NSM	LXX_WH
Ez 1:3	G2962	κυριου	N-GSM	LXX_WH
Ez 1:3	G4314	προς	PREP	LXX_WH
Ez 1:3	G3588	ιεζεκιηλ	N-PRI	ABP-potolt
Ez 1:3	G5207	υιον	N-ASM	LXX_WH
Ez 1:3		βουζι	N-PRI	ELTERO_SZOVEGALAP
Ez 1:3	G3588	τον	T-ASM	LXX_WH
Ez 1:3	G2409	ιερεα	N-ASM	LXX_WH
Ez 1:3	G1722	εν	PREP	LXX_WH
Ez 1:3	G1065	γη	N-DSF	LXX_WH
Ez 1:3	G5466	χαλδαιων	N-GPM	LXX_WH
Ez 1:3	G1909	επι	PREP	LXX_WH
Ez 1:3	G3588	του	T-GSM	LXX_WH
Ez 1:3	G4215	ποταμου	N-GSM	LXX_WH
Ez 1:3	G3588	του	T-GSM	LXX_WH
Ez 1:3		χοβαρ	N-PRI	ELTERO_SZOVEGALAP
Ez 1:3	G2532	και	CONJ	LXX_WH
Ez 1:3	G1096	εγενετο	V-AMI-3S	LXX_WH
Ez 1:3	G1909	επ	PREP	LXX_WH
Ez 1:3	G1473	εμε	P-AS	LXX_WH
Ez 1:3	G5495	χειρ	N-NSF	LXX_WH
Ez 1:3	G2962	κυριου	N-GSM	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G3708	ειδον	V-AAI-1S	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G2400	ιδου	INJ	LXX_WH
Ez 1:4	G4151	πνευμα	N-NSN	LXX_WH
Ez 1:4	G1808	εξαιρον	V-PAPNS	LXX_WH
Ez 1:4	G0757	ηρχετο	V-IMI-3S	LXX_WH
Ez 1:4	G0575	απο	PREP	LXX_WH
Ez 1:4	G1005	βορρα	N-GSM	ABP-potolt
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G3507	νεφελη	N-NSF	LXX_WH
Ez 1:4	G3173	μεγαλη	A-NSF	LXX_WH
Ez 1:4	G1722	εν	PREP	LXX_WH
Ez 1:4	G0846	αυτω	D-DSM	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G5338	φεγγος	N-NSN	LXX_WH
Ez 1:4		κυκλω	N-DSM	ELTERO_SZOVEGALAP
Ez 1:4	G0846	αυτου	D-GSM	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G4442	πυρ	N-NSN	LXX_WH
Ez 1:4	G1823	εξαστραπτον	V-PAPNS	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G1722	εν	PREP	LXX_WH
Ez 1:4	G3588	τω	T-DSM	LXX_WH
Ez 1:4	G3319	μεσω	A-DSN	LXX_WH
Ez 1:4	G0846	αυτου	D-GSM	LXX_WH
Ez 1:4	G3739	ως	CONJ	LXX_WH
Ez 1:4	G3706	ορασις	N-NSF	LXX_WH
Ez 1:4	G2240	ηλεκτρου	N-GSN	ABP-potolt
Ez 1:4	G1722	εν	PREP	LXX_WH
Ez 1:4	G3319	μεσω	A-DSN	LXX_WH
Ez 1:4	G3588	του	T-GSN	LXX_WH
Ez 1:4	G4442	πυρος	N-GSN	LXX_WH
Ez 1:4	G2532	και	CONJ	LXX_WH
Ez 1:4	G5338	φεγγος	N-ASN	LXX_WH
Ez 1:4	G1722	εν	PREP	LXX_WH
Ez 1:4	G0846	αυτω	D-DSM	LXX_WH
Ez 1:5	G2532	και	CONJ	LXX_WH
Ez 1:5	G1722	εν	PREP	LXX_WH
Ez 1:5	G3588	τω	T-DSN	LXX_WH
Ez 1:5	G3319	μεσω	A-DSN	LXX_WH
Ez 1:5	G3739	ως	CONJ	LXX_WH
Ez 1:5	G3667	ομοιωμα	N-NSN	LXX_WH
Ez 1:5	G5064	τεσσαρων	A-GPN	LXX_WH
Ez 1:5	G2226	ζωων	N-GPN	LXX_WH
Ez 1:5	G2532	και	CONJ	LXX_WH
Ez 1:5	G3778	αυτη	D-NSF	LXX_WH
Ez 1:5	G3588	η	T-NSF	LXX_WH
Ez 1:5	G3706	ορασις	N-NSF	LXX_WH
Ez 1:5	G0846	αυτων	D-GPN	LXX_WH
Ez 1:5	G3667	ομοιωμα	N-NSN	LXX_WH
Ez 1:5	G0444	ανθρωπου	N-GSM	LXX_WH
Ez 1:5	G1909	επ	PREP	LXX_WH
Ez 1:5	G0846	αυτοις	D-DPN	LXX_WH
Ez 1:6	G2532	και	CONJ	LXX_WH
Ez 1:6	G5064	τεσσαρα	A-NPN	LXX_WH
Ez 1:6	G4383	προσωπα	N-NPN	LXX_WH
Ez 1:6	G3588	τω	T-DSN	LXX_WH
Ez 1:6	G1519	ενι	A-DSN	LXX_WH
Ez 1:6	G2532	και	CONJ	LXX_WH
Ez 1:6	G5064	τεσσαρες	A-NPF	LXX_WH
Ez 1:6	G4420	πτερυγες	N-NPF	LXX_WH
Ez 1:6	G3588	τω	T-DSN	LXX_WH
Ez 1:6	G1519	ενι	A-DSN	LXX_WH
Ez 1:7	G2532	και	CONJ	LXX_WH
