Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Ézs 1:1	G3706	ορασις	N-NSF	LXX_WH
Ézs 1:1	G3739	ην	R-ASF	LXX_WH
Ézs 1:1	G3708	ειδεν	V-AAI-3S	LXX_WH
Ézs 1:1	G2268	ησαιας	N-PRI	LXX_WH
Ézs 1:1	G5207	υιος	N-NSM	LXX_WH
Ézs 1:1	G0301	αμως	N-PRI	LXX_WH
Ézs 1:1	G3739	ην	R-ASF	LXX_WH
Ézs 1:1	G3708	ειδεν	V-AAI-3S	LXX_WH
Ézs 1:1	G2596	κατα	ADV	LXX_WH
Ézs 1:1	G3588	της	T-GSF	LXX_WH
Ézs 1:1	G2449	ιουδαιας	N-GSF	LXX_WH
Ézs 1:1	G2532	και	CONJ	LXX_WH
Ézs 1:1	G2596	κατα	ADV	LXX_WH
Ézs 1:1	G2419	ιερουσαλημ	N-PRI	LXX_WH
Ézs 1:1	G1722	εν	PREP	LXX_WH
Ézs 1:1	G0932	βασιλεια	N-DSF	LXX_WH
Ézs 1:1	G3604	οζιου	N-GSM	LXX_WH
Ézs 1:1	G2532	και	CONJ	LXX_WH
Ézs 1:1	G2488	ιωαθαμ	N-PRI	LXX_WH
Ézs 1:1	G2532	και	CONJ	LXX_WH
Ézs 1:1	G0881	αχαζ	N-PRI	LXX_WH
Ézs 1:1	G2532	και	CONJ	LXX_WH
Ézs 1:1	G2532	εζεκιου	N-GSM	ABP-potolt
Ézs 1:1	G3739	οι	R-NPM	LXX_WH
Ézs 1:1	G0936	εβασιλευσαν	V-AAI-3P	LXX_WH
Ézs 1:1	G3588	της	T-GSF	LXX_WH
Ézs 1:1	G2449	ιουδαιας	N-GSF	LXX_WH
Ézs 1:2	G0191	ακουε	V-PAD-2S	LXX_WH
Ézs 1:2	G3772	ουρανε	N-VSM	LXX_WH
Ézs 1:2	G2532	και	CONJ	LXX_WH
Ézs 1:2	G1801	ενωτιζου	V-PMD-2S	LXX_WH
Ézs 1:2	G1065	γη	N-VSF	LXX_WH
Ézs 1:2	G3754	οτι	CONJ	LXX_WH
Ézs 1:2	G2962	κυριος	N-NSM	LXX_WH
Ézs 1:2	G2980	ελαλησεν	V-AAI-3S	LXX_WH
Ézs 1:2	G5207	υιους	N-APM	LXX_WH
Ézs 1:2	G1080	εγεννησα	V-AAI-1S	LXX_WH
Ézs 1:2	G2532	και	CONJ	LXX_WH
Ézs 1:2	G5312	υψωσα	V-AAI-1S	LXX_WH
Ézs 1:2	G0846	αυτοι	D-NPM	LXX_WH
Ézs 1:2	G1161	δε	PRT	LXX_WH
Ézs 1:2	G1473	με	P-AS	LXX_WH
Ézs 1:2	G0114	ηθετησαν	V-AAI-3P	LXX_WH
Ézs 1:3	G1097	εγνω	V-AAI-3S	LXX_WH
Ézs 1:3	G1016	βους	N-NSM	LXX_WH
Ézs 1:3	G3588	τον	T-ASM	LXX_WH
Ézs 1:3	G2932	κτησαμενον	V-AMPAS	LXX_WH
Ézs 1:3	G2532	και	CONJ	LXX_WH
Ézs 1:3	G3688	ονος	N-NSM	LXX_WH
Ézs 1:3	G3588	την	T-ASF	LXX_WH
Ézs 1:3	G5336	φατνην	N-ASF	LXX_WH
Ézs 1:3	G3588	του	T-GSM	LXX_WH
Ézs 1:3	G2962	κυριου	N-GSM	LXX_WH
Ézs 1:3	G0846	αυτου	D-GSM	LXX_WH
Ézs 1:3	G2474	ισραηλ	N-PRI	LXX_WH
Ézs 1:3	G1161	δε	PRT	LXX_WH
Ézs 1:3	G1473	με	P-AS	LXX_WH
Ézs 1:3	G3364	ουκ	ADV	LXX_WH
Ézs 1:3	G1097	εγνω	V-AAI-3S	LXX_WH
Ézs 1:3	G2532	και	CONJ	LXX_WH
Ézs 1:3	G3588	ο	T-NSM	LXX_WH
Ézs 1:3	G2992	λαος	N-NSM	LXX_WH
Ézs 1:3	G1473	με	P-AS	LXX_WH
Ézs 1:3	G3364	ου	ADV	LXX_WH
Ézs 1:3	G4920	συνηκεν	V-AAI-3S	LXX_WH
Ézs 1:4	G3759	ουαι	INJ	LXX_WH
Ézs 1:4	G1484	εθνος	N-NSN	LXX_WH
Ézs 1:4	G0268	αμαρτωλον	A-NSN	LXX_WH
Ézs 1:4	G2992	λαος	N-NSM	LXX_WH
Ézs 1:4	G4134	πληρης	A-NSM	LXX_WH
Ézs 1:4	G0266	αμαρτιων	N-GPF	LXX_WH
Ézs 1:4	G4690	σπερμα	N-NSN	LXX_WH
Ézs 1:4	G4190	πονηρον	A-NSN	LXX_WH
Ézs 1:4	G5207	υιοι	N-NPM	LXX_WH
Ézs 1:4	G0459	ανομοι	A-NPM	LXX_WH
Ézs 1:4	G1459	εγκατελιπατε	V-AAI-2P	LXX_WH
Ézs 1:4	G3588	τον	T-ASM	LXX_WH
Ézs 1:4	G2962	κυριον	N-ASM	LXX_WH
Ézs 1:4	G2532	και	CONJ	LXX_WH
Ézs 1:4	G3949	παρωργισατε	V-AAI-2P	LXX_WH
Ézs 1:4	G3588	τον	T-ASM	LXX_WH
Ézs 1:4	G0040	αγιον	A-ASM	LXX_WH
Ézs 1:4	G3588	του	T-GSM	LXX_WH
Ézs 1:4	G2474	ισραηλ	N-PRI	LXX_WH
Ézs 1:5	G5100	τι	I-ASN	LXX_WH
Ézs 1:5	G2089	ετι	ADV	LXX_WH
Ézs 1:5	G4141	πληγητε	V-APS-2P	LXX_WH
Ézs 1:5	G4369	προστιθεντες	V-PAPNP	LXX_WH
Ézs 1:5	G0458	ανομιαν	N-ASF	LXX_WH
Ézs 1:5	G3956	πασα	A-NSF	LXX_WH
Ézs 1:5	G2776	κεφαλη	N-NSF	LXX_WH
Ézs 1:5	G1519	εις	PREP	LXX_WH
Ézs 1:5	G4192	πονον	N-ASM	LXX_WH
Ézs 1:5	G2532	και	CONJ	LXX_WH
Ézs 1:5	G3956	πασα	A-NSF	LXX_WH
Ézs 1:5	G2588	καρδια	N-NSF	LXX_WH
Ézs 1:5	G1519	εις	PREP	LXX_WH
Ézs 1:5	G3077	λυπην	N-ASF	LXX_WH
Ézs 1:6	G0575	απο	PREP	LXX_WH
Ézs 1:6	G4228	ποδων	N-GPM	LXX_WH
Ézs 1:6	G2193	εως	CONJ	LXX_WH
Ézs 1:6	G2776	κεφαλης	N-GSF	LXX_WH
Ézs 1:6	G3777	ουτε	CONJ	LXX_WH
Ézs 1:6	G5134	τραυμα	N-NSN	LXX_WH
Ézs 1:6	G3777	ουτε	CONJ	LXX_WH
Ézs 1:6	G3468	μωλωψ	N-NSM	LXX_WH
Ézs 1:6	G3777	ουτε	CONJ	LXX_WH
Ézs 1:6	G4127	πληγη	N-NSF	LXX_WH
Ézs 1:6		φλεγμαινουσα	V-PAPNS	ELTERO_SZOVEGALAP
Ézs 1:6	G3364	ουκ	ADV	LXX_WH
Ézs 1:6	G1510	εστιν	V-PAI-3S	LXX_WH
Ézs 1:6		μαλαγμα	N-ASN	ELTERO_SZOVEGALAP
Ézs 1:6	G2007	επιθειναι	V-AAN	LXX_WH
Ézs 1:6	G3777	ουτε	CONJ	LXX_WH
Ézs 1:6	G1637	ελαιον	N-ASN	LXX_WH
Ézs 1:6	G3777	ουτε	CONJ	LXX_WH
Ézs 1:6	G2610	καταδεσμους	N-APN	ABP-potolt
Ézs 1:7	G3588	η	T-NSF	LXX_WH
Ézs 1:7	G1065	γη	N-NSF	LXX_WH
Ézs 1:7	G4771	υμων	P-GP	LXX_WH
Ézs 1:7	G2048	ερημος	N-NSF	LXX_WH
Ézs 1:7	G3588	αι	T-NPF	LXX_WH
Ézs 1:7	G4172	πολεις	N-NPF	LXX_WH
Ézs 1:7	G4771	υμων	P-GP	LXX_WH
Ézs 1:7		πυρικαυστοι	N-NPM	ELTERO_SZOVEGALAP
Ézs 1:7	G3588	την	T-ASF	LXX_WH
Ézs 1:7	G5561	χωραν	N-ASF	LXX_WH
Ézs 1:7	G4771	υμων	P-GP	LXX_WH
Ézs 1:7	G1799	ενωπιον	PREP	LXX_WH
Ézs 1:7	G4771	υμων	P-GP	LXX_WH
Ézs 1:7	G0245	αλλοτριοι	A-NPM	LXX_WH
Ézs 1:7	G2719	κατεσθιουσιν	V-PAI-3P	LXX_WH
Ézs 1:7	G0846	αυτην	D-ASF	LXX_WH
Ézs 1:7	G2532	και	CONJ	LXX_WH
Ézs 1:7	G2049	ηρημωται	V-AMI-3S	LXX_WH
Ézs 1:7	G2690	κατεστραμμενη	V-RMPNS	LXX_WH
Ézs 1:7	G5259	υπο	PREP	LXX_WH
Ézs 1:7	G2992	λαων	N-GPM	LXX_WH
Ézs 1:7	G0245	αλλοτριων	A-GPM	LXX_WH
Ézs 1:8	G1459	εγκαταλειφθησεται	V-FPI-3S	LXX_WH
Ézs 1:8	G3588	η	T-NSF	LXX_WH
Ézs 1:8	G2364	θυγατηρ	N-NSF	LXX_WH
Ézs 1:8	G4622	σιων	N-PRI	LXX_WH
Ézs 1:8	G3739	ως	ADV	LXX_WH
Ézs 1:8	G4633	σκηνη	N-NSF	LXX_WH
Ézs 1:8	G1722	εν	PREP	LXX_WH
Ézs 1:8	G0290	αμπελωνι	N-DSM	LXX_WH
Ézs 1:8	G2532	και	CONJ	LXX_WH
Ézs 1:8	G3739	ως	ADV	LXX_WH
Ézs 1:8		οπωροφυλακιον	N-NSN	ELTERO_SZOVEGALAP
Ézs 1:8	G1722	εν	PREP	LXX_WH
Ézs 1:8		σικυηρατω	N-DSN	ELTERO_SZOVEGALAP
Ézs 1:8	G3739	ως	ADV	LXX_WH
Ézs 1:8	G4172	πολις	N-NSF	LXX_WH
Ézs 1:8	G4171	πολιορκουμενη	V-PMPNS	ABP-potolt
Ézs 1:9	G2532	και	CONJ	LXX_WH
Ézs 1:9	G1487	ει	CONJ	LXX_WH
Ézs 1:9	G3165	μη	ADV	LXX_WH
Ézs 1:9	G2962	κυριος	N-NSM	LXX_WH
Ézs 1:9	G4519	σαβαωθ	N-PRI	LXX_WH
Ézs 1:9	G1459	εγκατελιπεν	V-AAI-3S	LXX_WH
Ézs 1:9	G1473	ημιν	P-DP	LXX_WH
Ézs 1:9	G4690	σπερμα	N-ASN	LXX_WH
Ézs 1:9	G3739	ως	ADV	LXX_WH
Ézs 1:9	G4670	σοδομα	N-PRI	LXX_WH
Ézs 1:9	G0302	αν	PRT	LXX_WH
Ézs 1:9	G1096	εγενηθημεν	V-API-1P	LXX_WH
Ézs 1:9	G2532	και	CONJ	LXX_WH
Ézs 1:9	G3739	ως	ADV	LXX_WH
Ézs 1:9		γομορρα	N-PRI	ELTERO_SZOVEGALAP
Ézs 1:9	G0302	αν	PRT	LXX_WH
Ézs 1:9	G3666	ωμοιωθημεν	V-API-1P	LXX_WH
Ézs 1:10	G0191	ακουσατε	V-AAD-2P	LXX_WH
Ézs 1:10	G3056	λογον	N-ASM	LXX_WH
Ézs 1:10	G2962	κυριου	N-GSM	LXX_WH
Ézs 1:10	G0758	αρχοντες	N-NPM	LXX_WH
Ézs 1:10	G4670	σοδομων	N-PRI	LXX_WH
Ézs 1:10	G4337	προσεχετε	V-PAD-2P	LXX_WH
Ézs 1:10	G3551	νομον	N-ASM	LXX_WH
Ézs 1:10	G2316	θεου	N-GSM	LXX_WH
Ézs 1:10	G2992	λαος	N-NSM	LXX_WH
Ézs 1:10		γομορρας	N-PRI	ELTERO_SZOVEGALAP
Ézs 1:11	G5100	τι	I-ASN	LXX_WH
Ézs 1:11	G1473	μοι	P-DS	LXX_WH
Ézs 1:11	G4128	πληθος	N-NSM	LXX_WH
Ézs 1:11	G3588	των	T-GPF	LXX_WH
Ézs 1:11	G2378	θυσιων	N-GPF	LXX_WH
Ézs 1:11	G4771	υμων	P-GP	LXX_WH
Ézs 1:11	G3004	λεγει	V-PAI-3S	LXX_WH
Ézs 1:11	G2962	κυριος	N-NSM	LXX_WH
Ézs 1:11	G4134	πληρης	A-NSF	LXX_WH
Ézs 1:11	G1510	ειμι	V-PAI-1S	LXX_WH
Ézs 1:11	G3646	ολοκαυτωματων	N-GPN	LXX_WH
Ézs 1:11	G2919	κριων	N-GPM	ABP-potolt
Ézs 1:11	G2532	και	CONJ	LXX_WH
Ézs 1:11		στεαρ	N-ASN	ELTERO_SZOVEGALAP
Ézs 1:11		αρνων	N-GPM	ELTERO_SZOVEGALAP
Ézs 1:11	G2532	και	CONJ	LXX_WH
Ézs 1:11	G0129	αιμα	N-ASN	LXX_WH
Ézs 1:11	G5022	ταυρων	N-GPM	LXX_WH
Ézs 1:11	G2532	και	CONJ	LXX_WH
Ézs 1:11	G5131	τραγων	N-GPM	LXX_WH
Ézs 1:11	G3364	ου	ADV	LXX_WH
Ézs 1:11	G1014	βουλομαι	V-PMI-1S	LXX_WH
Ézs 1:12	G3761	ουδ	CONJ	LXX_WH
Ézs 1:12	G1437	εαν	CONJ	LXX_WH
Ézs 1:12	G2064	ερχησθε	V-PMS-2P	LXX_WH
Ézs 1:12	G3708	οφθηναι	V-APN	LXX_WH
Ézs 1:12	G1473	μοι	P-DS	LXX_WH
Ézs 1:12	G5100	τις	I-NSM	LXX_WH
Ézs 1:12	G1063	γαρ	PRT	LXX_WH
Ézs 1:12	G1567	εξεζητησεν	V-AAI-3S	LXX_WH
Ézs 1:12	G3778	ταυτα	D-APN	LXX_WH
Ézs 1:12	G1537	εκ	PREP	LXX_WH
Ézs 1:12	G3588	των	T-GPF	LXX_WH
Ézs 1:12	G5495	χειρων	N-GPF	LXX_WH
Ézs 1:12	G4771	υμων	P-GP	LXX_WH
Ézs 1:12	G3961	πατειν	V-PAN	LXX_WH
Ézs 1:12	G3588	την	T-ASF	LXX_WH
Ézs 1:12	G0833	αυλην	N-ASF	LXX_WH
Ézs 1:12	G1473	μου	P-GS	LXX_WH
Ézs 1:13	G3364	ου	ADV	LXX_WH
Ézs 1:13	G4369	προσθησεσθε	V-FMI-2P	LXX_WH
Ézs 1:13	G1437	εαν	CONJ	LXX_WH
Ézs 1:13	G5342	φερητε	V-PAS-2P	LXX_WH
Ézs 1:13	G4585	σεμιδαλιν	N-ASF	LXX_WH
Ézs 1:13	G3152	ματαιον	A-ASN	LXX_WH
Ézs 1:13	G2368	θυμιαμα	N-ASN	LXX_WH
Ézs 1:13	G0946	βδελυγμα	N-NSN	LXX_WH
Ézs 1:13	G1473	μοι	P-DS	LXX_WH
Ézs 1:13	G1510	εστιν	V-PAI-3S	LXX_WH
Ézs 1:13	G3588	τας	T-APF	LXX_WH
Ézs 1:13	G3561	νουμηνιας	N-APF	LXX_WH
Ézs 1:13	G4771	υμων	P-GP	LXX_WH
Ézs 1:13	G2532	και	CONJ	LXX_WH
Ézs 1:13	G3588	τα	T-NPN	LXX_WH
Ézs 1:13	G4521	σαββατα	N-NPN	LXX_WH
Ézs 1:13	G2532	και	CONJ	LXX_WH
Ézs 1:13	G2250	ημεραν	N-ASF	LXX_WH
Ézs 1:13	G3173	μεγαλην	A-ASF	LXX_WH
Ézs 1:13	G3364	ουκ	ADV	LXX_WH
Ézs 1:13		ανεχομαι	V-PMI-1S	ELTERO_SZOVEGALAP
Ézs 1:13	G3521	νηστειαν	N-ASF	LXX_WH
Ézs 1:13	G2532	και	CONJ	LXX_WH
Ézs 1:13		αργιαν	N-ASF	ELTERO_SZOVEGALAP
Ézs 1:14	G2532	και	CONJ	LXX_WH
Ézs 1:14	G3588	τας	T-APF	LXX_WH
Ézs 1:14	G3561	νουμηνιας	N-APF	LXX_WH
Ézs 1:14	G4771	υμων	P-GP	LXX_WH
Ézs 1:14	G2532	και	CONJ	LXX_WH
Ézs 1:14	G3588	τας	T-APF	LXX_WH
Ézs 1:14	G1859	εορτας	N-APF	LXX_WH
Ézs 1:14	G4771	υμων	P-GP	LXX_WH
Ézs 1:14	G3404	μισει	V-PAI-3S	LXX_WH
Ézs 1:14	G3588	η	T-NSF	LXX_WH
Ézs 1:14	G5590	ψυχη	N-NSF	LXX_WH
Ézs 1:14	G1473	μου	P-GS	LXX_WH
Ézs 1:14	G1096	εγενηθητε	V-API-2P	LXX_WH
Ézs 1:14	G1473	μοι	P-DS	LXX_WH
Ézs 1:14	G1519	εις	PREP	LXX_WH
Ézs 1:14	G4140	πλησμονην	N-ASF	LXX_WH
Ézs 1:14	G3765	ουκετι	ADV	LXX_WH
Ézs 1:14	G0447	ανησω	V-FAI-1S	LXX_WH
Ézs 1:14	G3588	τας	T-APF	LXX_WH
Ézs 1:14	G0266	αμαρτιας	N-APF	LXX_WH
Ézs 1:14	G4771	υμων	P-GP	LXX_WH
Ézs 1:15	G3752	οταν	ADV	LXX_WH
Ézs 1:15	G3588	τας	T-APF	LXX_WH
Ézs 1:15	G5495	χειρας	N-APF	LXX_WH
Ézs 1:15	G1614	εκτεινητε	V-AAS-2P	LXX_WH
Ézs 1:15	G4314	προς	PREP	LXX_WH
Ézs 1:15	G1473	με	P-AS	LXX_WH
Ézs 1:15	G0654	αποστρεψω	V-FAI-1S	LXX_WH
Ézs 1:15	G3588	τους	T-APM	LXX_WH
Ézs 1:15	G3788	οφθαλμους	N-APM	LXX_WH
Ézs 1:15	G1473	μου	P-GS	LXX_WH
Ézs 1:15	G0575	αφ	PREP	LXX_WH
Ézs 1:15	G4771	υμων	P-GP	LXX_WH
Ézs 1:15	G2532	και	CONJ	LXX_WH
Ézs 1:15	G1437	εαν	CONJ	LXX_WH
Ézs 1:15	G4129	πληθυνητε	V-PAS-2P	LXX_WH
Ézs 1:15	G3588	την	T-ASF	LXX_WH
Ézs 1:15	G1162	δεησιν	N-ASF	LXX_WH
Ézs 1:15	G3364	ουκ	ADV	LXX_WH
Ézs 1:15	G1522	εισακουσομαι	V-FMI-1S	LXX_WH
Ézs 1:15	G4771	υμων	P-GP	LXX_WH
Ézs 1:15	G3588	αι	T-NPF	LXX_WH
Ézs 1:15	G1063	γαρ	PRT	LXX_WH
Ézs 1:15	G5495	χειρες	N-NPF	LXX_WH
Ézs 1:15	G4771	υμων	P-GP	LXX_WH
Ézs 1:15	G0129	αιματος	N-GSN	LXX_WH
Ézs 1:15	G4134	πληρεις	A-NPM	LXX_WH
Ézs 1:16	G3068	λουσασθε	V-AMD-2P	LXX_WH
Ézs 1:16	G2513	καθαροι	A-NPM	LXX_WH
Ézs 1:16	G1096	γενεσθε	V-AMD-2P	LXX_WH
Ézs 1:16	G0851	αφελετε	V-AAD-2P	ABP-potolt
Ézs 1:16	G3588	τας	T-APF	LXX_WH
Ézs 1:16	G4189	πονηριας	N-APF	LXX_WH
Ézs 1:16	G0575	απο	PREP	LXX_WH
Ézs 1:16	G3588	των	T-GPF	LXX_WH
Ézs 1:16	G5590	ψυχων	N-GPF	LXX_WH
Ézs 1:16	G4771	υμων	P-GP	LXX_WH
Ézs 1:16		απεναντι	ADV	ELTERO_SZOVEGALAP
Ézs 1:16	G3588	των	T-GPM	LXX_WH
Ézs 1:16	G3788	οφθαλμων	N-GPM	LXX_WH
Ézs 1:16	G1473	μου	P-GS	LXX_WH
