Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Ezsd 1:1	G2532	και	CONJ	LXX_WH
Ezsd 1:1	G1722	εν	PREP	LXX_WH
Ezsd 1:1	G3588	τω	T-DSN	LXX_WH
Ezsd 1:1	G4413	πρωτω	A-DSNS	LXX_WH
Ezsd 1:1	G2094	ετει	N-DSN	LXX_WH
Ezsd 1:1		κυρου	N-GSM	ELTERO_SZOVEGALAP
Ezsd 1:1	G3588	του	T-GSM	LXX_WH
Ezsd 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Ezsd 1:1		περσων	N-GPM	ELTERO_SZOVEGALAP
Ezsd 1:1	G3588	του	T-GSN	LXX_WH
Ezsd 1:1	G5055	τελεσθηναι	V-APN	LXX_WH
Ezsd 1:1	G3056	λογον	N-ASM	LXX_WH
Ezsd 1:1	G2962	κυριου	N-GSM	LXX_WH
Ezsd 1:1	G0575	απο	PREP	LXX_WH
Ezsd 1:1	G4750	στοματος	N-GSN	LXX_WH
Ezsd 1:1	G2408	ιερεμιου	N-GSM	LXX_WH
Ezsd 1:1		εξηγειρεν	V-IAI-3S	ELTERO_SZOVEGALAP
Ezsd 1:1	G2962	κυριος	N-NSM	LXX_WH
Ezsd 1:1	G3588	το	T-ASN	LXX_WH
Ezsd 1:1	G4151	πνευμα	N-ASN	LXX_WH
Ezsd 1:1		κυρου	N-GSM	ELTERO_SZOVEGALAP
Ezsd 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Ezsd 1:1		περσων	N-GPM	ELTERO_SZOVEGALAP
Ezsd 1:1	G2532	και	CONJ	LXX_WH
Ezsd 1:1	G3853	παρηγγειλεν	V-AAI-3S	LXX_WH
Ezsd 1:1	G5456	φωνην	N-ASF	LXX_WH
Ezsd 1:1	G1722	εν	PREP	LXX_WH
Ezsd 1:1	G3956	παση	A-DSF	LXX_WH
Ezsd 1:1	G0932	βασιλεια	N-DSF	LXX_WH
Ezsd 1:1	G0846	αυτου	D-GSM	LXX_WH
Ezsd 1:1	G2532	και	CONJ	LXX_WH
Ezsd 1:1	G1065	γε	PRT	LXX_WH
Ezsd 1:1	G1722	εν	PREP	LXX_WH
Ezsd 1:1	G1123	γραπτω	N-DSN	ABP-potolt
Ezsd 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Ezsd 1:2	G3778	ουτως	ADV	LXX_WH
Ezsd 1:2		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Ezsd 1:2		κυρος	N-NSM	ELTERO_SZOVEGALAP
Ezsd 1:2	G0935	βασιλευς	N-NSM	LXX_WH
Ezsd 1:2		περσων	N-GPM	ELTERO_SZOVEGALAP
Ezsd 1:2	G3956	πασας	A-APF	LXX_WH
