Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
1Móz 1:1	G1722	εν	PREP	LXX_WH
1Móz 1:1	G0746	αρχη	N-DSF	LXX_WH
1Móz 1:1	G4160	εποιησεν	V-AAI-3S	LXX_WH
1Móz 1:1	G3588	ο	T-NSM	LXX_WH
1Móz 1:1	G2316	θεος	N-NSM	LXX_WH
1Móz 1:1	G3588	τον	T-ASM	LXX_WH
1Móz 1:1	G3772	ουρανον	N-ASM	LXX_WH
1Móz 1:1	G2532	και	CONJ	LXX_WH
1Móz 1:1	G3588	την	T-ASF	LXX_WH
1Móz 1:1	G1093	γην	N-ASF	LXX_WH
1Móz 1:2	G3588	η	T-NSF	LXX_WH
1Móz 1:2	G1161	δε	PRT	LXX_WH
1Móz 1:2	G1065	γη	N-NSF	LXX_WH
1Móz 1:2	G1510	ην	V-IAI-3S	LXX_WH
1Móz 1:2	G0517	αορατος	A-NSM	LXX_WH
1Móz 1:2	G2532	και	CONJ	LXX_WH
1Móz 1:2	G0180	ακατασκευαστος	A-NSM	ABP-potolt
1Móz 1:2	G2532	και	CONJ	LXX_WH
1Móz 1:2	G4655	σκοτος	N-NSN	LXX_WH
1Móz 1:2	G1883	επανω	PREP	LXX_WH
1Móz 1:2	G3588	της	T-GSF	LXX_WH
1Móz 1:2	G0012	αβυσσου	N-GSF	LXX_WH
1Móz 1:2	G2532	και	CONJ	LXX_WH
1Móz 1:2	G4151	πνευμα	N-NSN	LXX_WH
1Móz 1:2	G2316	θεου	N-GSM	LXX_WH
1Móz 1:2	G2018	επεφερετο	V-IMI-3S	LXX_WH
1Móz 1:2	G1883	επανω	PREP	LXX_WH
1Móz 1:2	G3588	του	T-GSN	LXX_WH
1Móz 1:2	G5204	υδατος	N-GSN	LXX_WH
1Móz 1:3	G2532	και	CONJ	LXX_WH
1Móz 1:3		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
1Móz 1:3	G3588	ο	T-NSM	LXX_WH
1Móz 1:3	G2316	θεος	N-NSM	LXX_WH
1Móz 1:3	G1096	γενηθητω	V-APD-3S	LXX_WH
1Móz 1:3	G5457	φως	N-NSN	LXX_WH
1Móz 1:3	G2532	και	CONJ	LXX_WH
1Móz 1:3	G1096	εγενετο	V-AMI-3S	LXX_WH
1Móz 1:3	G5457	φως	N-NSN	LXX_WH
1Móz 1:4	G2532	και	CONJ	LXX_WH
1Móz 1:4	G3708	ειδεν	V-AAI-3S	LXX_WH
1Móz 1:4	G3588	ο	T-NSM	LXX_WH
1Móz 1:4	G2316	θεος	N-NSM	LXX_WH
1Móz 1:4	G3588	το	T-ASN	LXX_WH
1Móz 1:4	G5457	φως	N-ASN	LXX_WH
1Móz 1:4	G3754	οτι	CONJ	LXX_WH
1Móz 1:4	G2570	καλον	A-NSN	LXX_WH
1Móz 1:4	G2532	και	CONJ	LXX_WH
1Móz 1:4		διεχωρισεν	V-AAI-3S	
1Móz 1:4	G3588	ο	T-NSM	LXX_WH
1Móz 1:4	G2316	θεος	N-NSM	LXX_WH
1Móz 1:4	G0303	ανα	PREP	LXX_WH
1Móz 1:4	G3319	μεσον	A-ASM	LXX_WH
1Móz 1:4	G3588	του	T-GSN	LXX_WH
1Móz 1:4	G5457	φωτος	N-GSN	LXX_WH
1Móz 1:4	G2532	και	CONJ	LXX_WH
1Móz 1:4	G0303	ανα	PREP	LXX_WH
1Móz 1:4	G3319	μεσον	A-ASM	LXX_WH
1Móz 1:4	G3588	του	T-GSN	LXX_WH
1Móz 1:4	G4655	σκοτους	N-GSN	LXX_WH
1Móz 1:5	G2532	και	CONJ	LXX_WH
1Móz 1:5	G2564	εκαλεσεν	V-AAI-3S	LXX_WH
1Móz 1:5	G3588	ο	T-NSM	LXX_WH
1Móz 1:5	G2316	θεος	N-NSM	LXX_WH
1Móz 1:5	G3588	το	T-ASN	LXX_WH
1Móz 1:5	G5457	φως	N-ASN	LXX_WH
1Móz 1:5	G2250	ημεραν	N-ASF	LXX_WH
1Móz 1:5	G2532	και	CONJ	LXX_WH
1Móz 1:5	G3588	το	T-ASN	LXX_WH
1Móz 1:5	G4655	σκοτος	N-ASN	LXX_WH
1Móz 1:5	G2564	εκαλεσεν	V-AAI-3S	LXX_WH
1Móz 1:5	G3571	νυκτα	N-ASF	LXX_WH
1Móz 1:5	G2532	και	CONJ	LXX_WH
1Móz 1:5	G1096	εγενετο	V-AMI-3S	LXX_WH
1Móz 1:5	G2073	εσπερα	N-NSF	LXX_WH
1Móz 1:5	G2532	και	CONJ	LXX_WH
