Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Hab 1:1	G3588	το	T-NSN	LXX_WH
Hab 1:1	G3024	λημμα	N-NSN	ABP-potolt
Hab 1:1	G3739	ο	R-ASN	LXX_WH
Hab 1:1	G3708	ειδεν	V-AAI-3S	LXX_WH
Hab 1:1		αμβακουμ	N-PRI	ELTERO_SZOVEGALAP
Hab 1:1	G3588	ο	T-NSM	LXX_WH
Hab 1:1	G4396	προφητης	N-NSM	LXX_WH
Hab 1:2	G2193	εως	PREP	LXX_WH
Hab 1:2	G5100	τινος	I-GSM	LXX_WH
Hab 1:2	G2962	κυριε	N-VSM	LXX_WH
Hab 1:2	G2896	κεκραξομαι	V-FMI-1S	LXX_WH
Hab 1:2	G2532	και	CONJ	LXX_WH
Hab 1:2	G3364	ου	ADV	LXX_WH
Hab 1:2	G3165	μη	ADV	LXX_WH
Hab 1:2	G1522	εισακουσης	V-AAS-2S	LXX_WH
Hab 1:2	G0994	βοησομαι	V-FMI-1S	LXX_WH
Hab 1:2	G4314	προς	PREP	LXX_WH
Hab 1:2	G4771	σε	P-AS	LXX_WH
Hab 1:2	G0091	αδικουμενος	V-PPPNS	LXX_WH
Hab 1:2	G2532	και	CONJ	LXX_WH
Hab 1:2	G3364	ου	ADV	LXX_WH
Hab 1:2	G4982	σωσεις	V-FAI-2S	LXX_WH
Hab 1:3	G2443	ινα	CONJ	LXX_WH
Hab 1:3	G5100	τι	I-ASN	LXX_WH
Hab 1:3	G1473	μοι	P-DS	LXX_WH
Hab 1:3	G1166	εδειξας	V-AAI-2S	LXX_WH
Hab 1:3	G2873	κοπους	N-APM	LXX_WH
Hab 1:3	G2532	και	CONJ	LXX_WH
Hab 1:3	G4192	πονους	N-APM	LXX_WH
Hab 1:3	G1914	επιβλεπειν	V-PAN	LXX_WH
Hab 1:3	G5004	ταλαιπωριαν	N-ASF	LXX_WH
Hab 1:3	G2532	και	CONJ	LXX_WH
Hab 1:3	G0763	ασεβειαν	N-ASF	LXX_WH
Hab 1:3	G1537	εξ	PREP	LXX_WH
Hab 1:3	G1727	εναντιας	A-GSF	LXX_WH
Hab 1:3	G1473	μου	P-GS	LXX_WH
Hab 1:3	G1096	γεγονεν	V-RAI-3S	LXX_WH
Hab 1:3	G2920	κρισις	N-NSF	LXX_WH
Hab 1:3	G2532	και	CONJ	LXX_WH
