Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Hós 1:1	G3056	λογος	N-NSM	LXX_WH
Hós 1:1	G2962	κυριου	N-GSM	LXX_WH
Hós 1:1	G3739	ος	R-NSM	LXX_WH
Hós 1:1	G1096	εγενηθη	V-API-3S	LXX_WH
Hós 1:1	G4314	προς	PREP	LXX_WH
Hós 1:1	G5617	ωσηε	N-PRI	LXX_WH
Hós 1:1	G3588	τον	T-ASM	LXX_WH
Hós 1:1	G3588	του	T-GSM	LXX_WH
Hós 1:1	G3588	βεηρι	N-PRI	ABP-potolt
Hós 1:1	G1722	εν	PREP	LXX_WH
Hós 1:1	G2250	ημεραις	N-DPF	LXX_WH
Hós 1:1	G3604	οζιου	N-GSM	LXX_WH
Hós 1:1	G2532	και	CONJ	LXX_WH
Hós 1:1	G2488	ιωαθαμ	N-PRI	LXX_WH
Hós 1:1	G2532	και	CONJ	LXX_WH
Hós 1:1	G0881	αχαζ	N-PRI	LXX_WH
Hós 1:1	G2532	και	CONJ	LXX_WH
Hós 1:1	G1478	εζεκιου	N-GSM	LXX_WH
Hós 1:1	G0935	βασιλεων	N-GPM	LXX_WH
Hós 1:1	G2448	ιουδα	N-PRI	LXX_WH
Hós 1:1	G2532	και	CONJ	LXX_WH
Hós 1:1	G1722	εν	PREP	LXX_WH
Hós 1:1	G2250	ημεραις	N-DPF	LXX_WH
Hós 1:1		ιεροβοαμ	N-PRI	ELTERO_SZOVEGALAP
Hós 1:1	G5207	υιου	N-GSM	LXX_WH
Hós 1:1		ιωας	N-PRI	ELTERO_SZOVEGALAP
Hós 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Hós 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Hós 1:2	G0746	αρχη	N-NSF	LXX_WH
Hós 1:2	G3056	λογου	N-GSM	LXX_WH
Hós 1:2	G2962	κυριου	N-GSM	LXX_WH
Hós 1:2	G4314	προς	PREP	LXX_WH
Hós 1:2	G5617	ωσηε	N-PRI	LXX_WH
Hós 1:2	G2532	και	CONJ	LXX_WH
Hós 1:2		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Hós 1:2	G2962	κυριος	N-NSM	LXX_WH
Hós 1:2	G4314	προς	PREP	LXX_WH
Hós 1:2	G5617	ωσηε	N-PRI	LXX_WH
Hós 1:2		βαδιζε	V-PAD-2S	ELTERO_SZOVEGALAP
Hós 1:2	G2983	λαβε	V-AAD-2S	LXX_WH
Hós 1:2	G4572	σεαυτω	D-DSM	LXX_WH
Hós 1:2	G1135	γυναικα	N-ASF	LXX_WH
Hós 1:2	G4202	πορνειας	N-GSF	LXX_WH
Hós 1:2	G2532	και	CONJ	LXX_WH
Hós 1:2	G5043	τεκνα	N-APN	LXX_WH
Hós 1:2	G4202	πορνειας	N-GSF	LXX_WH
Hós 1:2	G1360	διοτι	CONJ	LXX_WH
Hós 1:2	G1608	εκπορνευουσα	V-PAPNS	LXX_WH
Hós 1:2	G1608	εκπορνευσει	V-FAI-3S	LXX_WH
Hós 1:2	G3588	η	T-NSF	LXX_WH
Hós 1:2	G1065	γη	N-NSF	LXX_WH
Hós 1:2	G0575	απο	PREP	LXX_WH
Hós 1:2	G3693	οπισθεν	ADV	LXX_WH
Hós 1:2	G3588	του	T-GSM	LXX_WH
Hós 1:2	G2962	κυριου	N-GSM	LXX_WH
Hós 1:3	G2532	και	CONJ	LXX_WH
Hós 1:3	G4198	επορευθη	V-API-3S	LXX_WH
Hós 1:3	G2532	και	CONJ	LXX_WH
Hós 1:3	G2983	ελαβεν	V-AAI-3S	LXX_WH
Hós 1:3	G3588	την	T-ASF	LXX_WH
Hós 1:3		γομερ	N-PRI	ELTERO_SZOVEGALAP
Hós 1:3	G2364	θυγατερα	N-ASF	LXX_WH
Hós 1:3		δεβηλαιμ	N-PRI	ELTERO_SZOVEGALAP
Hós 1:3	G2532	και	CONJ	LXX_WH
Hós 1:3	G4815	συνελαβεν	V-AAI-3S	LXX_WH
Hós 1:3	G2532	και	CONJ	LXX_WH
Hós 1:3	G5088	ετεκεν	V-AAI-3S	LXX_WH
