Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Jer 1:1	G3588	το	T-NSN	LXX_WH
Jer 1:1	G4487	ρημα	N-NSN	LXX_WH
Jer 1:1	G3588	του	T-GSM	LXX_WH
Jer 1:1	G2316	θεου	N-GSM	LXX_WH
Jer 1:1	G3739	ο	R-NSN	LXX_WH
Jer 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Jer 1:1	G1909	επι	PREP	LXX_WH
Jer 1:1	G2408	ιερεμιαν	N-ASM	LXX_WH
Jer 1:1	G3588	τον	T-ASM	LXX_WH
Jer 1:1	G3588	του	R-GSM	LXX_WH
Jer 1:1	G3588	χελκιου	N-GSM	ABP-potolt
Jer 1:1	G1537	εκ	PREP	LXX_WH
Jer 1:1	G3588	των	T-GPM	LXX_WH
Jer 1:1	G2409	ιερεων	N-GPM	LXX_WH
Jer 1:1	G3739	ος	R-NSM	LXX_WH
Jer 1:1	G2730	κατωκει	V-IAI-3S	ABP-potolt
Jer 1:1	G1722	εν	PREP	LXX_WH
Jer 1:1		αναθωθ	N-PRI	ELTERO_SZOVEGALAP
Jer 1:1	G1722	εν	PREP	LXX_WH
Jer 1:1	G1065	γη	N-DSF	LXX_WH
Jer 1:1	G0958	βενιαμιν	N-PRI	LXX_WH
Jer 1:2	G3739	ος	R-NSM	LXX_WH
Jer 1:2	G1096	εγενηθη	V-API-3S	LXX_WH
Jer 1:2	G3056	λογος	N-NSM	LXX_WH
Jer 1:2	G3588	του	T-GSM	LXX_WH
Jer 1:2	G2316	θεου	N-GSM	LXX_WH
Jer 1:2	G4314	προς	PREP	LXX_WH
Jer 1:2	G0846	αυτον	D-ASM	LXX_WH
Jer 1:2	G1722	εν	PREP	LXX_WH
Jer 1:2	G3588	ταις	T-DPF	LXX_WH
Jer 1:2	G2250	ημεραις	N-DPF	LXX_WH
Jer 1:2		ιωσια	N-PRI	ELTERO_SZOVEGALAP
Jer 1:2	G5207	υιου	N-GSM	LXX_WH
Jer 1:2	G0301	αμως	N-PRI	LXX_WH
Jer 1:2	G0935	βασιλεως	N-GSM	LXX_WH
Jer 1:2	G2448	ιουδα	N-PRI	LXX_WH
Jer 1:2	G2094	ετους	N-GSN	LXX_WH
