Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Jób 1:1	G0444	ανθρωπος	N-NSM	LXX_WH
Jób 1:1	G5100	τις	I-NSM	LXX_WH
Jób 1:1	G1510	ην	V-IAI-3S	LXX_WH
Jób 1:1	G1722	εν	PREP	LXX_WH
Jób 1:1	G5561	χωρα	N-DSF	LXX_WH
Jób 1:1	G3588	τη	T-DSF	LXX_WH
Jób 1:1		αυσιτιδι	N-DSF	ELTERO_SZOVEGALAP
Jób 1:1	G3739	ω	R-DSM	LXX_WH
Jób 1:1	G3686	ονομα	N-NSN	LXX_WH
Jób 1:1	G2492	ιωβ	N-PRI	LXX_WH
Jób 1:1	G2532	και	CONJ	LXX_WH
Jób 1:1	G1510	ην	V-IAI-3S	LXX_WH
Jób 1:1	G3588	ο	T-NSM	LXX_WH
Jób 1:1	G0444	ανθρωπος	N-NSM	LXX_WH
Jób 1:1	G1565	εκεινος	D-NSM	LXX_WH
Jób 1:1	G0228	αληθινος	A-NSM	LXX_WH
Jób 1:1	G0273	αμεμπτος	A-NSM	LXX_WH
Jób 1:1	G1342	δικαιος	A-NSM	LXX_WH
Jób 1:1	G2318	θεοσεβης	A-NSM	LXX_WH
Jób 1:1	G0568	απεχομενος	V-PMPNS	LXX_WH
Jób 1:1	G0575	απο	PREP	LXX_WH
Jób 1:1	G3956	παντος	A-GSN	LXX_WH
Jób 1:1	G4190	πονηρου	A-GSN	LXX_WH
Jób 1:1	G4229	πραγματος	N-GSN	LXX_WH
Jób 1:2	G1096	εγενοντο	V-AMI-3P	LXX_WH
Jób 1:2	G1161	δε	PRT	LXX_WH
Jób 1:2	G0846	αυτω	D-DSM	LXX_WH
Jób 1:2	G5207	υιοι	N-NPM	LXX_WH
Jób 1:2	G2033	επτα	N-NUI	LXX_WH
Jób 1:2	G2532	και	CONJ	LXX_WH
Jób 1:2	G2364	θυγατερες	N-NPF	LXX_WH
Jób 1:2	G5140	τρεις	A-NPF	LXX_WH
Jób 1:3	G2532	και	CONJ	LXX_WH
Jób 1:3	G1510	ην	V-IAI-3S	LXX_WH
Jób 1:3	G3588	τα	T-NPN	LXX_WH
Jób 1:3	G2934	κτηνη	N-NPN	LXX_WH
Jób 1:3	G0846	αυτου	D-GSM	LXX_WH
Jób 1:3	G4263	προβατα	N-NPN	LXX_WH
Jób 1:3	G2035	επτακισχιλια	A-NPN	LXX_WH
Jób 1:3	G2574	καμηλοι	N-NPF	LXX_WH
Jób 1:3	G5153	τρισχιλιαι	A-NPF	LXX_WH
Jób 1:3	G2201	ζευγη	N-NPN	LXX_WH
Jób 1:3	G1016	βοων	N-GPF	LXX_WH
Jób 1:3	G4001	πεντακοσια	A-APN	LXX_WH
Jób 1:3	G3688	ονοι	N-NPF	LXX_WH
Jób 1:3	G2338	θηλειαι	A-NPF	LXX_WH
Jób 1:3	G3541	νομαδες	N-NPF	ABP-potolt
Jób 1:3	G4001	πεντακοσιαι	A-NPF	LXX_WH
Jób 1:3	G2532	και	CONJ	LXX_WH
Jób 1:3	G5255	υπηρεσια	N-NSF	ABP-potolt
Jób 1:3	G4183	πολλη	A-NSF	LXX_WH
Jób 1:3	G4970	σφοδρα	ADV	LXX_WH
Jób 1:3	G2532	και	CONJ	LXX_WH
Jób 1:3	G2041	εργα	N-NPN	LXX_WH
Jób 1:3	G3173	μεγαλα	A-NPN	LXX_WH
Jób 1:3	G1510	ην	V-IAI-3S	LXX_WH
Jób 1:3	G0846	αυτω	D-DSM	LXX_WH
Jób 1:3	G1909	επι	PREP	LXX_WH
Jób 1:3	G3588	της	T-GSF	LXX_WH
Jób 1:3	G1065	γης	N-GSF	LXX_WH
Jób 1:3	G2532	και	CONJ	LXX_WH
Jób 1:3	G1510	ην	V-IAI-3S	LXX_WH
Jób 1:3	G3588	ο	T-NSM	LXX_WH
Jób 1:3	G0444	ανθρωπος	N-NSM	LXX_WH
Jób 1:3	G1565	εκεινος	D-NSM	LXX_WH
Jób 1:3	G2104	ευγενης	A-NSM	LXX_WH
Jób 1:3	G3588	των	T-GPM	LXX_WH
Jób 1:3	G0575	αφ	PREP	LXX_WH
Jób 1:3	G2246	ηλιου	N-GSM	LXX_WH
Jób 1:3	G0395	ανατολων	N-GPF	LXX_WH
Jób 1:4	G4848	συμπορευομενοι	V-PMPNP	LXX_WH
Jób 1:4	G1161	δε	PRT	LXX_WH
Jób 1:4	G3588	οι	T-NPM	LXX_WH
Jób 1:4	G5207	υιοι	N-NPM	LXX_WH
Jób 1:4	G0846	αυτου	D-GSM	LXX_WH
Jób 1:4	G4314	προς	PREP	LXX_WH
Jób 1:4	G0240	αλληλους	D-APM	ABP-potolt
Jób 1:4	G4160	εποιουσαν	V-AAI-3P	LXX_WH
Jób 1:4	G4224	ποτον	N-ASM	LXX_WH
