Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Jóel 1:1	G3056	λογος	N-NSM	LXX_WH
Jóel 1:1	G2962	κυριου	N-GSM	LXX_WH
Jóel 1:1	G3739	ος	R-NSM	LXX_WH
Jóel 1:1	G1096	εγενηθη	V-API-3S	LXX_WH
Jóel 1:1	G4314	προς	PREP	LXX_WH
Jóel 1:1	G2493	ιωηλ	N-PRI	LXX_WH
Jóel 1:1	G3588	τον	T-ASM	LXX_WH
Jóel 1:1	G3588	του	T-GSM	LXX_WH
Jóel 1:1	G3588	βαθουηλ	N-PRI	ABP-potolt
Jóel 1:2	G0191	ακουσατε	V-AAD-2P	LXX_WH
Jóel 1:2	G1161	δη	PRT	LXX_WH
Jóel 1:2	G3778	ταυτα	D-APN	LXX_WH
Jóel 1:2	G3588	οι	T-NPM	LXX_WH
Jóel 1:2	G4245	πρεσβυτεροι	A-NPM	LXX_WH
Jóel 1:2	G2532	και	CONJ	LXX_WH
Jóel 1:2	G1801	ενωτισασθε	V-AMD-2P	LXX_WH
Jóel 1:2	G3956	παντες	A-NPM	LXX_WH
Jóel 1:2	G3588	οι	T-NPM	LXX_WH
Jóel 1:2		κατοικουντες	V-PAPNP	
Jóel 1:2	G3588	την	T-ASF	LXX_WH
Jóel 1:2	G1065	γην	N-ASF	LXX_WH
Jóel 1:2	G1487	ει	CONJ	LXX_WH
Jóel 1:2	G1096	γεγονεν	V-RAI-3S	LXX_WH
Jóel 1:2	G5108	τοιαυτα	A-NPN	LXX_WH
Jóel 1:2	G1722	εν	PREP	LXX_WH
Jóel 1:2	G3588	ταις	T-DPF	LXX_WH
Jóel 1:2	G2250	ημεραις	N-DPF	LXX_WH
Jóel 1:2	G4771	υμων	P-GP	LXX_WH
Jóel 1:2	G2228	η	CONJ	LXX_WH
Jóel 1:2	G1722	εν	PREP	LXX_WH
Jóel 1:2	G3588	ταις	T-DPF	LXX_WH
Jóel 1:2	G2250	ημεραις	N-DPF	LXX_WH
Jóel 1:2	G3588	των	T-GPM	LXX_WH
Jóel 1:2	G3962	πατερων	N-GPM	LXX_WH
Jóel 1:2	G4771	υμων	P-GP	LXX_WH
Jóel 1:3	G5228	υπερ	PREP	LXX_WH
Jóel 1:3	G0846	αυτων	D-GPM	LXX_WH
Jóel 1:3	G3588	τοις	T-DPN	LXX_WH
Jóel 1:3	G5043	τεκνοις	N-DPN	LXX_WH
Jóel 1:3	G4771	υμων	P-GP	LXX_WH
Jóel 1:3	G1334	διηγησασθε	V-AMD-2P	LXX_WH
Jóel 1:3	G2532	και	CONJ	LXX_WH
Jóel 1:3	G3588	τα	T-NPN	LXX_WH
