Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Jón 1:1	G2532	και	CONJ	LXX_WH
Jón 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Jón 1:1	G3056	λογος	N-NSM	LXX_WH
Jón 1:1	G2962	κυριου	N-GSM	LXX_WH
Jón 1:1	G4314	προς	PREP	LXX_WH
Jón 1:1	G2495	ιωναν	N-ASM	LXX_WH
Jón 1:1	G3588	τον	T-ASM	LXX_WH
Jón 1:1	G3588	του	T-GSM	LXX_WH
Jón 1:1	G3588	αμαθι	N-PRI	ABP-potolt
Jón 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Jón 1:2	G0450	αναστηθι	V-AAD-2S	LXX_WH
Jón 1:2	G2532	και	CONJ	LXX_WH
Jón 1:2	G4198	πορευθητι	V-APD-2S	LXX_WH
Jón 1:2	G1519	εις	PREP	LXX_WH
Jón 1:2		νινευη	N-ASF	ELTERO_SZOVEGALAP
Jón 1:2	G3588	την	T-ASF	LXX_WH
Jón 1:2	G4172	πολιν	N-ASF	LXX_WH
Jón 1:2	G3588	την	T-ASF	LXX_WH
Jón 1:2	G3173	μεγαλην	A-ASF	LXX_WH
Jón 1:2	G2532	και	CONJ	LXX_WH
Jón 1:2	G2784	κηρυξον	V-AAD-2S	LXX_WH
Jón 1:2	G1722	εν	PREP	LXX_WH
Jón 1:2	G0846	αυτη	D-DSF	LXX_WH
Jón 1:2	G3754	οτι	CONJ	LXX_WH
Jón 1:2	G0305	ανεβη	V-AAI-3S	LXX_WH
Jón 1:2	G3588	η	T-NSF	LXX_WH
Jón 1:2	G2906	κραυγη	N-NSF	LXX_WH
Jón 1:2	G3588	της	T-GSF	LXX_WH
Jón 1:2	G2549	κακιας	N-GSF	LXX_WH
Jón 1:2	G0846	αυτης	D-GSF	LXX_WH
Jón 1:2	G4314	προς	PREP	LXX_WH
Jón 1:2	G1473	με	P-AS	LXX_WH
Jón 1:3	G2532	και	CONJ	LXX_WH
Jón 1:3	G0450	ανεστη	V-AAI-3S	LXX_WH
Jón 1:3	G2495	ιωνας	N-NSM	LXX_WH
Jón 1:3	G3588	του	T-GSN	LXX_WH
Jón 1:3	G5343	φυγειν	V-AAN	LXX_WH
Jón 1:3	G1519	εις	PREP	LXX_WH
Jón 1:3		θαρσις	N-PRI	ELTERO_SZOVEGALAP
Jón 1:3	G1537	εκ	PREP	LXX_WH
Jón 1:3	G4383	προσωπου	N-GSN	LXX_WH
Jón 1:3	G2962	κυριου	N-GSM	LXX_WH
Jón 1:3	G2532	και	CONJ	LXX_WH
Jón 1:3	G2597	κατεβη	V-AAI-3S	LXX_WH
Jón 1:3	G1519	εις	PREP	LXX_WH
Jón 1:3	G2445	ιοππην	N-ASF	LXX_WH
Jón 1:3	G2532	και	CONJ	LXX_WH
Jón 1:3	G2147	ευρεν	V-AAI-3S	LXX_WH
Jón 1:3	G4143	πλοιον	N-ASN	LXX_WH
Jón 1:3	G0897	βαδιζον	V-PAPAS	ABP-potolt
Jón 1:3	G1519	εις	PREP	LXX_WH
Jón 1:3		θαρσις	N-PRI	ELTERO_SZOVEGALAP
Jón 1:3	G2532	και	CONJ	LXX_WH
Jón 1:3	G1325	εδωκεν	V-AAI-3S	LXX_WH
Jón 1:3	G3588	το	T-ASN	LXX_WH
Jón 1:3		ναυλον	N-ASN	ELTERO_SZOVEGALAP
Jón 1:3	G0846	αυτου	D-GSM	LXX_WH
Jón 1:3	G2532	και	CONJ	LXX_WH
Jón 1:3	G1684	ενεβη	V-AAI-3S	LXX_WH
Jón 1:3	G1519	εις	PREP	LXX_WH
Jón 1:3	G0846	αυτο	D-ASN	LXX_WH
Jón 1:3	G3588	του	T-GSN	LXX_WH
Jón 1:3	G4126	πλευσαι	V-AAN	LXX_WH
Jón 1:3	G3326	μετ	PREP	LXX_WH
Jón 1:3	G0846	αυτων	D-GPM	LXX_WH
Jón 1:3	G1519	εις	PREP	LXX_WH
Jón 1:3		θαρσις	N-PRI	ELTERO_SZOVEGALAP
Jón 1:3	G1537	εκ	PREP	LXX_WH
Jón 1:3	G4383	προσωπου	N-GSN	LXX_WH
Jón 1:3	G2962	κυριου	N-GSM	LXX_WH
Jón 1:4	G2532	και	CONJ	LXX_WH
Jón 1:4	G2962	κυριος	N-NSM	LXX_WH
Jón 1:4	G1825	εξηγειρεν	V-IAI-3S	ABP-potolt
Jón 1:4	G4151	πνευμα	N-ASN	LXX_WH
Jón 1:4	G1519	εις	PREP	LXX_WH
Jón 1:4	G3588	την	T-ASF	LXX_WH
Jón 1:4	G2281	θαλασσαν	N-ASF	LXX_WH
Jón 1:4	G2532	και	CONJ	LXX_WH
Jón 1:4	G1096	εγενετο	V-AMI-3S	LXX_WH
Jón 1:4	G2830	κλυδων	N-NSM	LXX_WH
Jón 1:4	G3173	μεγας	A-NSM	LXX_WH
Jón 1:4	G1722	εν	PREP	LXX_WH
Jón 1:4	G3588	τη	T-DSF	LXX_WH
Jón 1:4	G2281	θαλασση	N-DSF	LXX_WH
Jón 1:4	G2532	και	CONJ	LXX_WH
Jón 1:4	G3588	το	T-NSN	LXX_WH
Jón 1:4	G4143	πλοιον	N-NSN	LXX_WH
Jón 1:4	G2793	εκινδυνευεν	V-IAI-3S	LXX_WH
Jón 1:4	G4937	συντριβηναι	V-APN	LXX_WH
Jón 1:5	G2532	και	CONJ	LXX_WH
Jón 1:5	G5399	εφοβηθησαν	V-API-3P	LXX_WH
Jón 1:5	G3588	οι	T-NPM	LXX_WH
Jón 1:5		ναυτικοι	A-NPM	
Jón 1:5	G2532	και	CONJ	LXX_WH
Jón 1:5	G0310	ανεβοων	V-IAI-3P	LXX_WH
Jón 1:5	G1538	εκαστος	A-NSM	LXX_WH
Jón 1:5	G4314	προς	PREP	LXX_WH
Jón 1:5	G3588	τον	T-ASM	LXX_WH
Jón 1:5	G2316	θεον	N-ASM	LXX_WH
