Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Józs 1:1	G2532	και	CONJ	LXX_WH
Józs 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Józs 1:1	G3326	μετα	PREP	LXX_WH
Józs 1:1	G3588	την	T-ASF	LXX_WH
Józs 1:1	G5054	τελευτην	N-ASF	LXX_WH
Józs 1:1	G1401	μωυση	N-GSM	ABP-potolt
Józs 1:1	G1401	ειπεν	V-AAI-3S	ABP-potolt
Józs 1:1	G2962	κυριος	N-NSM	LXX_WH
Józs 1:1	G3588	τω	T-DSM	LXX_WH
Józs 1:1	G2424	ιησοι	N-PRI	LXX_WH
Józs 1:1	G5207	υιω	N-DSM	LXX_WH
Józs 1:1		ναυη	N-PRI	ELTERO_SZOVEGALAP
Józs 1:1	G3588	τω	T-DSM	LXX_WH
Józs 1:1	G5296	υπουργω	A-DSM	ABP-potolt
Józs 1:1	G5296	μωυση	N-GSM	ABP-potolt
Józs 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Józs 1:2		μωυσης	N-NSM	ELTERO_SZOVEGALAP
Józs 1:2	G3588	ο	T-NSM	LXX_WH
Józs 1:2	G2324	θεραπων	N-NSM	LXX_WH
Józs 1:2	G1473	μου	P-GS	LXX_WH
Józs 1:2	G5053	τετελευτηκεν	V-RAI-3S	LXX_WH
Józs 1:2	G3568	νυν	ADV	LXX_WH
Józs 1:2	G3767	ουν	PRT	LXX_WH
Józs 1:2	G0450	αναστας	V-AAPNS	LXX_WH
Józs 1:2	G1224	διαβηθι	V-AAD-2S	LXX_WH
Józs 1:2	G3588	τον	T-ASM	LXX_WH
Józs 1:2	G2446	ιορδανην	N-ASM	LXX_WH
Józs 1:2	G4771	συ	P-NS	LXX_WH
Józs 1:2	G2532	και	CONJ	LXX_WH
Józs 1:2	G3956	πας	A-NSM	LXX_WH
Józs 1:2	G3588	ο	T-NSM	LXX_WH
Józs 1:2	G2992	λαος	N-NSM	LXX_WH
Józs 1:2	G3778	ουτος	D-NSM	LXX_WH
Józs 1:2	G1519	εις	PREP	LXX_WH
Józs 1:2	G3588	την	T-ASF	LXX_WH
Józs 1:2	G1065	γην	N-ASF	LXX_WH
Józs 1:2	G3739	ην	R-ASF	LXX_WH
Józs 1:2	G1473	εγω	P-NS	LXX_WH
Józs 1:2	G1325	διδωμι	V-PAI-1S	LXX_WH
Józs 1:2	G0846	αυτοις	D-DPM	LXX_WH
Józs 1:3	G3956	πας	A-NSM	LXX_WH
Józs 1:3	G3588	ο	T-NSM	LXX_WH
Józs 1:3	G5117	τοπος	N-NSM	LXX_WH
Józs 1:3	G1909	εφ	PREP	LXX_WH
Józs 1:3	G3739	ον	R-ASM	LXX_WH
Józs 1:3	G0302	αν	PRT	LXX_WH
Józs 1:3	G1910	επιβητε	V-AAS-2P	LXX_WH
Józs 1:3	G3588	τω	T-DSN	LXX_WH
Józs 1:3	G2487	ιχνει	N-DSN	LXX_WH
Józs 1:3	G3588	των	T-GPM	LXX_WH
Józs 1:3	G4228	ποδων	N-GPM	LXX_WH
Józs 1:3	G4771	υμων	P-GP	LXX_WH
Józs 1:3	G4771	υμιν	P-DP	LXX_WH
Józs 1:3	G1325	δωσω	V-FAI-1S	LXX_WH
Józs 1:3	G0846	αυτον	D-ASM	LXX_WH
Józs 1:3	G3739	ον	R-ASM	LXX_WH
Józs 1:3	G5158	τροπον	N-ASM	LXX_WH
Józs 1:3	G2046	ειρηκα	V-RAI-1S	ABP-potolt
Józs 1:3	G3588	τω	T-DSM	LXX_WH
Józs 1:3		μωυση	N-DSM	ELTERO_SZOVEGALAP
Józs 1:4	G3588	την	T-ASF	LXX_WH
Józs 1:4	G2048	ερημον	N-ASF	LXX_WH
Józs 1:4	G2532	και	CONJ	LXX_WH
Józs 1:4	G3588	τον	T-ASM	LXX_WH
Józs 1:4		αντιλιβανον	N-ASM	ELTERO_SZOVEGALAP
Józs 1:4	G2193	εως	PREP	LXX_WH
Józs 1:4	G3588	του	T-GSM	LXX_WH
Józs 1:4	G4215	ποταμου	N-GSM	LXX_WH
Józs 1:4	G3588	του	T-GSM	LXX_WH
Józs 1:4	G3173	μεγαλου	A-GSM	LXX_WH
Józs 1:4	G4215	ποταμου	N-GSM	LXX_WH
Józs 1:4	G2166	ευφρατου	N-GSM	LXX_WH
Józs 1:4	G2532	και	CONJ	LXX_WH
Józs 1:4	G2193	εως	PREP	LXX_WH
Józs 1:4	G3588	της	T-GSF	LXX_WH
Józs 1:4	G2281	θαλασσης	N-GSF	LXX_WH
Józs 1:4	G3588	της	T-GSF	LXX_WH
Józs 1:4	G2078	εσχατης	A-GSF	LXX_WH
Józs 1:4	G0575	αφ	PREP	LXX_WH
Józs 1:4	G2246	ηλιου	N-GSM	LXX_WH
Józs 1:4	G1424	δυσμων	N-GPF	LXX_WH
Józs 1:4	G1510	εσται	V-FMI-3S	LXX_WH
Józs 1:4	G3588	τα	T-NPN	LXX_WH
Józs 1:4	G3725	ορια	N-NPN	LXX_WH
Józs 1:4	G4771	υμων	P-GP	LXX_WH
Józs 1:5	G3364	ουκ	ADV	LXX_WH
Józs 1:5		αντιστησεται	V-FMI-3S	ELTERO_SZOVEGALAP
Józs 1:5	G0444	ανθρωπος	N-NSM	LXX_WH
Józs 1:5		κατενωπιον	PREP	ELTERO_SZOVEGALAP
Józs 1:5	G4771	υμων	P-GP	LXX_WH
Józs 1:5	G3956	πασας	A-APF	LXX_WH
Józs 1:5	G3588	τας	T-APF	LXX_WH
Józs 1:5	G2250	ημερας	N-APF	LXX_WH
Józs 1:5	G3588	της	T-GSF	LXX_WH
Józs 1:5	G2222	ζωης	N-GSF	LXX_WH
Józs 1:5	G4771	σου	P-GS	LXX_WH
Józs 1:5	G2532	και	CONJ	LXX_WH
Józs 1:5	G3746	ωσπερ	ADV	LXX_WH
Józs 1:5	G1510	ημην	V-IMI-1S	LXX_WH
Józs 1:5	G3326	μετα	PREP	LXX_WH
Józs 1:5		μωυση	N-GSM	ELTERO_SZOVEGALAP
Józs 1:5	G3778	ουτως	ADV	LXX_WH
Józs 1:5	G1510	εσομαι	V-FMI-1S	LXX_WH
Józs 1:5	G2532	και	ADV	LXX_WH
Józs 1:5	G3326	μετα	PREP	LXX_WH
Józs 1:5	G4771	σου	P-GS	LXX_WH
Józs 1:5	G2532	και	CONJ	LXX_WH
Józs 1:5	G3364	ουκ	ADV	LXX_WH
Józs 1:5	G1459	εγκαταλειψω	V-FAI-1S	LXX_WH
Józs 1:5	G4771	σε	P-AS	LXX_WH
Józs 1:5	G3761	ουδε	CONJ	LXX_WH
Józs 1:5		υπεροψομαι	V-FMI-1S	ELTERO_SZOVEGALAP
Józs 1:5	G4771	σε	P-AS	LXX_WH
Józs 1:6	G2480	ισχυε	V-PAD-2S	LXX_WH
Józs 1:6	G2532	και	CONJ	LXX_WH
Józs 1:6	G0407	ανδριζου	V-PMD-2S	LXX_WH
Józs 1:6	G4771	συ	P-NS	LXX_WH
Józs 1:6	G1063	γαρ	PRT	LXX_WH
Józs 1:6		αποδιαστελεις	V-FAI-2S	ELTERO_SZOVEGALAP
Józs 1:6	G3588	τω	T-DSM	LXX_WH
Józs 1:6	G2992	λαω	N-DSM	LXX_WH
Józs 1:6	G3778	τουτω	D-DSM	LXX_WH
Józs 1:6	G3588	την	T-ASF	LXX_WH
Józs 1:6	G1065	γην	N-ASF	LXX_WH
Józs 1:6	G3739	ην	R-ASF	LXX_WH
