Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
1Kir 1:1	G2532	και	CONJ	LXX_WH
1Kir 1:1	G3588	ο	T-NSM	LXX_WH
1Kir 1:1	G0935	βασιλευς	N-NSM	LXX_WH
1Kir 1:1		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
1Kir 1:1	G4245	πρεσβυτερος	N-NSM	LXX_WH
1Kir 1:1	G4260	προβεβηκως	V-RAPNS	LXX_WH
1Kir 1:1	G2250	ημεραις	N-DPF	LXX_WH
1Kir 1:1	G2532	και	CONJ	LXX_WH
1Kir 1:1	G4016	περιεβαλλον	V-IAI-3P	LXX_WH
1Kir 1:1	G0846	αυτον	D-ASM	LXX_WH
1Kir 1:1	G2440	ιματιοις	N-DPN	LXX_WH
1Kir 1:1	G2532	και	CONJ	LXX_WH
1Kir 1:1	G3364	ουκ	ADV	LXX_WH
1Kir 1:1	G2328	εθερμαινετο	V-IMI-3S	LXX_WH
1Kir 1:2	G2532	και	CONJ	LXX_WH
1Kir 1:2		ειπον	V-AAI-3P	
1Kir 1:2	G3588	οι	T-NPM	LXX_WH
1Kir 1:2	G3816	παιδες	N-NPM	LXX_WH
1Kir 1:2	G0846	αυτου	D-GSM	LXX_WH
1Kir 1:2	G2212	ζητησατωσαν	V-AAD-3P	LXX_WH
1Kir 1:2	G3588	τω	T-DSM	LXX_WH
1Kir 1:2	G2962	κυριω	N-DSM	LXX_WH
1Kir 1:2	G1473	ημων	P-GP	LXX_WH
1Kir 1:2	G3588	τω	T-DSM	LXX_WH
1Kir 1:2	G0935	βασιλει	N-DSM	LXX_WH
1Kir 1:2	G3933	παρθενον	N-ASF	LXX_WH
1Kir 1:2		νεανιδα	N-ASF	ELTERO_SZOVEGALAP
1Kir 1:2	G2532	και	CONJ	LXX_WH
1Kir 1:2	G3936	παραστησεται	V-FMI-3S	LXX_WH
1Kir 1:2	G3588	τω	T-DSM	LXX_WH
1Kir 1:2	G0935	βασιλει	N-DSM	LXX_WH
1Kir 1:2	G2532	και	CONJ	LXX_WH
1Kir 1:2	G1510	εσται	V-FMI-3S	LXX_WH
1Kir 1:2	G0846	αυτον	D-ASM	LXX_WH
1Kir 1:2	G2282	θαλπουσα	V-AAPNS	LXX_WH
1Kir 1:2	G2532	και	CONJ	LXX_WH
1Kir 1:2	G2837	κοιμηθησεται	V-FPI-3S	LXX_WH
1Kir 1:2	G3326	μετ	PREP	LXX_WH
1Kir 1:2	G0846	αυτου	D-GSM	LXX_WH
1Kir 1:2	G2532	και	CONJ	LXX_WH
1Kir 1:2	G2328	θερμανθησεται	V-FPI-3S	LXX_WH
1Kir 1:2	G3588	ο	T-NSM	LXX_WH
1Kir 1:2	G2962	κυριος	N-NSM	LXX_WH
1Kir 1:2	G1473	ημων	P-GP	LXX_WH
1Kir 1:2	G3588	ο	T-NSM	LXX_WH
1Kir 1:2	G0935	βασιλευς	N-NSM	LXX_WH
1Kir 1:3	G2532	και	CONJ	LXX_WH
1Kir 1:3	G2212	εζητησαν	V-AAI-3P	LXX_WH
1Kir 1:3	G3494	νεανιδα	N-ASF	ABP-potolt
1Kir 1:3	G2570	καλην	A-ASF	LXX_WH
1Kir 1:3	G1537	εκ	PREP	LXX_WH
1Kir 1:3	G3956	παντος	A-GSN	LXX_WH
1Kir 1:3	G3725	οριου	N-GSN	LXX_WH
1Kir 1:3	G2474	ισραηλ	N-PRI	LXX_WH
1Kir 1:3	G2532	και	CONJ	LXX_WH
1Kir 1:3	G2147	ευρον	V-AAI-3P	LXX_WH
1Kir 1:3	G3588	την	T-ASF	LXX_WH
1Kir 1:3		αβισακ	N-PRI	ELTERO_SZOVEGALAP
1Kir 1:3	G3588	την	T-ASF	LXX_WH
1Kir 1:3	G3588	σωμανιτιν	N-ASF	ABP-potolt
1Kir 1:3	G2532	και	CONJ	LXX_WH
1Kir 1:3	G5342	ηνεγκαν	V-AAI-3P	LXX_WH
1Kir 1:3	G0846	αυτην	D-ASF	LXX_WH
1Kir 1:3	G4314	προς	PREP	LXX_WH
1Kir 1:3	G3588	τον	T-ASM	LXX_WH
1Kir 1:3	G0935	βασιλεα	N-ASM	LXX_WH
1Kir 1:4	G2532	και	CONJ	LXX_WH
1Kir 1:4	G3588	η	T-NSF	LXX_WH
1Kir 1:4	G3494	νεανις	N-NSF	ABP-potolt
1Kir 1:4	G2570	καλη	A-NSF	LXX_WH
1Kir 1:4	G2193	εως	PREP	LXX_WH
1Kir 1:4	G4970	σφοδρα	ADV	LXX_WH
1Kir 1:4	G2532	και	CONJ	LXX_WH
1Kir 1:4	G1510	ην	V-IAI-3S	LXX_WH
1Kir 1:4	G2282	θαλπουσα	V-PAPNS	LXX_WH
1Kir 1:4	G3588	τον	T-ASM	LXX_WH
1Kir 1:4	G0935	βασιλεα	N-ASM	LXX_WH
1Kir 1:4	G2532	και	CONJ	LXX_WH
1Kir 1:4	G3008	ελειτουργει	V-IAI-3S	LXX_WH
1Kir 1:4	G0846	αυτω	D-DSM	LXX_WH
1Kir 1:4	G2532	και	CONJ	LXX_WH
1Kir 1:4	G3588	ο	T-NSM	LXX_WH
1Kir 1:4	G0935	βασιλευς	N-NSM	LXX_WH
1Kir 1:4	G3364	ουκ	ADV	LXX_WH
1Kir 1:4	G1097	εγνω	V-AAI-3S	LXX_WH
1Kir 1:4	G0846	αυτην	D-ASF	LXX_WH
1Kir 1:5	G2532	και	CONJ	LXX_WH
1Kir 1:5		αδωνιας	N-NSM	ELTERO_SZOVEGALAP
1Kir 1:5	G5207	υιος	N-NSM	LXX_WH
1Kir 1:5	G1869	αγγιθ	N-PRI	ABP-potolt
1Kir 1:5	G1869	επηρετο	V-IMI-3S	ABP-potolt
1Kir 1:5	G3004	λεγων	V-PAPNS	LXX_WH
1Kir 1:5	G1473	εγω	P-NS	LXX_WH
1Kir 1:5	G0936	βασιλευσω	V-FAI-1S	LXX_WH
1Kir 1:5	G2532	και	CONJ	LXX_WH
