Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
2Krón 1:1	G2532	και	CONJ	LXX_WH
2Krón 1:1	G1765	ενισχυσεν	V-AAI-3S	LXX_WH
2Krón 1:1		σαλωμων	N-PRI	ELTERO_SZOVEGALAP
2Krón 1:1	G5207	υιος	N-NSM	LXX_WH
2Krón 1:1		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
2Krón 1:1	G1909	επι	PREP	LXX_WH
2Krón 1:1	G3588	την	T-ASF	LXX_WH
2Krón 1:1	G0932	βασιλειαν	N-ASF	LXX_WH
2Krón 1:1	G0846	αυτου	D-GSM	LXX_WH
2Krón 1:1	G2532	και	CONJ	LXX_WH
2Krón 1:1	G2962	κυριος	N-NSM	LXX_WH
2Krón 1:1	G3588	ο	T-NSM	LXX_WH
2Krón 1:1	G2316	θεος	N-NSM	LXX_WH
2Krón 1:1	G0846	αυτου	D-GSM	LXX_WH
2Krón 1:1	G3326	μετ	PREP	LXX_WH
2Krón 1:1	G0846	αυτου	D-GSM	LXX_WH
2Krón 1:1	G2532	και	CONJ	LXX_WH
2Krón 1:1	G3170	εμεγαλυνεν	V-AAI-3S	LXX_WH
2Krón 1:1	G0846	αυτον	D-ASM	LXX_WH
2Krón 1:1	G1519	εις	PREP	LXX_WH
2Krón 1:1	G5311	υψος	N-ASN	LXX_WH
2Krón 1:2	G2532	και	CONJ	LXX_WH
2Krón 1:2		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
2Krón 1:2		σαλωμων	N-PRI	ELTERO_SZOVEGALAP
2Krón 1:2	G4314	προς	PREP	LXX_WH
2Krón 1:2	G3956	παντα	A-ASM	LXX_WH
2Krón 1:2	G2474	ισραηλ	N-PRI	LXX_WH
2Krón 1:2	G3588	τοις	T-DPM	LXX_WH
2Krón 1:2	G5506	χιλιαρχοις	N-DPM	LXX_WH
2Krón 1:2	G2532	και	CONJ	LXX_WH
2Krón 1:2	G3588	τοις	T-DPM	LXX_WH
2Krón 1:2		εκατονταρχοις	N-DPM	
2Krón 1:2	G2532	και	CONJ	LXX_WH
2Krón 1:2	G3588	τοις	T-DPM	LXX_WH
2Krón 1:2	G2923	κριταις	N-DPM	LXX_WH
2Krón 1:2	G2532	και	CONJ	LXX_WH
2Krón 1:2	G3956	πασιν	A-DPM	LXX_WH
2Krón 1:2	G3588	τοις	T-DPM	LXX_WH
2Krón 1:2	G0758	αρχουσιν	N-DPM	LXX_WH
2Krón 1:2	G1726	εναντιον	PREP	LXX_WH
2Krón 1:2	G2474	ισραηλ	N-PRI	LXX_WH
