Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
3Móz 1:1	G2532	και	CONJ	LXX_WH
3Móz 1:1	G0342	ανεκαλεσεν	V-AAI-3S	ABP-potolt
3Móz 1:1	G0342	μωυσην	N-ASM	ABP-potolt
3Móz 1:1	G2532	και	CONJ	LXX_WH
3Móz 1:1	G2980	ελαλησεν	V-AAI-3S	LXX_WH
3Móz 1:1	G2962	κυριος	N-NSM	LXX_WH
3Móz 1:1	G0846	αυτω	D-DSM	LXX_WH
3Móz 1:1	G1537	εκ	PREP	LXX_WH
3Móz 1:1	G3588	της	T-GSF	LXX_WH
3Móz 1:1	G4633	σκηνης	N-GSF	LXX_WH
3Móz 1:1	G3588	του	T-GSN	LXX_WH
3Móz 1:1	G3142	μαρτυριου	N-GSN	LXX_WH
3Móz 1:1	G3004	λεγων	V-PAPNS	LXX_WH
3Móz 1:2	G2980	λαλησον	V-AAD-2S	LXX_WH
3Móz 1:2	G3588	τοις	T-DPM	LXX_WH
3Móz 1:2	G5207	υιοις	N-DPM	LXX_WH
3Móz 1:2	G2474	ισραηλ	N-PRI	LXX_WH
3Móz 1:2	G2532	και	CONJ	LXX_WH
3Móz 1:2	G2046	ερεις	V-FAI-2S	ABP-potolt
3Móz 1:2	G4314	προς	PREP	LXX_WH
3Móz 1:2	G0846	αυτους	D-APM	LXX_WH
3Móz 1:2	G0444	ανθρωπος	N-NSM	LXX_WH
3Móz 1:2	G1537	εξ	PREP	LXX_WH
3Móz 1:2	G4771	υμων	P-GP	LXX_WH
3Móz 1:2	G1437	εαν	CONJ	LXX_WH
3Móz 1:2	G4317	προσαγαγη	V-AAS-3S	LXX_WH
3Móz 1:2	G1435	δωρα	N-APN	LXX_WH
3Móz 1:2	G3588	τω	T-DSM	LXX_WH
3Móz 1:2	G2962	κυριω	N-DSM	LXX_WH
3Móz 1:2	G0575	απο	PREP	LXX_WH
3Móz 1:2	G3588	των	T-GPN	LXX_WH
3Móz 1:2	G2934	κτηνων	N-GPN	LXX_WH
3Móz 1:2	G0575	απο	PREP	LXX_WH
3Móz 1:2	G3588	των	T-GPM	LXX_WH
3Móz 1:2	G1016	βοων	N-GPM	LXX_WH
3Móz 1:2	G2532	και	CONJ	LXX_WH
3Móz 1:2	G0575	απο	PREP	LXX_WH
3Móz 1:2	G3588	των	T-GPN	LXX_WH
3Móz 1:2	G4263	προβατων	N-GPN	LXX_WH
3Móz 1:2	G4374	προσοισετε	V-FAI-2P	LXX_WH
3Móz 1:2	G3588	τα	T-APN	LXX_WH
3Móz 1:2	G1435	δωρα	N-APN	LXX_WH
3Móz 1:2	G4771	υμων	P-GP	LXX_WH
3Móz 1:3	G1437	εαν	CONJ	LXX_WH
3Móz 1:3	G3646	ολοκαυτωμα	N-NSN	LXX_WH
3Móz 1:3	G3588	το	T-NSN	LXX_WH
3Móz 1:3	G1435	δωρον	N-NSN	LXX_WH
3Móz 1:3	G0846	αυτου	D-GSM	LXX_WH
3Móz 1:3	G1537	εκ	PREP	LXX_WH
3Móz 1:3	G3588	των	T-GPM	LXX_WH
3Móz 1:3	G1016	βοων	N-GPM	LXX_WH
3Móz 1:3	G0730	αρσεν	A-ASN	ABP-potolt
3Móz 1:3	G0299	αμωμον	A-ASN	LXX_WH
3Móz 1:3	G4317	προσαξει	V-FAI-3S	LXX_WH
3Móz 1:3	G4314	προς	PREP	LXX_WH
3Móz 1:3	G3588	την	T-ASF	LXX_WH
3Móz 1:3	G2374	θυραν	N-ASF	LXX_WH
3Móz 1:3	G3588	της	T-GSF	LXX_WH
3Móz 1:3	G4633	σκηνης	N-GSF	LXX_WH
3Móz 1:3	G3588	του	T-GSN	LXX_WH
3Móz 1:3	G3142	μαρτυριου	N-GSN	LXX_WH
3Móz 1:3	G4374	προσοισει	V-FAI-3S	LXX_WH
3Móz 1:3	G0846	αυτο	D-ASN	LXX_WH
3Móz 1:3	G1184	δεκτον	A-ASN	LXX_WH
3Móz 1:3	G1726	εναντιον	PREP	LXX_WH
3Móz 1:3	G2962	κυριου	N-GSM	LXX_WH
3Móz 1:4	G2532	και	CONJ	LXX_WH
3Móz 1:4	G2007	επιθησει	V-FAI-3S	LXX_WH
3Móz 1:4	G3588	την	T-ASF	LXX_WH
3Móz 1:4	G5495	χειρα	N-ASF	LXX_WH
3Móz 1:4	G1909	επι	PREP	LXX_WH
3Móz 1:4	G3588	την	T-ASF	LXX_WH
3Móz 1:4	G2776	κεφαλην	N-ASF	LXX_WH
3Móz 1:4	G3588	του	T-GSN	LXX_WH
3Móz 1:4	G2593	καρπωματος	N-GSN	ABP-potolt
3Móz 1:4	G1184	δεκτον	A-ASN	LXX_WH
3Móz 1:4	G0846	αυτω	D-DSM	LXX_WH
3Móz 1:4		εξιλασασθαι	V-AMN	ELTERO_SZOVEGALAP
3Móz 1:4	G4012	περι	PREP	LXX_WH
3Móz 1:4	G0846	αυτου	D-GSM	LXX_WH
3Móz 1:5	G2532	και	CONJ	LXX_WH
3Móz 1:5	G4969	σφαξουσι	V-FAI-3P	LXX_WH
3Móz 1:5	G3588	τον	T-ASM	LXX_WH
3Móz 1:5	G3448	μοσχον	N-ASM	LXX_WH
3Móz 1:5	G1725	εναντι	PREP	LXX_WH
3Móz 1:5	G2962	κυριου	N-GSM	LXX_WH
3Móz 1:5	G2532	και	CONJ	LXX_WH
3Móz 1:5	G4374	προσοισουσιν	V-FAI-3P	LXX_WH
3Móz 1:5	G3588	οι	T-NPM	LXX_WH
3Móz 1:5	G5207	υιοι	N-NPM	LXX_WH
3Móz 1:5	G0002	ααρων	N-PRI	LXX_WH
3Móz 1:5	G3588	οι	T-NPM	LXX_WH
3Móz 1:5	G2409	ιερεις	N-NPM	LXX_WH
3Móz 1:5	G3588	το	T-ASN	LXX_WH
3Móz 1:5	G0129	αιμα	N-ASN	LXX_WH
3Móz 1:5	G2532	και	CONJ	LXX_WH
3Móz 1:5		προσχεουσιν	V-FAI-3P	
3Móz 1:5	G3588	το	T-ASN	LXX_WH
3Móz 1:5	G0129	αιμα	N-ASN	LXX_WH
3Móz 1:5	G1909	επι	PREP	LXX_WH
3Móz 1:5	G3588	το	T-ASN	LXX_WH
3Móz 1:5	G2379	θυσιαστηριον	N-ASN	LXX_WH
3Móz 1:5	G2945	κυκλω	N-DSM	ABP-potolt
3Móz 1:5	G3588	το	T-ASN	LXX_WH
3Móz 1:5	G1909	επι	PREP	LXX_WH
3Móz 1:5	G3588	των	T-GPF	LXX_WH
3Móz 1:5	G2374	θυρων	N-GPF	LXX_WH
3Móz 1:5	G3588	της	T-GSF	LXX_WH
3Móz 1:5	G4633	σκηνης	N-GSF	LXX_WH
3Móz 1:5	G3588	του	T-GSN	LXX_WH
3Móz 1:5	G3142	μαρτυριου	N-GSN	LXX_WH
3Móz 1:6	G2532	και	CONJ	LXX_WH
3Móz 1:6	G1550	εκδειραντες	V-AAPNP	ABP-potolt
3Móz 1:6	G3588	το	T-ASN	LXX_WH
3Móz 1:6	G3646	ολοκαυτωμα	N-ASN	LXX_WH
3Móz 1:6		μελιουσιν	V-FAI-3P	ELTERO_SZOVEGALAP
3Móz 1:6	G0846	αυτο	D-ASN	LXX_WH
3Móz 1:6	G2596	κατα	PREP	LXX_WH
3Móz 1:6	G3196	μελη	N-APN	LXX_WH
3Móz 1:7	G2532	και	CONJ	LXX_WH
3Móz 1:7	G2007	επιθησουσιν	V-FAI-3P	LXX_WH
3Móz 1:7	G3588	οι	T-NPM	LXX_WH
3Móz 1:7	G5207	υιοι	N-NPM	LXX_WH
3Móz 1:7	G0002	ααρων	N-PRI	LXX_WH
3Móz 1:7	G3588	οι	T-NPM	LXX_WH
3Móz 1:7	G2409	ιερεις	N-NPM	LXX_WH
3Móz 1:7	G4442	πυρ	N-ASN	LXX_WH
3Móz 1:7	G1909	επι	PREP	LXX_WH
3Móz 1:7	G3588	το	T-ASN	LXX_WH
3Móz 1:7	G2379	θυσιαστηριον	N-ASN	LXX_WH
3Móz 1:7	G2532	και	CONJ	LXX_WH
3Móz 1:7	G4745	επιστοιβασουσιν	V-FAI-3P	ABP-potolt
3Móz 1:7	G3586	ξυλα	N-APN	LXX_WH
3Móz 1:7	G1909	επι	PREP	LXX_WH
3Móz 1:7	G3588	το	T-ASN	LXX_WH
3Móz 1:7	G4442	πυρ	N-ASN	LXX_WH
3Móz 1:8	G2532	και	CONJ	LXX_WH
3Móz 1:8	G1991	επιστοιβασουσιν	V-FAI-3P	ABP-potolt
3Móz 1:8	G3588	οι	T-NPM	LXX_WH
3Móz 1:8	G5207	υιοι	N-NPM	LXX_WH
3Móz 1:8	G0002	ααρων	N-PRI	LXX_WH
3Móz 1:8	G3588	οι	T-NPM	LXX_WH
3Móz 1:8	G2409	ιερεις	N-NPM	LXX_WH
3Móz 1:8	G3588	τα	T-APN	LXX_WH
3Móz 1:8		διχοτομηματα	N-APN	
3Móz 1:8	G2532	και	CONJ	LXX_WH
3Móz 1:8	G3588	την	T-ASF	LXX_WH
3Móz 1:8	G2776	κεφαλην	N-ASF	LXX_WH
3Móz 1:8	G2532	και	CONJ	LXX_WH
3Móz 1:8	G3588	το	T-ASN	LXX_WH
3Móz 1:8		στεαρ	N-ASN	
3Móz 1:8	G1909	επι	PREP	LXX_WH
3Móz 1:8	G3588	τα	T-APN	LXX_WH
3Móz 1:8	G3586	ξυλα	N-APN	LXX_WH
3Móz 1:8	G3588	τα	T-APN	LXX_WH
3Móz 1:8	G1909	επι	PREP	LXX_WH
3Móz 1:8	G3588	του	T-GSN	LXX_WH
3Móz 1:8	G4442	πυρος	N-GSN	LXX_WH
3Móz 1:8	G3588	τα	T-APN	LXX_WH
3Móz 1:8	G1510	οντα	V-PAPAP	LXX_WH
3Móz 1:8	G1909	επι	PREP	LXX_WH
3Móz 1:8	G3588	του	T-GSN	LXX_WH
3Móz 1:8	G2379	θυσιαστηριου	N-GSN	LXX_WH
3Móz 1:9	G3588	τα	T-APN	LXX_WH
3Móz 1:9	G1161	δε	PRT	LXX_WH
3Móz 1:9		εγκοιλια	A-APN	ELTERO_SZOVEGALAP
3Móz 1:9	G2532	και	CONJ	LXX_WH
3Móz 1:9	G3588	τους	T-APM	LXX_WH
3Móz 1:9	G4228	ποδας	N-APM	LXX_WH
3Móz 1:9	G4150	πλυνουσιν	V-FAI-3P	LXX_WH
3Móz 1:9	G5204	υδατι	N-DSN	LXX_WH
3Móz 1:9	G2532	και	CONJ	LXX_WH
3Móz 1:9	G2007	επιθησουσιν	V-FAI-3P	LXX_WH
3Móz 1:9	G3588	οι	T-NPM	LXX_WH
3Móz 1:9	G2409	ιερεις	N-NPM	LXX_WH
3Móz 1:9	G3588	τα	T-APN	LXX_WH
3Móz 1:9	G3956	παντα	A-APN	LXX_WH
3Móz 1:9	G1909	επι	PREP	LXX_WH
3Móz 1:9	G3588	το	T-ASN	LXX_WH
3Móz 1:9	G2379	θυσιαστηριον	N-ASN	LXX_WH
3Móz 1:9	G2593	καρπωμα	N-NSN	ABP-potolt
3Móz 1:9	G1510	εστιν	V-PAI-3S	LXX_WH
3Móz 1:9	G2378	θυσια	N-NSF	LXX_WH
3Móz 1:9	G3744	οσμη	N-NSF	LXX_WH
