Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Mal 1:1	G3024	λημμα	N-NSN	ABP-potolt
Mal 1:1	G3056	λογου	N-GSM	LXX_WH
Mal 1:1	G2962	κυριου	N-GSM	LXX_WH
Mal 1:1	G1909	επι	PREP	LXX_WH
Mal 1:1	G3588	τον	T-ASM	LXX_WH
Mal 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Mal 1:1	G1722	εν	PREP	LXX_WH
Mal 1:1	G5495	χειρι	N-DSF	LXX_WH
Mal 1:1	G0032	αγγελου	N-GSM	LXX_WH
Mal 1:1	G0846	αυτου	D-GSM	LXX_WH
Mal 1:1	G5087	θεσθε	V-AMD-2P	LXX_WH
Mal 1:1	G1161	δη	PRT	LXX_WH
Mal 1:1	G1909	επι	PREP	LXX_WH
Mal 1:1	G3588	τας	T-APF	LXX_WH
Mal 1:1	G2588	καρδιας	N-APF	LXX_WH
Mal 1:1	G4771	υμων	P-GP	LXX_WH
Mal 1:2	G0025	ηγαπησα	V-AAI-1S	LXX_WH
Mal 1:2	G4771	υμας	P-AP	LXX_WH
Mal 1:2	G3004	λεγει	V-PAI-3S	LXX_WH
Mal 1:2	G2962	κυριος	N-NSM	LXX_WH
Mal 1:2	G2532	και	CONJ	LXX_WH
Mal 1:2	G2036	ειπατε	V-AAI-2P	ABP-potolt
Mal 1:2	G1722	εν	PREP	LXX_WH
Mal 1:2	G5100	τινι	I-DSN	LXX_WH
Mal 1:2	G0025	ηγαπησας	V-AAI-2S	LXX_WH
Mal 1:2	G1473	ημας	P-AP	LXX_WH
Mal 1:2	G3364	ουκ	ADV	LXX_WH
Mal 1:2	G0080	αδελφος	N-NSM	LXX_WH
Mal 1:2	G1510	ην	V-IAI-3S	LXX_WH
Mal 1:2	G2269	ησαυ	N-PRI	LXX_WH
Mal 1:2	G3588	του	T-GSM	LXX_WH
Mal 1:2	G2384	ιακωβ	N-PRI	LXX_WH
Mal 1:2	G3004	λεγει	V-PAI-3S	LXX_WH
Mal 1:2	G2962	κυριος	N-NSM	LXX_WH
Mal 1:2	G2532	και	CONJ	LXX_WH
Mal 1:2	G0025	ηγαπησα	V-AAI-1S	LXX_WH
Mal 1:2	G3588	τον	T-ASM	LXX_WH
Mal 1:2	G2384	ιακωβ	N-PRI	LXX_WH
Mal 1:3	G3588	τον	T-ASM	LXX_WH
Mal 1:3	G1161	δε	PRT	LXX_WH
Mal 1:3	G2269	ησαυ	N-PRI	LXX_WH
Mal 1:3	G3404	εμισησα	V-AAI-1S	LXX_WH
Mal 1:3	G2532	και	CONJ	LXX_WH
Mal 1:3	G5021	εταξα	V-AAI-1S	LXX_WH
Mal 1:3	G3588	τα	T-APN	LXX_WH
Mal 1:3	G3725	ορια	N-APN	LXX_WH
