Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Mik 1:1	G2532	και	CONJ	LXX_WH
Mik 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Mik 1:1	G3056	λογος	N-NSM	LXX_WH
Mik 1:1	G2962	κυριου	N-GSM	LXX_WH
Mik 1:1	G4314	προς	PREP	LXX_WH
Mik 1:1	G3588	μιχαιαν	N-ASM	ABP-potolt
Mik 1:1	G3588	τον	T-ASM	LXX_WH
Mik 1:1	G3588	του	T-GSM	LXX_WH
Mik 1:1	G3588	μωρασθι	N-PRI	ABP-potolt
Mik 1:1	G1722	εν	PREP	LXX_WH
Mik 1:1	G2250	ημεραις	N-DPF	LXX_WH
Mik 1:1	G2488	ιωαθαμ	N-PRI	LXX_WH
Mik 1:1	G2532	και	CONJ	LXX_WH
Mik 1:1	G0881	αχαζ	N-PRI	LXX_WH
Mik 1:1	G2532	και	CONJ	LXX_WH
Mik 1:1	G1478	εζεκιου	N-GSM	LXX_WH
Mik 1:1	G0935	βασιλεων	N-GPM	LXX_WH
Mik 1:1	G2448	ιουδα	N-PRI	LXX_WH
Mik 1:1	G5228	υπερ	PREP	LXX_WH
Mik 1:1	G3739	ων	R-GPM	LXX_WH
Mik 1:1	G3708	ειδεν	V-AAI-3S	LXX_WH
Mik 1:1	G4012	περι	PREP	LXX_WH
Mik 1:1	G4540	σαμαρειας	N-GSF	LXX_WH
Mik 1:1	G2532	και	CONJ	LXX_WH
Mik 1:1	G4012	περι	PREP	LXX_WH
Mik 1:1	G2419	ιερουσαλημ	N-PRI	LXX_WH
Mik 1:2	G0191	ακουσατε	V-AAD-2P	LXX_WH
Mik 1:2	G2992	λαοι	N-VPM	LXX_WH
Mik 1:2	G3056	λογους	N-APM	LXX_WH
Mik 1:2	G2532	και	CONJ	LXX_WH
Mik 1:2	G4337	προσεχετω	V-PAD-3S	LXX_WH
Mik 1:2	G3588	η	T-NSF	LXX_WH
Mik 1:2	G1065	γη	N-NSF	LXX_WH
Mik 1:2	G2532	και	CONJ	LXX_WH
Mik 1:2	G3956	παντες	A-NPM	LXX_WH
Mik 1:2	G3588	οι	T-NPM	LXX_WH
Mik 1:2	G1722	εν	PREP	LXX_WH
Mik 1:2	G0846	αυτη	D-DSF	LXX_WH
Mik 1:2	G2532	και	CONJ	LXX_WH
Mik 1:2	G1510	εσται	V-FMI-3S	LXX_WH
Mik 1:2	G2962	κυριος	N-NSM	LXX_WH
Mik 1:2	G1722	εν	PREP	LXX_WH
Mik 1:2	G4771	υμιν	P-DP	LXX_WH
Mik 1:2	G1519	εις	PREP	LXX_WH
Mik 1:2	G3142	μαρτυριον	N-ASN	LXX_WH
Mik 1:2	G2962	κυριος	N-NSM	LXX_WH
Mik 1:2	G1537	εξ	PREP	LXX_WH
Mik 1:2	G3624	οικου	N-GSM	LXX_WH
Mik 1:2	G0040	αγιου	A-GSM	LXX_WH
Mik 1:2	G0846	αυτου	D-GSM	LXX_WH
Mik 1:3	G1360	διοτι	CONJ	LXX_WH
Mik 1:3	G2400	ιδου	INJ	LXX_WH
Mik 1:3	G2962	κυριος	N-NSM	LXX_WH
Mik 1:3	G1607	εκπορευεται	V-PMI-3S	LXX_WH
Mik 1:3	G1537	εκ	PREP	LXX_WH
Mik 1:3	G3588	του	T-GSM	LXX_WH
Mik 1:3	G5117	τοπου	N-GSM	LXX_WH
Mik 1:3	G0846	αυτου	D-GSM	LXX_WH
Mik 1:3	G2532	και	CONJ	LXX_WH
Mik 1:3	G2597	καταβησεται	V-FMI-3S	LXX_WH
Mik 1:3	G2532	και	CONJ	LXX_WH
Mik 1:3	G1910	επιβησεται	V-FMI-3S	LXX_WH
Mik 1:3	G1909	επι	PREP	LXX_WH
Mik 1:3	G3588	τα	T-APN	LXX_WH
Mik 1:3	G5311	υψη	N-APN	LXX_WH
Mik 1:3	G3588	της	T-GSF	LXX_WH
Mik 1:3	G1065	γης	N-GSF	LXX_WH
Mik 1:4	G2532	και	CONJ	LXX_WH
Mik 1:4	G4531	σαλευθησεται	V-FPI-3S	LXX_WH
Mik 1:4	G3588	τα	T-NPN	LXX_WH
Mik 1:4	G3735	ορη	N-NPN	LXX_WH
Mik 1:4		υποκατωθεν	PREP	ELTERO_SZOVEGALAP
Mik 1:4	G0846	αυτου	D-GSM	LXX_WH
Mik 1:4	G2532	και	CONJ	LXX_WH
Mik 1:4	G3588	αι	T-NPF	LXX_WH
Mik 1:4	G2835	κοιλαδες	N-NPF	ABP-potolt
Mik 1:4	G5080	τακησονται	V-FMI-3P	LXX_WH
Mik 1:4	G3739	ως	CONJ	LXX_WH
Mik 1:4		κηρος	N-NSM	ELTERO_SZOVEGALAP
Mik 1:4	G0575	απο	PREP	LXX_WH
Mik 1:4	G4383	προσωπου	N-GSN	LXX_WH
Mik 1:4	G4442	πυρος	N-GSN	LXX_WH
Mik 1:4	G2532	και	CONJ	LXX_WH
Mik 1:4	G3739	ως	CONJ	LXX_WH
Mik 1:4	G5204	υδωρ	N-NSN	LXX_WH
