Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Náh 1:1	G3024	λημμα	N-NSN	ABP-potolt
Náh 1:1	G3024	νινευη	N-PRI	ABP-potolt
Náh 1:1	G0975	βιβλιον	N-NSN	LXX_WH
Náh 1:1	G3706	ορασεως	N-GSF	LXX_WH
Náh 1:1	G3486	ναουμ	N-PRI	LXX_WH
Náh 1:1	G3588	του	T-GSM	LXX_WH
Náh 1:1		ελκεσαιου	N-PRI	ELTERO_SZOVEGALAP
Náh 1:2	G2316	θεος	N-NSM	LXX_WH
Náh 1:2	G2207	ζηλωτης	N-NSM	LXX_WH
Náh 1:2	G2532	και	CONJ	LXX_WH
Náh 1:2	G1556	εκδικων	V-PAPNS	LXX_WH
Náh 1:2	G2962	κυριος	N-NSM	LXX_WH
Náh 1:2	G1556	εκδικων	V-PAPNS	LXX_WH
Náh 1:2	G2962	κυριος	N-NSM	LXX_WH
Náh 1:2	G3326	μετα	PREP	LXX_WH
Náh 1:2	G2372	θυμου	N-GSM	LXX_WH
Náh 1:2	G1556	εκδικων	V-PAPNS	LXX_WH
Náh 1:2	G2962	κυριος	N-NSM	LXX_WH
Náh 1:2	G3588	τους	T-APM	LXX_WH
Náh 1:2		υπεναντιους	A-APM	ELTERO_SZOVEGALAP
Náh 1:2	G0846	αυτου	D-GSM	LXX_WH
Náh 1:2	G2532	και	CONJ	LXX_WH
Náh 1:2	G1808	εξαιρων	V-PAPNS	LXX_WH
Náh 1:2	G0846	αυτος	D-NSM	LXX_WH
Náh 1:2	G3588	τους	T-APM	LXX_WH
Náh 1:2	G2190	εχθρους	N-APM	LXX_WH
Náh 1:2	G0846	αυτου	D-GSM	LXX_WH
Náh 1:3	G2962	κυριος	N-NSM	LXX_WH
Náh 1:3	G3116	μακροθυμος	A-NSM	LXX_WH
Náh 1:3	G2532	και	CONJ	LXX_WH
Náh 1:3	G3173	μεγαλη	A-NSF	LXX_WH
Náh 1:3	G3588	η	T-NSF	LXX_WH
Náh 1:3	G2479	ισχυς	N-NSF	LXX_WH
Náh 1:3	G0846	αυτου	D-GSM	LXX_WH
Náh 1:3	G2532	και	CONJ	LXX_WH
Náh 1:3		αθωων	V-PAPNS	ELTERO_SZOVEGALAP
Náh 1:3	G3364	ουκ	ADV	LXX_WH
Náh 1:3		αθωωσει	V-FAI-3S	ELTERO_SZOVEGALAP
Náh 1:3	G2962	κυριος	N-NSM	LXX_WH
Náh 1:3	G1722	εν	PREP	LXX_WH
Náh 1:3	G4930	συντελεια	N-DSF	LXX_WH
Náh 1:3	G2532	και	CONJ	LXX_WH
Náh 1:3	G1722	εν	PREP	LXX_WH
Náh 1:3	G4952	συσσεισμω	N-DSM	ABP-potolt
Náh 1:3	G3588	η	T-NSF	LXX_WH
Náh 1:3	G3598	οδος	N-NSF	LXX_WH
Náh 1:3	G0846	αυτου	D-GSM	LXX_WH
Náh 1:3	G2532	και	CONJ	LXX_WH
Náh 1:3	G3507	νεφελαι	N-NPF	LXX_WH
Náh 1:3	G2868	κονιορτος	N-NSM	LXX_WH
Náh 1:3	G4228	ποδων	N-GPM	LXX_WH
Náh 1:3	G0846	αυτου	D-GSM	LXX_WH
Náh 1:4	G0546	απειλων	V-PAPNS	ABP-potolt
Náh 1:4	G2281	θαλασση	N-DSF	LXX_WH
Náh 1:4	G2532	και	CONJ	LXX_WH
Náh 1:4	G3583	ξηραινων	V-PAPNS	LXX_WH
Náh 1:4	G0846	αυτην	D-ASF	LXX_WH
Náh 1:4	G2532	και	CONJ	LXX_WH
Náh 1:4	G3956	παντας	A-APM	LXX_WH
Náh 1:4	G3588	τους	T-APM	LXX_WH
Náh 1:4	G4215	ποταμους	N-APM	LXX_WH
Náh 1:4		εξερημων	V-PAPNS	ELTERO_SZOVEGALAP
Náh 1:4		ωλιγωθη	V-API-3S	ELTERO_SZOVEGALAP
Náh 1:4	G3588	η	T-NSF	LXX_WH
Náh 1:4		βασανιτις	N-NSM	ELTERO_SZOVEGALAP
Náh 1:4	G2532	και	CONJ	LXX_WH
Náh 1:4	G3588	ο	T-NSM	LXX_WH
Náh 1:4		καρμηλος	N-NSM	ELTERO_SZOVEGALAP
Náh 1:4	G2532	και	CONJ	LXX_WH
Náh 1:4	G3588	τα	T-NPN	LXX_WH
Náh 1:4		εξανθουντα	V-PAPNS	
Náh 1:4	G3588	του	T-GSM	LXX_WH
Náh 1:4	G3030	λιβανου	N-GSM	LXX_WH
Náh 1:4	G1587	εξελιπεν	V-AAI-3S	LXX_WH
Náh 1:5	G3588	τα	T-NPN	LXX_WH
Náh 1:5	G3735	ορη	N-NPN	LXX_WH
Náh 1:5	G4579	εσεισθησαν	V-API-3P	LXX_WH
Náh 1:5	G0575	απ	PREP	LXX_WH
Náh 1:5	G0846	αυτου	D-GSM	LXX_WH
Náh 1:5	G2532	και	CONJ	LXX_WH
Náh 1:5	G3588	οι	T-NPM	LXX_WH
Náh 1:5	G1015	βουνοι	N-NPM	LXX_WH
Náh 1:5	G4531	εσαλευθησαν	V-API-3P	LXX_WH
Náh 1:5	G2532	και	CONJ	LXX_WH
Náh 1:5		ανεσταλη	V-API-3S	
Náh 1:5	G3588	η	T-NSF	LXX_WH
Náh 1:5	G1065	γη	N-NSF	LXX_WH
Náh 1:5	G0575	απο	PREP	LXX_WH
Náh 1:5	G4383	προσωπου	N-GSN	LXX_WH
Náh 1:5	G0846	αυτου	D-GSM	LXX_WH
Náh 1:5	G3588	η	T-NSF	LXX_WH
Náh 1:5	G4840	συμπασα	A-NSF	ABP-potolt
Náh 1:5	G2532	και	CONJ	LXX_WH
Náh 1:5	G3956	παντες	A-NPM	LXX_WH
Náh 1:5	G3588	οι	T-NPM	LXX_WH
Náh 1:5	G2730	κατοικουντες	V-PAPNP	ABP-potolt
Náh 1:5	G1722	εν	PREP	LXX_WH
Náh 1:5	G0846	αυτη	D-DSF	LXX_WH
Náh 1:6	G0575	απο	PREP	LXX_WH
Náh 1:6	G4383	προσωπου	N-GSN	LXX_WH
Náh 1:6	G3709	οργης	N-GSF	LXX_WH
Náh 1:6	G0846	αυτου	D-GSM	LXX_WH
Náh 1:6	G5100	τις	I-NSM	LXX_WH
Náh 1:6	G5307	υποστησεται	V-FMI-3S	ABP-potolt
Náh 1:6	G2532	και	CONJ	LXX_WH
Náh 1:6	G5100	τις	I-NSM	LXX_WH
Náh 1:6	G0436	αντιστησεται	V-FMI-3S	ABP-potolt
Náh 1:6	G1722	εν	PREP	LXX_WH
Náh 1:6	G3709	οργη	N-DSF	LXX_WH
Náh 1:6	G2372	θυμου	N-GSM	LXX_WH
Náh 1:6	G0846	αυτου	D-GSM	LXX_WH
Náh 1:6	G3588	ο	T-NSM	LXX_WH
Náh 1:6	G2372	θυμος	N-NSM	LXX_WH
Náh 1:6	G0846	αυτου	D-GSM	LXX_WH
Náh 1:6	G5080	τηκει	V-PAI-3S	LXX_WH
Náh 1:6	G0746	αρχας	N-APF	LXX_WH
Náh 1:6	G2532	και	CONJ	LXX_WH
Náh 1:6	G3588	αι	T-NPF	LXX_WH
Náh 1:6	G4073	πετραι	N-NPF	LXX_WH
Náh 1:6	G1242	διεθρυβησαν	V-API-3P	ABP-potolt
Náh 1:6	G0575	απ	PREP	LXX_WH
Náh 1:6	G0846	αυτου	D-GSM	LXX_WH
Náh 1:7	G5543	χρηστος	A-NSM	LXX_WH
Náh 1:7	G2962	κυριος	N-NSM	LXX_WH
Náh 1:7	G3588	τοις	T-DPM	LXX_WH
Náh 1:7	G5278	υπομενουσιν	V-PAPDP	LXX_WH
Náh 1:7	G0846	αυτον	D-ASM	LXX_WH
Náh 1:7	G1722	εν	PREP	LXX_WH
Náh 1:7	G2250	ημερα	N-DSF	LXX_WH
Náh 1:7	G2347	θλιψεως	N-GSF	LXX_WH
Náh 1:7	G2532	και	CONJ	LXX_WH
Náh 1:7	G1097	γινωσκων	V-PAPNS	LXX_WH
Náh 1:7	G3588	τους	T-APM	LXX_WH
Náh 1:7	G2125	ευλαβουμενους	V-PMPAP	LXX_WH
Náh 1:7	G0846	αυτον	D-ASM	LXX_WH
Náh 1:8	G2532	και	CONJ	LXX_WH
Náh 1:8	G1722	εν	PREP	LXX_WH
Náh 1:8	G2627	κατακλυσμω	N-DSM	LXX_WH
Náh 1:8	G4197	πορειας	N-GSF	LXX_WH
Náh 1:8	G4930	συντελειαν	N-ASF	LXX_WH
Náh 1:8	G4160	ποιησεται	V-FMI-3S	LXX_WH
Náh 1:8	G3588	τους	T-APM	LXX_WH
Náh 1:8	G1892	επεγειρομενους	V-PMPAP	ABP-potolt
Náh 1:8	G2532	και	CONJ	LXX_WH
Náh 1:8	G3588	τους	T-APM	LXX_WH
Náh 1:8	G2190	εχθρους	N-APM	LXX_WH
Náh 1:8	G0846	αυτου	D-GSM	LXX_WH
Náh 1:8	G1377	διωξεται	V-FMI-3S	LXX_WH
Náh 1:8	G4655	σκοτος	N-NSN	LXX_WH
Náh 1:9	G5100	τι	I-ASN	LXX_WH
Náh 1:9	G3049	λογιζεσθε	V-PMI-2P	LXX_WH
Náh 1:9	G1909	επι	PREP	LXX_WH
Náh 1:9	G3588	τον	T-ASM	LXX_WH
Náh 1:9	G2962	κυριον	N-ASM	LXX_WH
Náh 1:9	G4930	συντελειαν	N-ASF	LXX_WH
Náh 1:9	G0846	αυτος	D-NSM	LXX_WH
