Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Neh 1:1	G3056	λογοι	N-NPM	LXX_WH
Neh 1:1		νεεμια	N-PRI	ELTERO_SZOVEGALAP
Neh 1:1	G5207	υιου	N-GSM	LXX_WH
Neh 1:1		αχαλια	N-PRI	ELTERO_SZOVEGALAP
Neh 1:1	G2532	και	CONJ	LXX_WH
Neh 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Neh 1:1	G1722	εν	PREP	LXX_WH
Neh 1:1	G3303	μηνι	N-DSM	LXX_WH
Neh 1:1		χασεηλου	N-PRI	ELTERO_SZOVEGALAP
Neh 1:1	G2094	ετους	N-GSN	LXX_WH
Neh 1:1	G1501	εικοστου	A-GSN	ABP-potolt
Neh 1:1	G2532	και	CONJ	LXX_WH
Neh 1:1	G1473	εγω	P-NS	LXX_WH
Neh 1:1	G1510	ημην	V-IMI-1S	LXX_WH
Neh 1:1	G1722	εν	PREP	LXX_WH
Neh 1:1		σουσαν	N-PRI	ELTERO_SZOVEGALAP
Neh 1:1		αβιρα	N-PRI	ELTERO_SZOVEGALAP
Neh 1:2	G2532	και	CONJ	LXX_WH
Neh 1:2	G2064	ηλθεν	V-AAI-3S	LXX_WH
Neh 1:2		ανανι	N-PRI	ELTERO_SZOVEGALAP
Neh 1:2	G1519	εις	N-NUI	LXX_WH
Neh 1:2	G0575	απο	PREP	LXX_WH
Neh 1:2	G0080	αδελφων	N-GPM	LXX_WH
Neh 1:2	G1473	μου	P-GS	LXX_WH
Neh 1:2	G0846	αυτος	D-NSM	LXX_WH
Neh 1:2	G2532	και	CONJ	LXX_WH
Neh 1:2	G0435	ανδρες	N-NPM	LXX_WH
Neh 1:2	G2448	ιουδα	N-PRI	LXX_WH
Neh 1:2	G2532	και	CONJ	LXX_WH
Neh 1:2	G2065	ηρωτησα	V-AAI-1S	LXX_WH
Neh 1:2	G0846	αυτους	D-APM	LXX_WH
Neh 1:2	G4012	περι	PREP	LXX_WH
Neh 1:2	G3588	των	T-GPM	LXX_WH
Neh 1:2	G4982	σωθεντων	V-APPGP	LXX_WH
Neh 1:2	G3739	οι	R-NPM	LXX_WH
Neh 1:2	G2641	κατελειφθησαν	V-API-3P	LXX_WH
Neh 1:2	G0575	απο	PREP	LXX_WH
Neh 1:2	G3588	της	T-GSF	LXX_WH
Neh 1:2	G0161	αιχμαλωσιας	N-GSF	LXX_WH
Neh 1:2	G2532	και	CONJ	LXX_WH
Neh 1:2	G4012	περι	PREP	LXX_WH
Neh 1:2	G2419	ιερουσαλημ	N-PRI	LXX_WH
Neh 1:3	G2532	και	CONJ	LXX_WH
Neh 1:3	G2036	ειποσαν	V-AAI-3P	ABP-potolt
Neh 1:3	G4314	προς	PREP	LXX_WH
Neh 1:3	G1473	με	P-AS	LXX_WH
Neh 1:3	G3588	οι	T-NPM	LXX_WH
Neh 1:3	G2641	καταλειπομενοι	V-PPPNP	LXX_WH
Neh 1:3	G3588	οι	T-NPM	LXX_WH
