Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
4Móz 1:1	G2532	και	CONJ	LXX_WH
4Móz 1:1	G2980	ελαλησεν	V-AAI-3S	LXX_WH
4Móz 1:1	G2962	κυριος	N-NSM	LXX_WH
4Móz 1:1	G4314	προς	PREP	LXX_WH
4Móz 1:1		μωυσην	N-ASM	ELTERO_SZOVEGALAP
4Móz 1:1	G1722	εν	PREP	LXX_WH
4Móz 1:1	G3588	τη	T-DSF	LXX_WH
4Móz 1:1	G2048	ερημω	N-DSF	LXX_WH
4Móz 1:1	G3588	τη	T-DSF	LXX_WH
4Móz 1:1	G4614	σινα	N-PRI	LXX_WH
4Móz 1:1	G1722	εν	PREP	LXX_WH
4Móz 1:1	G3588	τη	T-DSF	LXX_WH
4Móz 1:1	G4633	σκηνη	N-DSF	LXX_WH
4Móz 1:1	G3588	του	T-GSN	LXX_WH
4Móz 1:1	G3142	μαρτυριου	N-GSN	LXX_WH
4Móz 1:1	G1722	εν	PREP	LXX_WH
4Móz 1:1	G1519	μια	A-DSF	LXX_WH
4Móz 1:1	G3588	του	T-GSM	LXX_WH
4Móz 1:1	G3303	μηνος	N-GSM	LXX_WH
4Móz 1:1	G3588	του	T-GSN	LXX_WH
4Móz 1:1	G1208	δευτερου	A-GSN	LXX_WH
4Móz 1:1	G2094	ετους	N-GSN	LXX_WH
4Móz 1:1	G1208	δευτερου	A-GSM	LXX_WH
4Móz 1:1	G1831	εξελθοντων	V-AAPGP	LXX_WH
4Móz 1:1	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:1	G1537	εκ	PREP	LXX_WH
4Móz 1:1	G1065	γης	N-GSF	LXX_WH
4Móz 1:1	G0125	αιγυπτου	N-GSF	LXX_WH
4Móz 1:1	G3004	λεγων	V-PAPNS	LXX_WH
4Móz 1:2	G2983	λαβετε	V-AAD-2P	LXX_WH
4Móz 1:2	G0746	αρχην	N-ASF	LXX_WH
4Móz 1:2	G3956	πασης	A-GSF	LXX_WH
4Móz 1:2	G4864	συναγωγης	N-GSF	LXX_WH
4Móz 1:2	G5207	υιων	N-GPM	LXX_WH
4Móz 1:2	G2474	ισραηλ	N-PRI	LXX_WH
4Móz 1:2	G2596	κατα	PREP	LXX_WH
4Móz 1:2	G4772	συγγενειας	N-GSF	LXX_WH
4Móz 1:2	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:2	G2596	κατ	PREP	LXX_WH
4Móz 1:2	G3624	οικους	N-APM	LXX_WH
4Móz 1:2	G3965	πατριων	N-GPF	LXX_WH
4Móz 1:2	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:2	G2596	κατα	PREP	LXX_WH
4Móz 1:2	G0706	αριθμον	N-ASM	LXX_WH
4Móz 1:2	G1537	εξ	PREP	LXX_WH
4Móz 1:2	G3686	ονοματος	N-GSN	LXX_WH
4Móz 1:2	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:2	G2596	κατα	PREP	LXX_WH
4Móz 1:2	G2776	κεφαλην	N-ASF	LXX_WH
4Móz 1:2	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:2	G3956	πας	A-NSM	LXX_WH
4Móz 1:2		αρσην	A-NSN	ELTERO_SZOVEGALAP
4Móz 1:3	G0575	απο	PREP	LXX_WH
4Móz 1:3	G1500	εικοσαετους	A-GSM	ABP-potolt
4Móz 1:3	G2532	και	CONJ	LXX_WH
4Móz 1:3	G1883	επανω	ADV	LXX_WH
4Móz 1:3	G3956	πας	A-NSM	LXX_WH
4Móz 1:3	G3588	ο	T-NSM	LXX_WH
4Móz 1:3	G1607	εκπορευομενος	V-PMPNS	LXX_WH
4Móz 1:3	G1722	εν	PREP	LXX_WH
4Móz 1:3	G1411	δυναμει	N-DSF	LXX_WH
4Móz 1:3	G2474	ισραηλ	N-PRI	LXX_WH
4Móz 1:3		επισκεψασθε	V-AMD-2P	ELTERO_SZOVEGALAP
4Móz 1:3	G0846	αυτους	D-APM	LXX_WH
4Móz 1:3	G4862	συν	PREP	LXX_WH
4Móz 1:3	G1411	δυναμει	N-DSF	LXX_WH
4Móz 1:3	G0846	αυτων	D-GPM	LXX_WH
4Móz 1:3	G4771	συ	P-NS	LXX_WH
