Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Péld 1:1	G3942	παροιμιαι	N-NPF	LXX_WH
Péld 1:1		σαλωμωντος	N-PRI	ELTERO_SZOVEGALAP
Péld 1:1	G5207	υιου	N-GSM	LXX_WH
Péld 1:1		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
Péld 1:1	G3739	ος	R-NSM	LXX_WH
Péld 1:1	G0936	εβασιλευσεν	V-AAI-3S	LXX_WH
Péld 1:1	G1722	εν	PREP	LXX_WH
Péld 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Péld 1:2	G1097	γνωναι	V-AAN	LXX_WH
Péld 1:2	G4678	σοφιαν	N-ASF	LXX_WH
Péld 1:2	G2532	και	CONJ	LXX_WH
Péld 1:2	G3809	παιδειαν	N-ASF	LXX_WH
Péld 1:2	G3539	νοησαι	V-AAN	LXX_WH
Péld 1:2	G5037	τε	CONJ	LXX_WH
Péld 1:2	G3056	λογους	N-APM	LXX_WH
Péld 1:2	G5428	φρονησεως	N-GSF	LXX_WH
Péld 1:3	G1209	δεξασθαι	V-AMN	LXX_WH
Péld 1:3	G5037	τε	CONJ	LXX_WH
Péld 1:3	G4765	στροφας	N-APF	ABP-potolt
Péld 1:3	G3056	λογων	N-GPM	LXX_WH
Péld 1:3	G3539	νοησαι	V-AAN	LXX_WH
Péld 1:3	G5037	τε	CONJ	LXX_WH
Péld 1:3	G1343	δικαιοσυνην	N-ASF	LXX_WH
Péld 1:3	G0227	αληθη	A-ASF	LXX_WH
Péld 1:3	G2532	και	CONJ	LXX_WH
Péld 1:3	G2917	κριμα	N-ASN	LXX_WH
Péld 1:3	G2720	κατευθυνειν	V-PAN	LXX_WH
Péld 1:4	G2443	ινα	CONJ	LXX_WH
Péld 1:4	G1325	δω	V-AAS-3S	LXX_WH
Péld 1:4	G0172	ακακοις	A-DPM	LXX_WH
Péld 1:4	G3834	πανουργιαν	N-ASF	LXX_WH
Péld 1:4	G3816	παιδι	N-DSM	LXX_WH
Péld 1:4	G1161	δε	PRT	LXX_WH
Péld 1:4	G3501	νεω	A-DSM	LXX_WH
Péld 1:4	G0144	αισθησιν	N-ASF	LXX_WH
Péld 1:4	G5037	τε	PRT	LXX_WH
Péld 1:4	G2532	και	CONJ	LXX_WH
Péld 1:4	G1771	εννοιαν	N-ASF	LXX_WH
Péld 1:5	G3592	τωνδε	D-GPF	LXX_WH
Péld 1:5	G1063	γαρ	PRT	LXX_WH
Péld 1:5	G0191	ακουσας	V-AAPNS	LXX_WH
Péld 1:5	G4680	σοφος	A-NSM	LXX_WH
Péld 1:5	G4680	σοφωτερος	A-NSMC	LXX_WH
Péld 1:5	G1510	εσται	V-FMI-3S	LXX_WH
Péld 1:5	G3588	ο	T-NSM	LXX_WH
Péld 1:5	G1161	δε	PRT	LXX_WH
Péld 1:5		νοημων	A-NSM	ELTERO_SZOVEGALAP
Péld 1:5	G2941	κυβερνησιν	N-ASM	LXX_WH
Péld 1:5	G2932	κτησεται	V-FMI-3S	LXX_WH
Péld 1:6	G3539	νοησει	V-FAI-3S	LXX_WH
Péld 1:6	G5037	τε	CONJ	LXX_WH
Péld 1:6	G3850	παραβολην	N-ASF	LXX_WH
Péld 1:6	G2532	και	CONJ	LXX_WH
Péld 1:6	G4652	σκοτεινον	A-ASM	LXX_WH
Péld 1:6	G3056	λογον	N-ASM	LXX_WH
Péld 1:6	G4488	ρησεις	N-APF	ABP-potolt
Péld 1:6	G5037	τε	CONJ	LXX_WH
Péld 1:6	G4680	σοφων	A-GPM	LXX_WH
