Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Préd 1:1	G4487	ρηματα	N-NPN	LXX_WH
Préd 1:1	G1577	εκκλησιαστου	N-GSM	ABP-potolt
Préd 1:1	G5207	υιου	N-GSM	LXX_WH
Préd 1:1		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
Préd 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Préd 1:1	G2474	ισραηλ	N-PRI	LXX_WH
Préd 1:1	G1722	εν	PREP	LXX_WH
Préd 1:1	G2419	ιερουσαλημ	N-PRI	LXX_WH
Préd 1:2	G3153	ματαιοτης	N-NSF	LXX_WH
Préd 1:2	G3153	ματαιοτητων	N-GPF	LXX_WH
Préd 1:2		ειπεν	V-AAI-3S	
Préd 1:2	G3588	ο	T-NSM	LXX_WH
Préd 1:2		εκκλησιαστης	N-NSM	
Préd 1:2	G3153	ματαιοτης	N-NSM	LXX_WH
Préd 1:2	G3153	ματαιοτητων	N-GPF	LXX_WH
Préd 1:2	G3588	τα	T-NPN	LXX_WH
Préd 1:2	G3956	παντα	A-NPN	LXX_WH
Préd 1:2	G3153	ματαιοτης	N-NSF	LXX_WH
Préd 1:3	G5100	τις	I-NSF	LXX_WH
Préd 1:3	G4050	περισσεια	N-NSF	LXX_WH
Préd 1:3	G3588	τω	T-DSM	LXX_WH
Préd 1:3	G0444	ανθρωπω	N-DSM	LXX_WH
Préd 1:3	G1722	εν	PREP	LXX_WH
Préd 1:3	G3956	παντι	A-DSM	LXX_WH
Préd 1:3	G3449	μοχθω	N-DSM	LXX_WH
Préd 1:3	G0846	αυτου	D-GSM	LXX_WH
Préd 1:3	G3739	ω	R-DSM	LXX_WH
Préd 1:3	G3449	μοχθει	V-PAI-3S	ABP-potolt
Préd 1:3	G5259	υπο	PREP	LXX_WH
Préd 1:3	G3588	τον	T-ASM	LXX_WH
Préd 1:3	G2246	ηλιον	N-ASM	LXX_WH
Préd 1:4	G1074	γενεα	N-NSF	LXX_WH
Préd 1:4	G4198	πορευεται	V-PMI-3S	LXX_WH
Préd 1:4	G2532	και	CONJ	LXX_WH
Préd 1:4	G1074	γενεα	N-NSF	LXX_WH
Préd 1:4	G2064	ερχεται	V-PMI-3S	LXX_WH
Préd 1:4	G2532	και	CONJ	LXX_WH
Préd 1:4	G3588	η	T-NSF	LXX_WH
Préd 1:4	G1065	γη	N-NSF	LXX_WH
Préd 1:4	G1519	εις	PREP	LXX_WH
Préd 1:4	G3588	τον	T-ASM	LXX_WH
Préd 1:4	G0165	αιωνα	N-ASM	LXX_WH
Préd 1:4	G2476	εστηκεν	V-RAI-3S	LXX_WH
Préd 1:5	G2532	και	CONJ	LXX_WH
Préd 1:5	G0393	ανατελλει	V-PAI-3S	LXX_WH
Préd 1:5	G3588	ο	T-NSM	LXX_WH
Préd 1:5	G2246	ηλιος	N-NSM	LXX_WH
Préd 1:5	G2532	και	CONJ	LXX_WH
Préd 1:5	G1417	δυνει	V-PAI-3S	LXX_WH
Préd 1:5	G3588	ο	T-NSM	LXX_WH
Préd 1:5	G2246	ηλιος	N-NSM	LXX_WH
Préd 1:5	G2532	και	CONJ	LXX_WH
Préd 1:5	G1519	εις	PREP	LXX_WH
Préd 1:5	G3588	τον	T-ASM	LXX_WH
Préd 1:5	G5117	τοπον	N-ASM	LXX_WH
Préd 1:5	G0846	αυτου	D-GSM	LXX_WH
Préd 1:5		ελκει	V-PAI-3S	ELTERO_SZOVEGALAP
Préd 1:6	G0393	ανατελλων	V-PAPNS	LXX_WH
Préd 1:6	G0846	αυτος	D-NSM	LXX_WH
Préd 1:6	G1563	εκει	ADV	LXX_WH
Préd 1:6	G4198	πορευεται	V-PMI-3S	LXX_WH
Préd 1:6	G4314	προς	PREP	LXX_WH
Préd 1:6	G3558	νοτον	N-ASM	LXX_WH
Préd 1:6	G2532	και	CONJ	LXX_WH
Préd 1:6	G2944	κυκλοι	V-PAI-3S	LXX_WH
Préd 1:6	G4314	προς	PREP	LXX_WH
Préd 1:6	G1005	βορραν	N-ASM	ABP-potolt
Préd 1:6	G2944	κυκλοι	V-PAI-3S	LXX_WH
Préd 1:6	G2944	κυκλων	N-GPM	ABP-potolt
Préd 1:6	G4198	πορευεται	V-PMI-3S	LXX_WH
Préd 1:6	G3588	το	T-NSN	LXX_WH
Préd 1:6	G4151	πνευμα	N-NSN	LXX_WH
Préd 1:6	G2532	και	CONJ	LXX_WH
Préd 1:6	G1909	επι	PREP	LXX_WH
Préd 1:6		κυκλους	N-APM	ELTERO_SZOVEGALAP
Préd 1:6	G0846	αυτου	D-GSM	LXX_WH
Préd 1:6	G1994	επιστρεφει	V-PAI-3S	LXX_WH
Préd 1:6	G3588	το	T-NSN	LXX_WH
Préd 1:6	G4151	πνευμα	N-NSN	LXX_WH
Préd 1:7	G3956	παντες	A-NPM	LXX_WH
Préd 1:7	G3588	οι	T-NPM	LXX_WH
Préd 1:7	G5493	χειμαρροι	N-NPM	ABP-potolt
Préd 1:7	G4198	πορευονται	V-PMI-3P	LXX_WH
Préd 1:7	G1519	εις	PREP	LXX_WH
Préd 1:7	G3588	την	T-ASF	LXX_WH
Préd 1:7	G2281	θαλασσαν	N-ASF	LXX_WH
Préd 1:7	G2532	και	CONJ	LXX_WH
Préd 1:7	G3588	η	T-NSF	LXX_WH
Préd 1:7	G2281	θαλασσα	N-NSF	LXX_WH
Préd 1:7	G3364	ουκ	ADV	LXX_WH
Préd 1:7	G1510	εσται	V-FMI-3S	LXX_WH
Préd 1:7		εμπιμπλαμενη	V-PMPNS	ELTERO_SZOVEGALAP
Préd 1:7	G1519	εις	PREP	LXX_WH
Préd 1:7	G5117	τοπον	N-ASM	LXX_WH
Préd 1:7	G3739	ου	R-GSM	LXX_WH
Préd 1:7	G3588	οι	T-NPM	LXX_WH
Préd 1:7	G5493	χειμαρροι	N-NPM	ABP-potolt
Préd 1:7	G4198	πορευονται	V-PMI-3P	LXX_WH
Préd 1:7	G1563	εκει	ADV	LXX_WH
Préd 1:7	G0846	αυτοι	D-NPM	LXX_WH
Préd 1:7	G1994	επιστρεφουσιν	V-PAI-3P	LXX_WH
Préd 1:7	G3588	του	T-GSN	LXX_WH
Préd 1:7	G4198	πορευθηναι	V-APN	LXX_WH
Préd 1:8	G3956	παντες	A-NPM	LXX_WH
Préd 1:8	G3588	οι	T-NPM	LXX_WH
Préd 1:8	G3056	λογοι	N-NPM	LXX_WH
Préd 1:8		εγκοποι	A-NPM	ELTERO_SZOVEGALAP
Préd 1:8	G3364	ου	ADV	LXX_WH
Préd 1:8	G1410	δυνησεται	V-FMI-3S	LXX_WH
Préd 1:8	G0435	ανηρ	N-NSM	LXX_WH
Préd 1:8	G3588	του	T-GSN	LXX_WH
Préd 1:8	G2980	λαλειν	V-PAN	LXX_WH
Préd 1:8	G2532	και	CONJ	LXX_WH
Préd 1:8	G3364	ουκ	ADV	LXX_WH
Préd 1:8		εμπλησθησεται	V-FPI-3S	ELTERO_SZOVEGALAP
Préd 1:8	G3788	οφθαλμος	N-NSM	LXX_WH
Préd 1:8	G3588	του	T-GSN	LXX_WH
Préd 1:8	G3708	οραν	V-PAN	LXX_WH
Préd 1:8	G2532	και	CONJ	LXX_WH
Préd 1:8	G3364	ου	ADV	LXX_WH
Préd 1:8	G4137	πληρωθησεται	V-FPI-3S	LXX_WH
Préd 1:8	G3775	ους	N-NSN	LXX_WH
Préd 1:8	G0575	απο	PREP	LXX_WH
Préd 1:8	G0200	ακροασεως	N-GSF	ABP-potolt
Préd 1:9	G5100	τι	I-NSN	LXX_WH
Préd 1:9	G3588	το	T-NSN	LXX_WH
Préd 1:9	G1096	γεγονος	V-RAPNS	LXX_WH
Préd 1:9	G0846	αυτο	D-NSN	LXX_WH
Préd 1:9	G3588	το	T-NSN	LXX_WH
Préd 1:9	G1096	γενησομενον	V-FMPNS	LXX_WH
Préd 1:9	G2532	και	CONJ	LXX_WH
Préd 1:9	G5100	τι	I-NSN	LXX_WH
Préd 1:9	G3588	το	T-NSN	LXX_WH
Préd 1:9	G4160	πεποιημενον	V-RPPNS	LXX_WH
Préd 1:9	G0846	αυτο	D-NSN	LXX_WH
Préd 1:9	G3588	το	T-NSN	LXX_WH
Préd 1:9	G4160	ποιηθησομενον	V-FPPNS	LXX_WH
Préd 1:9	G2532	και	CONJ	LXX_WH
Préd 1:9	G3364	ουκ	ADV	LXX_WH
Préd 1:9	G1510	εστιν	V-PAI-3S	LXX_WH
Préd 1:9	G3956	παν	A-NSN	LXX_WH
Préd 1:9	G4372	προσφατον	A-NSN	LXX_WH
Préd 1:9	G5259	υπο	PREP	LXX_WH
Préd 1:9	G3588	τον	T-ASM	LXX_WH
Préd 1:9	G2246	ηλιον	N-ASM	LXX_WH
Préd 1:10	G3739	ος	R-NSM	LXX_WH
Préd 1:10	G2980	λαλησει	V-FAI-3S	LXX_WH
Préd 1:10	G2532	και	CONJ	LXX_WH
Préd 1:10		ερει	V-FAI-3S	ELTERO_SZOVEGALAP
Préd 1:10	G3708	ιδε	V-AAD-2S	LXX_WH
Préd 1:10	G3778	τουτο	D-NSN	LXX_WH
Préd 1:10	G2537	καινον	A-NSN	LXX_WH
Préd 1:10	G1510	εστιν	V-PAI-3S	LXX_WH
Préd 1:10	G2235	ηδη	ADV	LXX_WH
Préd 1:10	G1096	γεγονεν	V-RAI-3S	LXX_WH
Préd 1:10	G1722	εν	PREP	LXX_WH
Préd 1:10	G3588	τοις	T-DPM	LXX_WH
Préd 1:10	G0165	αιωσιν	N-DPM	LXX_WH
Préd 1:10	G3588	τοις	T-DPM	LXX_WH
Préd 1:10	G1096	γενομενοις	V-AMPDP	LXX_WH
Préd 1:10	G0575	απο	PREP	LXX_WH
Préd 1:10	G1715	εμπροσθεν	PREP	LXX_WH
Préd 1:10	G1473	ημων	P-GP	LXX_WH
Préd 1:11	G3364	ουκ	ADV	LXX_WH
Préd 1:11	G1510	εστιν	V-PAI-3S	LXX_WH
Préd 1:11	G3420	μνημη	N-NSF	LXX_WH
Préd 1:11	G3588	τοις	T-DPM	LXX_WH
Préd 1:11	G4413	πρωτοις	A-DPMS	LXX_WH
Préd 1:11	G2532	και	CONJ	LXX_WH
Préd 1:11	G1065	γε	PRT	LXX_WH
Préd 1:11	G3588	τοις	T-DPM	LXX_WH
Préd 1:11	G2078	εσχατοις	A-DPM	LXX_WH
Préd 1:11	G1096	γενομενοις	V-AMPDP	LXX_WH
Préd 1:11	G3364	ουκ	ADV	LXX_WH
Préd 1:11	G1510	εσται	V-FMI-3S	LXX_WH
Préd 1:11	G0846	αυτοις	D-DPM	LXX_WH
Préd 1:11	G3420	μνημη	N-NSF	LXX_WH
Préd 1:11	G3326	μετα	PREP	LXX_WH
Préd 1:11	G3588	των	T-GPN	LXX_WH
Préd 1:11	G1096	γενησομενων	V-FMPGP	LXX_WH
Préd 1:11	G1519	εις	PREP	LXX_WH
Préd 1:11	G3588	την	T-ASF	LXX_WH
Préd 1:11	G2078	εσχατην	A-ASF	LXX_WH
Préd 1:12	G1473	εγω	P-NS	LXX_WH
Préd 1:12	G1577	εκκλησιαστης	N-NSM	ABP-potolt
Préd 1:12	G1096	εγενομην	V-AMI-1S	LXX_WH
Préd 1:12	G0935	βασιλευς	N-NSM	LXX_WH
Préd 1:12	G1909	επι	PREP	LXX_WH
Préd 1:12	G2474	ισραηλ	N-PRI	LXX_WH
Préd 1:12	G1722	εν	PREP	LXX_WH
Préd 1:12	G2419	ιερουσαλημ	N-PRI	LXX_WH
Préd 1:13	G2532	και	CONJ	LXX_WH
Préd 1:13	G1325	εδωκα	V-AAI-1S	LXX_WH
Préd 1:13	G3588	την	T-ASF	LXX_WH
Préd 1:13	G2588	καρδιαν	N-ASF	LXX_WH
Préd 1:13	G1473	μου	P-GS	LXX_WH
Préd 1:13	G3588	του	T-GSN	LXX_WH
Préd 1:13	G1567	εκζητησαι	V-AAN	LXX_WH
Préd 1:13	G2532	και	CONJ	LXX_WH
Préd 1:13	G3588	του	T-GSN	LXX_WH
Préd 1:13		κατασκεψασθαι	V-AMN	
Préd 1:13	G1722	εν	PREP	LXX_WH
Préd 1:13	G3588	τη	T-DSF	LXX_WH
Préd 1:13	G4678	σοφια	N-DSF	LXX_WH
Préd 1:13	G4012	περι	PREP	LXX_WH
Préd 1:13	G3956	παντων	A-GPM	LXX_WH
Préd 1:13	G3588	των	T-GPM	LXX_WH
Préd 1:13	G1096	γινομενων	V-PMPGP	LXX_WH
Préd 1:13	G5259	υπο	PREP	LXX_WH
Préd 1:13	G3588	τον	T-ASM	LXX_WH
Préd 1:13	G3772	ουρανον	N-ASM	LXX_WH
Préd 1:13	G3754	οτι	CONJ	LXX_WH
Préd 1:13	G4048	περισπασμον	N-ASM	ABP-potolt
Préd 1:13	G4190	πονηρον	A-ASM	LXX_WH
Préd 1:13	G1325	εδωκεν	V-AAI-3S	LXX_WH
Préd 1:13	G3588	ο	T-NSM	LXX_WH
Préd 1:13	G2316	θεος	N-NSM	LXX_WH
Préd 1:13	G3588	τοις	T-DPM	LXX_WH
Préd 1:13	G5207	υιοις	N-DPM	LXX_WH
Préd 1:13	G3588	του	T-GSM	LXX_WH
Préd 1:13	G0444	ανθρωπου	N-GSM	LXX_WH
Préd 1:13	G3588	του	T-GSN	LXX_WH
Préd 1:13	G4049	περισπασθαι	V-PMN	LXX_WH
Préd 1:13	G1722	εν	PREP	LXX_WH
Préd 1:13	G0846	αυτω	D-DSM	LXX_WH
Préd 1:14	G3708	ειδον	V-AAI-1S	LXX_WH
Préd 1:14	G4862	συν	PREP	LXX_WH
Préd 1:14	G3956	παντα	A-APN	LXX_WH
Préd 1:14	G3588	τα	T-APN	LXX_WH
Préd 1:14	G4161	ποιηματα	N-APN	LXX_WH
Préd 1:14	G3588	τα	T-APN	LXX_WH
Préd 1:14	G4160	πεποιημενα	V-RMPAP	LXX_WH
Préd 1:14	G5259	υπο	PREP	LXX_WH
Préd 1:14	G3588	τον	T-ASM	LXX_WH
Préd 1:14	G2246	ηλιον	N-ASM	LXX_WH
Préd 1:14	G2532	και	CONJ	LXX_WH
Préd 1:14	G2400	ιδου	INJ	LXX_WH
Préd 1:14	G3588	τα	T-NPN	LXX_WH
Préd 1:14	G3956	παντα	A-NPN	LXX_WH
Préd 1:14	G3153	ματαιοτης	N-NSF	LXX_WH
Préd 1:14	G2532	και	CONJ	LXX_WH
Préd 1:14	G4254	προαιρεσις	N-NSF	ABP-potolt
Préd 1:14	G4151	πνευματος	N-GSN	LXX_WH
Préd 1:15	G1294	διεστραμμενον	V-RMPAS	LXX_WH
Préd 1:15	G3364	ου	ADV	LXX_WH
Préd 1:15	G1410	δυνησεται	V-FMI-3S	LXX_WH
Préd 1:15	G3588	του	T-GSN	LXX_WH
Préd 1:15	G1945	επικοσμηθηναι	V-APN	ABP-potolt
Préd 1:15	G2532	και	CONJ	LXX_WH
Préd 1:15	G5303	υστερημα	N-NSN	LXX_WH
Préd 1:15	G3364	ου	ADV	LXX_WH
Préd 1:15	G1410	δυνησεται	V-FMI-3S	LXX_WH
Préd 1:15	G3588	του	T-GSN	LXX_WH
Préd 1:15	G0705	αριθμηθηναι	V-APN	LXX_WH
Préd 1:16	G2980	ελαλησα	V-AAI-1S	LXX_WH
Préd 1:16	G1473	εγω	P-NS	LXX_WH
Préd 1:16	G1722	εν	PREP	LXX_WH
Préd 1:16	G2588	καρδια	N-DSF	LXX_WH
Préd 1:16	G1473	μου	P-GS	LXX_WH
Préd 1:16	G3588	τω	T-DSM	LXX_WH
Préd 1:16	G3004	λεγειν	V-PAN	LXX_WH
Préd 1:16	G1473	εγω	P-NS	LXX_WH
Préd 1:16	G2400	ιδου	INJ	LXX_WH
Préd 1:16	G3170	εμεγαλυνθην	V-API-1S	LXX_WH
Préd 1:16	G2532	και	CONJ	LXX_WH
Préd 1:16	G4369	προσεθηκα	V-AAI-1S	LXX_WH
Préd 1:16	G4678	σοφιαν	N-ASF	LXX_WH
Préd 1:16	G1909	επι	PREP	LXX_WH
Préd 1:16	G3956	πασιν	A-DPM	LXX_WH
Préd 1:16	G3739	οι	R-NPM	LXX_WH
Préd 1:16	G1096	εγενοντο	V-AMI-3P	LXX_WH
Préd 1:16	G1715	εμπροσθεν	PREP	LXX_WH
Préd 1:16	G1473	μου	P-GS	LXX_WH
Préd 1:16	G1722	εν	PREP	LXX_WH
Préd 1:16	G2419	ιερουσαλημ	N-PRI	LXX_WH
Préd 1:16	G2532	και	CONJ	LXX_WH
Préd 1:16	G2588	καρδια	N-NSF	LXX_WH
Préd 1:16	G1473	μου	P-GS	LXX_WH
Préd 1:16	G3708	ειδεν	V-AAI-3S	LXX_WH
Préd 1:16	G4183	πολλα	A-APN	LXX_WH
Préd 1:16	G4678	σοφιαν	N-ASF	LXX_WH
Préd 1:16	G2532	και	CONJ	LXX_WH
Préd 1:16	G1108	γνωσιν	N-ASF	LXX_WH
Préd 1:17	G2532	και	CONJ	LXX_WH
Préd 1:17	G1325	εδωκα	V-AAI-1S	LXX_WH
Préd 1:17	G2588	καρδιαν	N-ASF	LXX_WH
Préd 1:17	G1473	μου	P-GS	LXX_WH
Préd 1:17	G3588	του	T-GSN	LXX_WH
Préd 1:17	G1097	γνωναι	V-AAN	LXX_WH
Préd 1:17	G4678	σοφιαν	N-ASF	LXX_WH
Préd 1:17	G2532	και	CONJ	LXX_WH
Préd 1:17	G1108	γνωσιν	N-ASF	LXX_WH
Préd 1:17	G3850	παραβολας	N-APF	LXX_WH
Préd 1:17	G2532	και	CONJ	LXX_WH
Préd 1:17	G1989	επιστημην	N-ASF	ABP-potolt
Préd 1:17	G1097	εγνων	V-AAI-1S	LXX_WH
Préd 1:17	G3754	οτι	CONJ	LXX_WH
Préd 1:17	G2532	και	ADV	LXX_WH
Préd 1:17	G1065	γε	PRT	LXX_WH
Préd 1:17	G3778	τουτ	D-NSN	LXX_WH
Préd 1:17	G1510	εστιν	V-PAI-3S	LXX_WH
Préd 1:17	G4254	προαιρεσις	N-NSF	ABP-potolt
Préd 1:17	G4151	πνευματος	N-GSN	LXX_WH
Préd 1:18	G3754	οτι	CONJ	LXX_WH
Préd 1:18	G1722	εν	PREP	LXX_WH
Préd 1:18	G4128	πληθει	N-DSN	LXX_WH
Préd 1:18	G4678	σοφιας	N-GSF	LXX_WH
Préd 1:18	G4128	πληθος	N-ASN	LXX_WH
Préd 1:18	G1108	γνωσεως	N-GSF	LXX_WH
Préd 1:18	G2532	και	CONJ	LXX_WH
Préd 1:18	G3588	ο	T-NSM	LXX_WH
Préd 1:18	G4369	προστιθεις	V-PAPNS	LXX_WH
Préd 1:18	G1108	γνωσιν	N-ASF	LXX_WH
Préd 1:18	G4369	προσθησει	V-FAI-3S	LXX_WH
Préd 1:18	G0217	αλγημα	N-ASN	ABP-potolt
Préd 2:1		ειπον	V-AAI-3P	ELTERO_SZOVEGALAP
Préd 2:1	G1473	εγω	P-NS	LXX_WH
Préd 2:1	G1722	εν	PREP	LXX_WH
Préd 2:1	G2588	καρδια	N-DSF	LXX_WH
Préd 2:1	G1473	μου	P-GS	LXX_WH
Préd 2:1	G1204	δευρο	ADV	LXX_WH
Préd 2:1	G1161	δη	PRT	LXX_WH
Préd 2:1	G3985	πειρασω	V-FAI-1S	LXX_WH
Préd 2:1	G4771	σε	P-AS	LXX_WH
Préd 2:1	G1722	εν	PREP	LXX_WH
Préd 2:1	G2167	ευφροσυνη	N-DSF	LXX_WH
Préd 2:1	G2532	και	CONJ	LXX_WH
Préd 2:1	G3708	ιδε	V-AAD-2S	LXX_WH
Préd 2:1	G1722	εν	PREP	LXX_WH
Préd 2:1	G0018	αγαθω	A-DSM	LXX_WH
Préd 2:1	G2532	και	CONJ	LXX_WH
Préd 2:1	G2400	ιδου	INJ	LXX_WH
Préd 2:1	G2532	και	CONJ	LXX_WH
Préd 2:1	G1065	γε	PRT	LXX_WH
Préd 2:1	G3778	τουτο	D-ASN	LXX_WH
Préd 2:1	G3153	ματαιοτης	N-NSF	LXX_WH
Préd 2:2	G3588	τω	T-DSM	LXX_WH
Préd 2:2	G1071	γελωτι	N-DSM	LXX_WH
Préd 2:2		ειπα	V-AAI-1S	ELTERO_SZOVEGALAP
Préd 2:2		περιφοραν	N-ASF	ELTERO_SZOVEGALAP
Préd 2:2	G2532	και	CONJ	LXX_WH
Préd 2:2	G3588	τη	T-DSF	LXX_WH
Préd 2:2	G2167	ευφροσυνη	N-DSF	LXX_WH
Préd 2:2	G5100	τι	I-ASN	LXX_WH
Préd 2:2	G3778	τουτο	D-ASN	LXX_WH
Préd 2:2	G4160	ποιεις	V-PAI-2S	LXX_WH
Préd 2:3		κατεσκεψαμην	V-AMI-1S	ELTERO_SZOVEGALAP
Préd 2:3	G1722	εν	PREP	LXX_WH
Préd 2:3	G2588	καρδια	N-DSF	LXX_WH
Préd 2:3	G1473	μου	P-GS	LXX_WH
Préd 2:3	G3588	του	T-GSN	LXX_WH
Préd 2:3		ελκυσαι	V-AAN	ELTERO_SZOVEGALAP
Préd 2:3	G1519	εις	PREP	LXX_WH
Préd 2:3	G3631	οινον	N-ASM	LXX_WH
Préd 2:3	G3588	την	T-ASF	LXX_WH
Préd 2:3	G4561	σαρκα	N-ASF	LXX_WH
Préd 2:3	G1473	μου	P-GS	LXX_WH
Préd 2:3	G2532	και	CONJ	LXX_WH
Préd 2:3	G2588	καρδια	N-NSF	LXX_WH
Préd 2:3	G1473	μου	P-GS	LXX_WH
Préd 2:3	G3594	ωδηγησεν	V-AAI-3S	LXX_WH
Préd 2:3	G1722	εν	PREP	LXX_WH
Préd 2:3	G4678	σοφια	N-DSF	LXX_WH
Préd 2:3	G2532	και	CONJ	LXX_WH
Préd 2:3	G3588	του	T-GSN	LXX_WH
Préd 2:3	G2902	κρατησαι	V-AAN	LXX_WH
Préd 2:3	G1909	επ	PREP	LXX_WH
Préd 2:3	G0877	αφροσυνη	N-DSF	LXX_WH
Préd 2:3	G2193	εως	ADV	LXX_WH
Préd 2:3	G3739	ου	R-GSM	LXX_WH
Préd 2:3	G3708	ιδω	V-AAS-1S	LXX_WH
Préd 2:3	G4169	ποιον	A-ASN	LXX_WH
Préd 2:3	G3588	το	T-ASN	LXX_WH
Préd 2:3	G0018	αγαθον	A-ASN	LXX_WH
Préd 2:3	G3588	τοις	T-DPM	LXX_WH
Préd 2:3	G5207	υιοις	N-DPM	LXX_WH
Préd 2:3	G3588	του	T-GSM	LXX_WH
Préd 2:3	G0444	ανθρωπου	N-GSM	LXX_WH
Préd 2:3	G3739	ο	R-NSM	LXX_WH
Préd 2:3	G4160	ποιησουσιν	V-FAI-3P	LXX_WH
Préd 2:3	G5259	υπο	PREP	LXX_WH
Préd 2:3	G3588	τον	T-ASM	LXX_WH
Préd 2:3	G2246	ηλιον	N-ASM	LXX_WH
Préd 2:3	G0706	αριθμον	N-ASM	LXX_WH
Préd 2:3	G2250	ημερων	N-GPF	LXX_WH
Préd 2:3	G2222	ζωης	N-GSF	LXX_WH
Préd 2:3	G0846	αυτων	D-GPM	LXX_WH
Préd 2:4	G3170	εμεγαλυνα	V-AAI-1S	LXX_WH
Préd 2:4	G4161	ποιημα	N-ASN	LXX_WH
Préd 2:4	G1473	μου	P-GS	LXX_WH
Préd 2:4	G3618	ωκοδομησα	V-AAI-1S	LXX_WH
Préd 2:4	G1473	μοι	P-DS	LXX_WH
Préd 2:4	G3624	οικους	N-APM	LXX_WH
Préd 2:4	G5452	εφυτευσα	V-AAI-1S	LXX_WH
Préd 2:4	G1473	μοι	P-DS	LXX_WH
Préd 2:4	G0290	αμπελωνας	N-APM	LXX_WH
Préd 2:5	G4160	εποιησα	V-AAI-1S	LXX_WH
Préd 2:5	G1473	μοι	P-DS	LXX_WH
Préd 2:5	G2779	κηπους	N-APM	LXX_WH
Préd 2:5	G2532	και	CONJ	LXX_WH
Préd 2:5	G3857	παραδεισους	N-APM	LXX_WH
Préd 2:5	G2532	και	CONJ	LXX_WH
Préd 2:5	G5452	εφυτευσα	V-AAI-1S	LXX_WH
Préd 2:5	G1722	εν	PREP	LXX_WH
Préd 2:5	G0846	αυτοις	D-DPM	LXX_WH
Préd 2:5	G3586	ξυλον	N-ASN	LXX_WH
Préd 2:5	G3956	παν	A-ASN	LXX_WH
Préd 2:5	G2590	καρπου	N-GSM	LXX_WH
Préd 2:6	G4160	εποιησα	V-AAI-1S	LXX_WH
Préd 2:6	G1473	μοι	P-DS	LXX_WH
Préd 2:6	G2861	κολυμβηθρας	N-APF	LXX_WH
Préd 2:6	G5204	υδατων	N-GPN	LXX_WH
Préd 2:6	G3588	του	T-GSN	LXX_WH
Préd 2:6	G4222	ποτισαι	V-AAN	LXX_WH
Préd 2:6	G0575	απ	PREP	LXX_WH
Préd 2:6	G0846	αυτων	D-GPM	LXX_WH
Préd 2:6		δρυμον	N-ASM	ELTERO_SZOVEGALAP
Préd 2:6		βλαστωντα	V-PAPAS	ELTERO_SZOVEGALAP
Préd 2:6	G3586	ξυλα	N-APN	LXX_WH
Préd 2:7	G2932	εκτησαμην	V-AMI-1S	LXX_WH
Préd 2:7	G1401	δουλους	N-APM	LXX_WH
Préd 2:7	G2532	και	CONJ	LXX_WH
Préd 2:7	G3814	παιδισκας	N-APF	LXX_WH
Préd 2:7	G2532	και	CONJ	LXX_WH
Préd 2:7	G3615	οικογενεις	A-NPM	ABP-potolt
Préd 2:7	G1096	εγενοντο	V-AMI-3P	LXX_WH
Préd 2:7	G1473	μοι	P-DS	LXX_WH
Préd 2:7	G2532	και	CONJ	LXX_WH
Préd 2:7	G1065	γε	PRT	LXX_WH
Préd 2:7		κτησις	N-NSF	ELTERO_SZOVEGALAP
Préd 2:7		βουκολιου	N-GSN	ELTERO_SZOVEGALAP
Préd 2:7	G2532	και	CONJ	LXX_WH
Préd 2:7	G4168	ποιμνιου	N-GSN	LXX_WH
Préd 2:7	G4183	πολλη	A-NSF	LXX_WH
Préd 2:7	G1096	εγενετο	V-AMI-3S	LXX_WH
Préd 2:7	G1473	μοι	P-DS	LXX_WH
Préd 2:7	G5228	υπερ	PREP	LXX_WH
Préd 2:7	G3956	παντας	A-APM	LXX_WH
Préd 2:7	G3588	τους	T-APM	LXX_WH
Préd 2:7	G1096	γενομενους	V-AMPAP	LXX_WH
Préd 2:7	G1715	εμπροσθεν	PREP	LXX_WH
Préd 2:7	G1473	μου	P-GS	LXX_WH
Préd 2:7	G1722	εν	PREP	LXX_WH
Préd 2:7	G2419	ιερουσαλημ	ADV	LXX_WH
Préd 2:8	G4863	συνηγαγον	V-AAI-1S	LXX_WH
Préd 2:8	G1473	μοι	P-DS	LXX_WH
Préd 2:8	G2532	και	CONJ	LXX_WH
Préd 2:8	G1065	γε	PRT	LXX_WH
Préd 2:8	G0694	αργυριον	N-ASN	LXX_WH
