Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Ruth 1:1	G2532	και	CONJ	LXX_WH
Ruth 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Ruth 1:1	G1722	εν	PREP	LXX_WH
Ruth 1:1	G3588	τω	T-DSN	LXX_WH
Ruth 1:1	G2919	κρινειν	V-PAN	LXX_WH
Ruth 1:1	G3588	τους	T-APM	LXX_WH
Ruth 1:1	G2923	κριτας	N-APM	LXX_WH
Ruth 1:1	G2532	και	CONJ	LXX_WH
Ruth 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Ruth 1:1	G3042	λιμος	N-NSM	LXX_WH
Ruth 1:1	G1722	εν	PREP	LXX_WH
Ruth 1:1	G3588	τη	T-DSF	LXX_WH
Ruth 1:1	G1065	γη	N-DSF	LXX_WH
Ruth 1:1	G2532	και	CONJ	LXX_WH
Ruth 1:1	G4198	επορευθη	V-API-3S	LXX_WH
Ruth 1:1	G0435	ανηρ	N-NSM	LXX_WH
Ruth 1:1	G0575	απο	PREP	LXX_WH
Ruth 1:1	G3588	βαιθλεεμ	N-PRI	ABP-potolt
Ruth 1:1	G3588	της	T-GSF	LXX_WH
Ruth 1:1	G2448	ιουδα	N-PRI	LXX_WH
Ruth 1:1	G3588	του	T-GSN	LXX_WH
Ruth 1:1		παροικησαι	V-AAN	
Ruth 1:1	G1722	εν	PREP	LXX_WH
Ruth 1:1	G0068	αγρω	N-DSM	LXX_WH
Ruth 1:1		μωαβ	N-PRI	ELTERO_SZOVEGALAP
Ruth 1:1	G0846	αυτος	D-NSM	LXX_WH
Ruth 1:1	G2532	και	CONJ	LXX_WH
Ruth 1:1	G3588	η	T-NSF	LXX_WH
Ruth 1:1	G1135	γυνη	N-NSF	LXX_WH
Ruth 1:1	G0846	αυτου	D-GSM	LXX_WH
Ruth 1:1	G2532	και	CONJ	LXX_WH
Ruth 1:1	G3588	οι	T-NPM	LXX_WH
Ruth 1:1	G5207	υιοι	N-NPM	LXX_WH
Ruth 1:1	G0846	αυτου	D-GSM	LXX_WH
Ruth 1:2	G2532	και	CONJ	LXX_WH
Ruth 1:2	G3686	ονομα	N-NSN	LXX_WH
Ruth 1:2	G3588	τω	T-DSM	LXX_WH
Ruth 1:2	G0435	ανδρι	N-DSM	LXX_WH
Ruth 1:2		αβιμελεχ	N-PRI	ELTERO_SZOVEGALAP
Ruth 1:2	G2532	και	CONJ	LXX_WH
Ruth 1:2	G3686	ονομα	N-NSN	LXX_WH
Ruth 1:2	G3588	τη	T-DSF	LXX_WH
Ruth 1:2	G1135	γυναικι	N-DSF	LXX_WH
Ruth 1:2	G0846	αυτου	D-GSM	LXX_WH
