Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
2Sám 1:1	G2532	και	CONJ	LXX_WH
2Sám 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
2Sám 1:1	G3326	μετα	PREP	LXX_WH
2Sám 1:1	G3588	το	T-ASN	LXX_WH
2Sám 1:1	G0599	αποθανειν	V-AAN	LXX_WH
2Sám 1:1	G4549	σαουλ	N-PRI	LXX_WH
2Sám 1:1	G2532	και	CONJ	LXX_WH
2Sám 1:1		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
2Sám 1:1	G0390	ανεστρεψεν	V-AAI-3S	LXX_WH
2Sám 1:1	G5180	τυπτων	V-PAPNS	LXX_WH
2Sám 1:1	G3588	τον	T-ASM	LXX_WH
2Sám 1:1	G0599	αμαληκ	N-PRI	ABP-potolt
2Sám 1:1	G2532	και	CONJ	LXX_WH
2Sám 1:1	G2523	εκαθισεν	V-AAI-3S	LXX_WH
2Sám 1:1	G2523	δαυιδ	N-PRI	ABP-potolt
2Sám 1:1	G1722	εν	PREP	LXX_WH
2Sám 1:1		σεκελακ	N-PRI	ELTERO_SZOVEGALAP
2Sám 1:1	G2250	ημερας	N-APF	LXX_WH
2Sám 1:1	G1417	δυο	N-NUI	LXX_WH
2Sám 1:2	G2532	και	CONJ	LXX_WH
2Sám 1:2	G1096	εγενηθη	V-API-3S	LXX_WH
2Sám 1:2	G3588	τη	T-DSF	LXX_WH
2Sám 1:2	G2250	ημερα	N-DSF	LXX_WH
2Sám 1:2	G3588	τη	T-DSF	LXX_WH
2Sám 1:2	G5154	τριτη	A-DSF	LXX_WH
2Sám 1:2	G2532	και	CONJ	LXX_WH
2Sám 1:2	G2400	ιδου	INJ	LXX_WH
2Sám 1:2	G0435	ανηρ	N-NSM	LXX_WH
2Sám 1:2	G2064	ηλθεν	V-AAI-3S	LXX_WH
2Sám 1:2	G1537	εκ	PREP	LXX_WH
2Sám 1:2	G3588	της	T-GSF	LXX_WH
2Sám 1:2		παρεμβολης	N-GSF	ELTERO_SZOVEGALAP
2Sám 1:2	G1537	εκ	PREP	LXX_WH
2Sám 1:2	G3588	του	T-GSM	LXX_WH
2Sám 1:2	G2992	λαου	N-GSM	LXX_WH
2Sám 1:2	G4549	σαουλ	N-PRI	LXX_WH
2Sám 1:2	G2532	και	CONJ	LXX_WH
2Sám 1:2	G3588	τα	T-NPN	LXX_WH
2Sám 1:2	G2440	ιματια	N-NPN	LXX_WH
2Sám 1:2	G0846	αυτου	D-GSM	LXX_WH
2Sám 1:2		διερρωγοτα	V-RAPNP	ELTERO_SZOVEGALAP
2Sám 1:2	G2532	και	CONJ	LXX_WH
2Sám 1:2	G1065	γη	N-NSF	LXX_WH
2Sám 1:2	G1909	επι	PREP	LXX_WH
2Sám 1:2	G3588	της	T-GSF	LXX_WH
2Sám 1:2	G2776	κεφαλης	N-GSF	LXX_WH
2Sám 1:2	G0846	αυτου	D-GSM	LXX_WH
2Sám 1:2	G2532	και	CONJ	LXX_WH
2Sám 1:2	G1096	εγενετο	V-AMI-3S	LXX_WH
2Sám 1:2	G1722	εν	PREP	LXX_WH
2Sám 1:2	G3588	τω	T-DSN	LXX_WH
2Sám 1:2	G1525	εισελθειν	V-AAN	LXX_WH
2Sám 1:2	G0846	αυτον	D-ASM	LXX_WH
2Sám 1:2	G4314	προς	PREP	LXX_WH
2Sám 1:2		δαυιδ	N-PRI	ELTERO_SZOVEGALAP
2Sám 1:2	G2532	και	CONJ	LXX_WH
