Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Sir 1:2	G2799	κλαιουσα	V-PAPNS	LXX_WH
Sir 1:2	G2799	εκλαυσεν	V-AAI-3S	LXX_WH
Sir 1:2	G1722	εν	PREP	LXX_WH
Sir 1:2	G3571	νυκτι	N-DSF	LXX_WH
Sir 1:2	G2532	και	CONJ	LXX_WH
Sir 1:2	G3588	τα	T-APN	LXX_WH
Sir 1:2	G1144	δακρυα	N-APN	LXX_WH
Sir 1:2	G0846	αυτης	D-GSF	LXX_WH
Sir 1:2	G1909	επι	PREP	LXX_WH
Sir 1:2	G3588	των	T-GPF	LXX_WH
Sir 1:2	G4600	σιαγονων	N-GPF	LXX_WH
Sir 1:2	G0846	αυτης	D-GSF	LXX_WH
Sir 1:2	G2532	και	CONJ	LXX_WH
Sir 1:2	G3364	ουχ	ADV	LXX_WH
Sir 1:2	G5225	υπαρχει	V-PAI-3S	LXX_WH
Sir 1:2	G3588	ο	T-NSM	LXX_WH
Sir 1:2	G3870	παρακαλων	V-PAPNS	LXX_WH
Sir 1:2	G0846	αυτην	D-ASF	LXX_WH
Sir 1:2	G0575	απο	PREP	LXX_WH
Sir 1:2	G3956	παντων	A-GPM	LXX_WH
Sir 1:2	G3588	των	T-GPM	LXX_WH
Sir 1:2	G0025	αγαπωντων	V-PAPGP	LXX_WH
Sir 1:2	G0846	αυτην	D-ASF	LXX_WH
Sir 1:2	G3956	παντες	A-NPM	LXX_WH
Sir 1:2	G3588	οι	T-NPM	LXX_WH
Sir 1:2	G5368	φιλουντες	V-PAPNP	LXX_WH
Sir 1:2	G0846	αυτην	D-ASF	LXX_WH
Sir 1:2	G0114	ηθετησαν	V-AAI-3P	LXX_WH
Sir 1:2	G1722	εν	PREP	LXX_WH
Sir 1:2	G0846	αυτη	D-DSF	LXX_WH
Sir 1:2	G1096	εγενοντο	V-AMI-3P	LXX_WH
Sir 1:2	G0846	αυτη	D-DSF	LXX_WH
Sir 1:2	G1519	εις	PREP	LXX_WH
Sir 1:2	G2190	εχθρους	A-APM	LXX_WH
Sir 1:3	G3351	μετωκισθη	V-API-3S	LXX_WH
Sir 1:3	G3588	η	T-NSF	LXX_WH
Sir 1:3	G2449	ιουδαια	N-NSF	LXX_WH
Sir 1:3	G0575	απο	PREP	LXX_WH
Sir 1:3	G5014	ταπεινωσεως	N-GSF	LXX_WH
Sir 1:3	G0846	αυτης	D-GSF	LXX_WH
Sir 1:3	G2532	και	CONJ	LXX_WH
Sir 1:3	G0575	απο	PREP	LXX_WH
Sir 1:3	G4128	πληθους	N-GSN	LXX_WH
Sir 1:3	G1397	δουλειας	N-GSF	LXX_WH
Sir 1:3	G0846	αυτης	D-GSF	LXX_WH
Sir 1:3	G2523	εκαθισεν	V-AAI-3S	LXX_WH
Sir 1:3	G1722	εν	PREP	LXX_WH
Sir 1:3	G1484	εθνεσιν	N-DPN	LXX_WH
Sir 1:3	G3364	ουχ	ADV	LXX_WH
Sir 1:3	G2147	ευρεν	V-AAI-3S	LXX_WH
Sir 1:3	G0372	αναπαυσιν	N-ASF	LXX_WH
Sir 1:3	G3956	παντες	A-NPM	LXX_WH
Sir 1:3	G3588	οι	T-NPM	LXX_WH
Sir 1:3	G2614	καταδιωκοντες	V-PAPNP	LXX_WH
Sir 1:3	G0846	αυτην	D-ASF	LXX_WH
Sir 1:3	G2638	κατελαβον	V-AAI-3P	LXX_WH
Sir 1:3	G0846	αυτην	D-ASF	LXX_WH
Sir 1:3	G0303	ανα	PREP	LXX_WH
Sir 1:3	G3319	μεσον	A-ASM	LXX_WH
Sir 1:3	G3588	των	T-GPM	LXX_WH
Sir 1:3	G2346	θλιβοντων	V-PAPGP	LXX_WH
Sir 1:4	G3598	οδοι	N-NPF	LXX_WH
Sir 1:4	G4622	σιων	N-PRI	LXX_WH
Sir 1:4	G3996	πενθουσιν	V-PAI-3P	LXX_WH
Sir 1:4	G3844	παρα	PREP	LXX_WH
Sir 1:4	G3588	το	T-ASN	LXX_WH
Sir 1:4	G3165	μη	ADV	LXX_WH
Sir 1:4	G1510	ειναι	V-PAN	LXX_WH
Sir 1:4	G2064	ερχομενους	V-PMPAP	LXX_WH
Sir 1:4	G1722	εν	PREP	LXX_WH
Sir 1:4	G1859	εορτη	N-DSF	LXX_WH
Sir 1:4	G3956	πασαι	A-NPF	LXX_WH
Sir 1:4	G3588	αι	T-NPF	LXX_WH
Sir 1:4	G4439	πυλαι	N-NPF	LXX_WH
Sir 1:4	G0846	αυτης	D-GSF	LXX_WH
Sir 1:4		ηφανισμεναι	V-AMPNP	ELTERO_SZOVEGALAP
Sir 1:4	G3588	οι	T-NPM	LXX_WH
Sir 1:4	G2409	ιερεις	N-NPM	LXX_WH
Sir 1:4	G0846	αυτης	D-GSF	LXX_WH
Sir 1:4	G0389	αναστεναζουσιν	V-PAI-3P	LXX_WH
Sir 1:4	G3588	αι	T-NPF	LXX_WH
Sir 1:4	G3933	παρθενοι	N-NPF	LXX_WH
Sir 1:4	G0846	αυτης	D-GSF	LXX_WH
Sir 1:4	G0071	αγομεναι	V-PMPNP	LXX_WH
Sir 1:4	G2532	και	CONJ	LXX_WH
Sir 1:4	G0846	αυτη	D-NSF	LXX_WH
Sir 1:4	G4087	πικραινομενη	V-PMPNS	LXX_WH
Sir 1:4	G1722	εν	PREP	LXX_WH
Sir 1:4	G1438	εαυτη	D-DSF	LXX_WH
Sir 1:5	G1096	εγενοντο	V-AMI-3P	LXX_WH
Sir 1:5	G3588	οι	T-NPM	LXX_WH
Sir 1:5	G2346	θλιβοντες	V-PAPNP	LXX_WH
Sir 1:5	G0846	αυτην	D-ASF	LXX_WH
Sir 1:5	G1519	εις	PREP	LXX_WH
Sir 1:5	G2776	κεφαλην	N-ASF	LXX_WH
Sir 1:5	G2532	και	CONJ	LXX_WH
Sir 1:5	G3588	οι	T-NPM	LXX_WH
Sir 1:5	G2190	εχθροι	A-NPM	LXX_WH
Sir 1:5	G0846	αυτης	D-GSF	LXX_WH
Sir 1:5		ευθηνουσαν	V-PAPAS	ELTERO_SZOVEGALAP
Sir 1:5	G3754	οτι	CONJ	LXX_WH
Sir 1:5	G2962	κυριος	N-NSM	LXX_WH
Sir 1:5	G5013	εταπεινωσεν	V-AAI-3S	LXX_WH
Sir 1:5	G0846	αυτην	D-ASF	LXX_WH
Sir 1:5	G1909	επι	PREP	LXX_WH
Sir 1:5	G3588	το	T-ASN	LXX_WH
Sir 1:5	G4128	πληθος	N-ASN	LXX_WH
Sir 1:5	G3588	των	T-GPF	LXX_WH
Sir 1:5	G0763	ασεβειων	N-GPF	LXX_WH
Sir 1:5	G0846	αυτης	D-GSF	LXX_WH
Sir 1:5	G3588	τα	T-APN	LXX_WH
Sir 1:5	G3516	νηπια	A-APN	LXX_WH
Sir 1:5	G0846	αυτης	D-GSF	LXX_WH
Sir 1:5	G4198	επορευθησαν	V-API-3P	LXX_WH
Sir 1:5	G1722	εν	PREP	LXX_WH
Sir 1:5	G0161	αιχμαλωσια	N-DSF	LXX_WH
Sir 1:5	G2596	κατα	PREP	LXX_WH
Sir 1:5	G4383	προσωπον	N-ASN	LXX_WH
Sir 1:5	G2346	θλιβοντος	V-PAPGS	LXX_WH
Sir 1:6	G2532	και	CONJ	LXX_WH
Sir 1:6	G1831	εξηλθεν	V-AAI-3S	LXX_WH
Sir 1:6	G1537	εκ	PREP	LXX_WH
Sir 1:6	G2364	θυγατρος	N-GSF	LXX_WH
Sir 1:6	G4622	σιων	N-PRI	LXX_WH
Sir 1:6	G3956	πασα	A-NSF	LXX_WH
Sir 1:6	G3588	η	T-NSF	LXX_WH
Sir 1:6	G2143	ευπρεπεια	N-NSF	LXX_WH
Sir 1:6	G0846	αυτης	D-GSF	LXX_WH
Sir 1:6	G1096	εγενοντο	V-AMI-3P	LXX_WH
Sir 1:6	G3588	οι	T-NPM	LXX_WH
Sir 1:6	G0758	αρχοντες	N-NPM	LXX_WH
Sir 1:6	G0846	αυτης	D-GSF	LXX_WH
Sir 1:6	G3739	ως	CONJ	LXX_WH
Sir 1:6		κριοι	N-NPM	ELTERO_SZOVEGALAP
Sir 1:6	G3364	ουχ	ADV	LXX_WH
Sir 1:6	G2147	ευρισκοντες	V-PAPNP	LXX_WH
Sir 1:6	G3542	νομην	N-ASF	LXX_WH
Sir 1:6	G2532	και	CONJ	LXX_WH
Sir 1:6	G4198	επορευοντο	V-IMI-3P	LXX_WH
Sir 1:6	G1722	εν	PREP	LXX_WH
Sir 1:6	G3364	ουκ	ADV	LXX_WH
Sir 1:6	G2479	ισχυι	N-DSF	LXX_WH
Sir 1:6	G2596	κατα	PREP	LXX_WH
Sir 1:6	G4383	προσωπον	N-ASN	LXX_WH
Sir 1:6	G1377	διωκοντος	V-PAPGS	LXX_WH
Sir 1:7	G3403	εμνησθη	V-API-3S	LXX_WH
Sir 1:7	G2419	ιερουσαλημ	N-PRI	LXX_WH
Sir 1:7	G2250	ημερων	N-GPF	LXX_WH
Sir 1:7	G5014	ταπεινωσεως	N-GSF	LXX_WH
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:7	G2532	και	CONJ	LXX_WH
Sir 1:7		απωσμων	N-GPM	ELTERO_SZOVEGALAP
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:7	G3956	παντα	A-APN	LXX_WH
Sir 1:7	G3588	τα	T-APN	LXX_WH
Sir 1:7		επιθυμηματα	N-APN	ELTERO_SZOVEGALAP
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:7	G3745	οσα	A-APN	LXX_WH
Sir 1:7	G1510	ην	V-IAI-3S	LXX_WH
Sir 1:7	G1537	εξ	PREP	LXX_WH
Sir 1:7	G2250	ημερων	N-GPF	LXX_WH
Sir 1:7	G0744	αρχαιων	A-GPF	LXX_WH
Sir 1:7	G1722	εν	PREP	LXX_WH
Sir 1:7	G3588	τω	T-DSN	LXX_WH
Sir 1:7	G4098	πεσειν	V-AAN	LXX_WH
Sir 1:7	G3588	τον	T-ASM	LXX_WH
Sir 1:7	G2992	λαον	N-ASM	LXX_WH
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:7	G1519	εις	PREP	LXX_WH
Sir 1:7	G5495	χειρας	N-APF	LXX_WH
Sir 1:7	G2346	θλιβοντος	V-PAPGS	LXX_WH
Sir 1:7	G2532	και	CONJ	LXX_WH
Sir 1:7	G3364	ουκ	ADV	LXX_WH
Sir 1:7	G1510	ην	V-IAI-3S	LXX_WH
Sir 1:7	G3588	ο	T-NSM	LXX_WH
Sir 1:7	G0998	βοηθων	N-GPM	LXX_WH
Sir 1:7	G0846	αυτη	D-DSF	LXX_WH
Sir 1:7	G3708	ιδοντες	V-AAPNP	LXX_WH
Sir 1:7	G3588	οι	T-NPM	LXX_WH
Sir 1:7	G2190	εχθροι	A-NPM	LXX_WH
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:7	G1070	εγελασαν	V-AAI-3P	LXX_WH
Sir 1:7	G1909	επι	PREP	LXX_WH
Sir 1:7	G3350	μετοικεσια	N-DSF	LXX_WH
Sir 1:7	G0846	αυτης	D-GSF	LXX_WH
Sir 1:8	G0266	αμαρτιαν	N-ASF	LXX_WH
Sir 1:8	G0264	ημαρτεν	V-AAI-3S	LXX_WH
Sir 1:8	G2419	ιερουσαλημ	N-PRI	LXX_WH
Sir 1:8	G1223	δια	PREP	LXX_WH
Sir 1:8	G3778	τουτο	D-ASN	LXX_WH
Sir 1:8	G1519	εις	PREP	LXX_WH
Sir 1:8	G4535	σαλον	N-ASM	LXX_WH
Sir 1:8	G1096	εγενετο	V-AMI-3S	LXX_WH
Sir 1:8	G3956	παντες	A-NPM	LXX_WH
Sir 1:8	G3588	οι	T-NPM	LXX_WH
Sir 1:8	G1392	δοξαζοντες	V-PAPNP	LXX_WH
Sir 1:8	G0846	αυτην	D-ASF	LXX_WH
Sir 1:8	G5013	εταπεινωσαν	V-AAI-3P	LXX_WH
Sir 1:8	G0846	αυτην	D-ASF	LXX_WH
Sir 1:8	G3708	ειδον	V-AAI-3P	LXX_WH
Sir 1:8	G1063	γαρ	PRT	LXX_WH
Sir 1:8	G3588	την	T-ASF	LXX_WH
Sir 1:8	G0808	ασχημοσυνην	N-ASF	LXX_WH
Sir 1:8	G0846	αυτης	D-GSF	LXX_WH
Sir 1:8	G2532	και	CONJ	LXX_WH
Sir 1:8	G1065	γε	PRT	LXX_WH
Sir 1:8	G0846	αυτη	D-NSF	LXX_WH
Sir 1:8	G4727	στεναζουσα	V-PAPNS	LXX_WH
Sir 1:8	G2532	και	CONJ	LXX_WH
Sir 1:8	G0654	απεστραφη	V-API-3S	LXX_WH
Sir 1:8	G3694	οπισω	ADV	LXX_WH
Sir 1:9	G0167	ακαθαρσια	N-NSF	LXX_WH
Sir 1:9	G0846	αυτης	D-GSF	LXX_WH
Sir 1:9	G4314	προς	PREP	LXX_WH
Sir 1:9	G4228	ποδων	N-GPM	LXX_WH
Sir 1:9	G0846	αυτης	D-GSF	LXX_WH
Sir 1:9	G3364	ουκ	ADV	LXX_WH
Sir 1:9	G3403	εμνησθη	V-API-3S	LXX_WH
Sir 1:9	G2078	εσχατα	A-APN	LXX_WH
Sir 1:9	G0846	αυτης	D-GSF	LXX_WH
Sir 1:9	G2532	και	CONJ	LXX_WH
Sir 1:9	G2601	κατεβιβασεν	V-AAI-3S	LXX_WH
Sir 1:9	G5246	υπερογκα	A-APN	LXX_WH
Sir 1:9	G3364	ουκ	ADV	LXX_WH
Sir 1:9	G1510	εστιν	V-PAI-3S	LXX_WH
Sir 1:9	G3588	ο	T-NSM	LXX_WH
Sir 1:9	G3870	παρακαλων	V-PAPNS	LXX_WH
Sir 1:9	G0846	αυτην	D-ASF	LXX_WH
Sir 1:9	G3708	ιδε	V-AAD-2S	LXX_WH
Sir 1:9	G2962	κυριε	N-VSM	LXX_WH
Sir 1:9	G3588	την	T-ASF	LXX_WH
Sir 1:9	G5014	ταπεινωσιν	N-ASF	LXX_WH
Sir 1:9	G1473	μου	P-GS	LXX_WH
