Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Sof 1:1	G3056	λογος	N-NSM	LXX_WH
Sof 1:1	G2962	κυριου	N-GSM	LXX_WH
Sof 1:1	G3739	ος	R-NSM	LXX_WH
Sof 1:1	G1096	εγενηθη	V-API-3S	LXX_WH
Sof 1:1	G4314	προς	PREP	LXX_WH
Sof 1:1	G3588	σοφονιαν	N-ASM	ABP-potolt
Sof 1:1	G3588	τον	T-ASM	LXX_WH
Sof 1:1	G3588	του	T-GSM	LXX_WH
Sof 1:1	G3588	χουσι	N-PRI	ABP-potolt
Sof 1:1	G5207	υιον	N-ASM	LXX_WH
Sof 1:1	G3588	γοδολιου	N-GSM	ABP-potolt
Sof 1:1	G3588	του	T-GSM	LXX_WH
Sof 1:1	G5207	αμαριου	N-GSM	ABP-potolt
Sof 1:1	G3588	του	T-GSM	LXX_WH
Sof 1:1	G1478	εζεκιου	N-GSM	LXX_WH
Sof 1:1	G1722	εν	PREP	LXX_WH
Sof 1:1	G2250	ημεραις	N-DPF	LXX_WH
Sof 1:1	G2502	ιωσιου	N-GSM	LXX_WH
Sof 1:1	G5207	υιου	N-GSM	LXX_WH
Sof 1:1	G0300	αμων	N-PRI	LXX_WH
Sof 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Sof 1:1	G2448	ιουδα	N-PRI	LXX_WH
Sof 1:2	G1587	εκλειψει	N-DSF	ABP-potolt
Sof 1:2	G1587	εκλιπετω	V-AAD-3S	LXX_WH
Sof 1:2	G3956	παντα	A-ASM	LXX_WH
Sof 1:2	G0575	απο	PREP	LXX_WH
Sof 1:2	G4383	προσωπου	N-GSN	LXX_WH
Sof 1:2	G3588	της	T-GSF	LXX_WH
Sof 1:2	G1065	γης	N-GSF	LXX_WH
Sof 1:2	G3004	λεγει	V-PAI-3S	LXX_WH
Sof 1:2	G2962	κυριος	N-NSM	LXX_WH
Sof 1:3	G1587	εκλιπετω	V-AAD-3S	LXX_WH
Sof 1:3	G0444	ανθρωπος	N-NSM	LXX_WH
Sof 1:3	G2532	και	CONJ	LXX_WH
Sof 1:3	G2934	κτηνη	N-NPN	LXX_WH
Sof 1:3	G1587	εκλιπετω	V-AAD-3S	LXX_WH
Sof 1:3	G3588	τα	T-NPN	LXX_WH
Sof 1:3	G4071	πετεινα	N-NPN	LXX_WH
Sof 1:3	G3588	του	T-GSM	LXX_WH
Sof 1:3	G3772	ουρανου	N-GSM	LXX_WH
Sof 1:3	G2532	και	CONJ	LXX_WH
Sof 1:3	G3588	οι	T-NPM	LXX_WH
Sof 1:3	G2486	ιχθυες	N-NPM	LXX_WH
Sof 1:3	G3588	της	T-GSF	LXX_WH
Sof 1:3	G2281	θαλασσης	N-GSF	LXX_WH
Sof 1:3	G2532	και	CONJ	LXX_WH
Sof 1:3	G1808	εξαρω	V-FAI-1S	LXX_WH
Sof 1:3	G3588	τους	T-APM	LXX_WH
Sof 1:3	G0444	ανθρωπους	N-APM	LXX_WH
Sof 1:3	G0575	απο	PREP	LXX_WH
Sof 1:3	G4383	προσωπου	N-GSN	LXX_WH
Sof 1:3	G3588	της	T-GSF	LXX_WH
Sof 1:3	G1065	γης	N-GSF	LXX_WH
Sof 1:3	G3004	λεγει	V-PAI-3S	LXX_WH
Sof 1:3	G2962	κυριος	N-NSM	LXX_WH
Sof 1:4	G2532	και	CONJ	LXX_WH
Sof 1:4	G1614	εκτενω	V-FAI-1S	LXX_WH
Sof 1:4	G3588	την	T-ASF	LXX_WH
Sof 1:4	G5495	χειρα	N-ASF	LXX_WH
Sof 1:4	G1473	μου	P-GS	LXX_WH
Sof 1:4	G1909	επι	PREP	LXX_WH
Sof 1:4	G2455	ιουδαν	N-ASM	LXX_WH
Sof 1:4	G2532	και	CONJ	LXX_WH
Sof 1:4	G1909	επι	PREP	LXX_WH
Sof 1:4	G3956	παντας	A-APM	LXX_WH
Sof 1:4	G3588	τους	T-APM	LXX_WH
Sof 1:4		κατοικουντας	V-PAPAP	ELTERO_SZOVEGALAP
Sof 1:4	G2419	ιερουσαλημ	N-PRI	LXX_WH
Sof 1:4	G2532	και	CONJ	LXX_WH
Sof 1:4	G1808	εξαρω	V-FAI-1S	LXX_WH
Sof 1:4	G1537	εκ	PREP	LXX_WH
Sof 1:4	G3588	του	T-GSM	LXX_WH
Sof 1:4	G5117	τοπου	N-GSM	LXX_WH
Sof 1:4	G3778	τουτου	D-GSM	LXX_WH
Sof 1:4	G3588	τα	T-APN	LXX_WH
Sof 1:4	G3686	ονοματα	N-APN	LXX_WH
Sof 1:4	G3588	της	T-GSF	LXX_WH
Sof 1:4	G0896	βααλ	N-PRI	LXX_WH
Sof 1:4	G2532	και	CONJ	LXX_WH
Sof 1:4	G3588	τα	T-APN	LXX_WH
Sof 1:4	G3686	ονοματα	N-APN	LXX_WH
Sof 1:4	G3588	των	T-GPM	LXX_WH
Sof 1:4	G2409	ιερεων	N-GPM	LXX_WH
Sof 1:5	G2532	και	CONJ	LXX_WH
Sof 1:5	G3588	τους	T-APM	LXX_WH
Sof 1:5	G4352	προσκυνουντας	V-PAPAP	LXX_WH
Sof 1:5	G1909	επι	PREP	LXX_WH
Sof 1:5	G3588	τα	T-APN	LXX_WH
Sof 1:5	G1390	δωματα	N-APN	LXX_WH
Sof 1:5	G3588	τη	T-DSF	LXX_WH
Sof 1:5	G4756	στρατια	N-DSF	LXX_WH
Sof 1:5	G3588	του	T-GSM	LXX_WH
Sof 1:5	G3772	ουρανου	N-GSM	LXX_WH
Sof 1:5	G2532	και	CONJ	LXX_WH
Sof 1:5	G3588	τους	T-APM	LXX_WH
Sof 1:5	G3660	ομνυοντας	V-PAPAP	ABP-potolt
Sof 1:5	G2596	κατα	PREP	LXX_WH
Sof 1:5	G3588	του	T-GSM	LXX_WH
Sof 1:5	G2962	κυριου	N-GSM	LXX_WH
Sof 1:5	G2532	και	CONJ	LXX_WH
Sof 1:5	G3588	τους	T-APM	LXX_WH
Sof 1:5	G3660	ομνυοντας	V-PAPAP	ABP-potolt
Sof 1:5	G2596	κατα	PREP	LXX_WH
Sof 1:5	G3588	του	T-GSM	LXX_WH
Sof 1:5	G0935	βασιλεως	N-GSM	LXX_WH
Sof 1:5	G0846	αυτων	D-GPM	LXX_WH
Sof 1:6	G2532	και	CONJ	LXX_WH
Sof 1:6	G3588	τους	T-APM	LXX_WH
Sof 1:6	G1578	εκκλινοντας	V-PAPAP	LXX_WH
Sof 1:6	G0575	απο	PREP	LXX_WH
Sof 1:6	G3588	του	T-GSM	LXX_WH
Sof 1:6	G2962	κυριου	N-GSM	LXX_WH
Sof 1:6	G2532	και	CONJ	LXX_WH
Sof 1:6	G3588	τους	T-APM	LXX_WH
Sof 1:6	G3165	μη	ADV	LXX_WH
Sof 1:6	G2212	ζητησαντας	V-AAPAP	LXX_WH
Sof 1:6	G3588	τον	T-ASM	LXX_WH
Sof 1:6	G2962	κυριον	N-ASM	LXX_WH
Sof 1:6	G2532	και	CONJ	LXX_WH
Sof 1:6	G3588	τους	T-APM	LXX_WH
Sof 1:6	G3165	μη	ADV	LXX_WH
Sof 1:6		αντεχομενους	V-PMPAP	ELTERO_SZOVEGALAP
Sof 1:6	G3588	του	T-GSM	LXX_WH
Sof 1:6	G2962	κυριου	N-GSM	LXX_WH
Sof 1:7	G2125	ευλαβεισθε	V-PMD-2P	LXX_WH
Sof 1:7	G0575	απο	PREP	LXX_WH
Sof 1:7	G4383	προσωπου	N-GSN	LXX_WH
Sof 1:7	G2962	κυριου	N-GSM	LXX_WH
Sof 1:7	G3588	του	T-GSM	LXX_WH
Sof 1:7	G2316	θεου	N-GSM	LXX_WH
Sof 1:7	G1360	διοτι	CONJ	LXX_WH
Sof 1:7	G1451	εγγυς	ADV	LXX_WH
Sof 1:7	G3588	η	T-NSF	LXX_WH
Sof 1:7	G2250	ημερα	N-NSF	LXX_WH
Sof 1:7	G3588	του	T-GSM	LXX_WH
Sof 1:7	G2962	κυριου	N-GSM	LXX_WH
Sof 1:7	G3754	οτι	CONJ	LXX_WH
Sof 1:7	G2090	ητοιμακεν	V-RAI-3S	LXX_WH
Sof 1:7	G2962	κυριος	N-NSM	LXX_WH
