Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Zak 1:1	G1722	εν	PREP	LXX_WH
Zak 1:1	G3588	τω	T-DSM	LXX_WH
Zak 1:1	G3590	ογδοω	A-DSM	LXX_WH
Zak 1:1	G3303	μηνι	N-DSM	LXX_WH
Zak 1:1	G2094	ετους	N-GSN	LXX_WH
Zak 1:1	G1208	δευτερου	A-GSN	LXX_WH
Zak 1:1	G1909	επι	PREP	LXX_WH
Zak 1:1		δαρειου	N-GSM	ELTERO_SZOVEGALAP
Zak 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Zak 1:1	G3056	λογος	N-NSM	LXX_WH
Zak 1:1	G2962	κυριου	N-GSM	LXX_WH
Zak 1:1	G4314	προς	PREP	LXX_WH
Zak 1:1	G2197	ζαχαριαν	N-ASM	LXX_WH
Zak 1:1	G3588	τον	T-ASM	LXX_WH
Zak 1:1	G3588	του	T-GSM	LXX_WH
Zak 1:1	G0914	βαραχιου	N-GSM	LXX_WH
Zak 1:1	G5207	υιον	N-ASM	LXX_WH
Zak 1:1		αδδω	N-PRI	ELTERO_SZOVEGALAP
Zak 1:1	G3588	τον	T-ASM	LXX_WH
Zak 1:1	G4396	προφητην	N-ASM	LXX_WH
Zak 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Zak 1:2	G3710	ωργισθη	V-API-3S	LXX_WH
Zak 1:2	G2962	κυριος	N-NSM	LXX_WH
Zak 1:2	G1909	επι	PREP	LXX_WH
Zak 1:2	G3588	τους	T-APM	LXX_WH
Zak 1:2	G3962	πατερας	N-APM	LXX_WH
Zak 1:2	G4771	υμων	P-GP	LXX_WH
Zak 1:2	G3709	οργην	N-ASF	LXX_WH
Zak 1:2	G3173	μεγαλην	A-ASF	LXX_WH
Zak 1:3	G2532	και	CONJ	LXX_WH
Zak 1:3		ερεις	V-FAI-2S	
Zak 1:3	G4314	προς	PREP	LXX_WH
Zak 1:3	G0846	αυτους	D-APM	LXX_WH
Zak 1:3	G3592	ταδε	D-APN	LXX_WH
Zak 1:3	G3004	λεγει	V-PAI-3S	LXX_WH
Zak 1:3	G2962	κυριος	N-NSM	LXX_WH
Zak 1:3	G3841	παντοκρατωρ	N-NSM	LXX_WH
Zak 1:3	G1994	επιστρεψατε	V-AAD-2P	LXX_WH
Zak 1:3	G4314	προς	PREP	LXX_WH
Zak 1:3	G1473	με	P-AS	LXX_WH
Zak 1:3	G2532	και	CONJ	LXX_WH
Zak 1:3	G1994	επιστραφησομαι	V-FPI-1S	LXX_WH
Zak 1:3	G4314	προς	PREP	LXX_WH
Zak 1:3	G4771	υμας	P-AP	LXX_WH
Zak 1:3	G3004	λεγει	V-PAI-3S	LXX_WH
Zak 1:3	G2962	κυριος	N-NSM	LXX_WH
Zak 1:4	G2532	και	CONJ	LXX_WH
Zak 1:4	G3165	μη	ADV	LXX_WH
Zak 1:4	G1096	γινεσθε	V-PMD-2P	LXX_WH
Zak 1:4	G2531	καθως	ADV	LXX_WH
Zak 1:4	G3588	οι	T-NPM	LXX_WH
Zak 1:4	G3962	πατερες	N-NPM	LXX_WH
Zak 1:4	G4771	υμων	P-GP	LXX_WH
Zak 1:4	G3739	οις	R-DPM	LXX_WH
Zak 1:4	G1458	ενεκαλεσαν	V-AAI-3P	LXX_WH
Zak 1:4	G0846	αυτοις	D-DPM	LXX_WH
Zak 1:4	G3588	οι	T-NPM	LXX_WH
Zak 1:4	G4396	προφηται	N-NPM	LXX_WH
Zak 1:4	G3588	οι	T-NPM	LXX_WH
