Igehely	Strong-szám	Görög szóalak	Morfológiai kód
Zsolt 16:10	G3754	οτι	CONJ
Zsolt 16:10	G3364	ουκ	ADV
Zsolt 16:10	G1459	εγκαταλειψεις	V-FAI-2S
Zsolt 16:10	G3588	την	T-ASF
Zsolt 16:10	G5590	ψυχην	N-ASF
Zsolt 16:10	G1473	μου	P-GS
Zsolt 16:10	G1519	εις	PREP
Zsolt 16:10	G0086	αδην	N-ASM
Zsolt 16:10	G3761	ουδε	CONJ
Zsolt 16:10	G1325	δωσεις	V-FAI-2S
Zsolt 16:10	G3588	τον	T-ASM
Zsolt 16:10	G3741	οσιον	A-ASM
Zsolt 16:10	G4771	σου	P-GS
Zsolt 16:10	G3708	ιδειν	V-AAN
Zsolt 16:10	G1312	διαφθοραν	N-ASF
Zsolt 110:4	G2962	κυριος	N-NSM
Zsolt 110:4	G2532	και	CONJ
Zsolt 110:4	G3364	ου	ADV
Zsolt 110:4	G4771	συ	P-NS
Zsolt 110:4	G1510	ει	V-PAI-2S
Zsolt 110:4	G2409	ιερευς	N-NSM
Zsolt 110:4	G1519	εις	PREP
Zsolt 110:4	G3588	τον	T-ASM
Zsolt 110:4	G0165	αιωνα	N-ASM
Zsolt 110:4	G2596	κατα	PREP
Zsolt 110:4	G3588	την	T-ASF
Zsolt 110:4	G5010	ταξιν	N-ASF
Jóel 2:32	G2532	και	CONJ
Jóel 2:32	G1510	εσται	V-FMI-3S
Jóel 2:32	G3956	πας	A-NSM
Jóel 2:32	G3739	ος	R-NSM
Jóel 2:32	G0302	αν	PRT
Jóel 2:32	G3588	το	T-ASN
Jóel 2:32	G3686	ονομα	N-ASN
Jóel 2:32	G2962	κυριου	N-GSM
Jóel 2:32	G4982	σωθησεται	V-FPI-3S
Jóel 2:32	G3754	οτι	CONJ
Jóel 2:32	G1722	εν	PREP
Jóel 2:32	G3588	τω	T-DSN
Jóel 2:32	G3735	ορει	N-DSN
Jóel 2:32	G4622	σιων	N-PRI
Jóel 2:32	G2532	και	CONJ
Jóel 2:32	G1722	εν	PREP
Jóel 2:32	G2419	ιερουσαλημ	N-PRI
Jóel 2:32	G1510	εσται	V-FMI-3S
Jóel 2:32	G2530	καθοτι	ADV
Jóel 2:32	G2962	κυριος	N-NSM
Jóel 2:32	G2532	και	CONJ
Jóel 2:32	G2097	ευαγγελιζομενοι	V-PMPNP
Jóel 2:32	G3739	ους	R-APM
Jóel 2:32	G2962	κυριος	N-NSM
