Igehely	Strong-szám	Görög szóalak	Morfológiai kód
Zsolt 1:1	G3107	μακαριος	A-NSM
Zsolt 1:1	G0435	ανηρ	N-NSM
Zsolt 1:1	G3739	ος	R-NSM
Zsolt 1:1	G3364	ουκ	ADV
Zsolt 1:1	G4198	επορευθη	V-API-3S
Zsolt 1:1	G1722	εν	PREP
Zsolt 1:1	G1012	βουλη	N-DSF
Zsolt 1:1	G0765	ασεβων	A-GPM
Zsolt 1:1	G2532	και	CONJ
Zsolt 1:1	G1722	εν	PREP
Zsolt 1:1	G3598	οδω	N-DSF
Zsolt 1:1	G0268	αμαρτωλων	A-GPM
Zsolt 1:1	G3364	ουκ	ADV
Zsolt 1:1	G2476	εστη	V-AAI-3S
Zsolt 1:1	G2532	και	CONJ
Zsolt 1:1	G1909	επι	PREP
Zsolt 1:1	G2515	καθεδραν	N-ASF
Zsolt 1:1	G3061	λοιμων	N-GPM
Zsolt 1:1	G3364	ουκ	ADV
Zsolt 1:1	G2523	εκαθισεν	V-AAI-3S
Zsolt 1:2	G0235	αλλ	CONJ
Zsolt 1:2	G2228	η	CONJ
Zsolt 1:2	G1722	εν	PREP
Zsolt 1:2	G3588	τω	T-DSM
Zsolt 1:2	G3551	νομω	N-DSM
Zsolt 1:2	G2962	κυριου	N-GSM
Zsolt 1:2	G3588	το	T-NSN
Zsolt 1:2	G2307	θελημα	N-NSN
Zsolt 1:2	G0846	αυτου	D-GSM
Zsolt 1:2	G2532	και	CONJ
Zsolt 1:2	G1722	εν	PREP
Zsolt 1:2	G3588	τω	T-DSM
Zsolt 1:2	G3551	νομω	N-DSM
Zsolt 1:2	G0846	αυτου	D-GSM
Zsolt 1:2	G3191	μελετησει	V-FAI-3S
Zsolt 1:2	G2250	ημερας	N-GSF
Zsolt 1:2	G2532	και	CONJ
Zsolt 1:2	G3571	νυκτος	N-GSF
Zsolt 1:3	G2532	και	CONJ
Zsolt 1:3	G1510	εσται	V-FMI-3S
Zsolt 1:3	G3739	ως	CONJ
Zsolt 1:3	G3588	το	T-NSN
Zsolt 1:3	G3586	ξυλον	N-NSN
Zsolt 1:3	G3588	το	T-NSN
Zsolt 1:3	G5452	πεφυτευμενον	V-RPPNS
Zsolt 1:3	G3844	παρα	PREP
Zsolt 1:3	G3588	τας	T-APF
Zsolt 1:3	G3588	των	T-GPN
Zsolt 1:3	G5204	υδατων	N-GPN
Zsolt 1:3	G3739	ο	R-NSN
Zsolt 1:3	G3588	τον	T-ASM
Zsolt 1:3	G2590	καρπον	N-ASM
Zsolt 1:3	G0846	αυτου	D-GSN
Zsolt 1:3	G1325	δωσει	V-FAI-3S
Zsolt 1:3	G1722	εν	PREP
Zsolt 1:3	G2540	καιρω	N-DSM
Zsolt 1:3	G0846	αυτου	D-GSN
Zsolt 1:3	G2532	και	CONJ
Zsolt 1:3	G3588	το	T-NSN
Zsolt 1:3	G5444	φυλλον	N-NSN
Zsolt 1:3	G0846	αυτου	D-GSN
Zsolt 1:3	G3364	ουκ	ADV
Zsolt 1:3	G0639	απορρυησεται	V-FMI-3S
