Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Zsolt 1:1	G3107	μακαριος	A-NSM	LXX_WH
Zsolt 1:1	G0435	ανηρ	N-NSM	LXX_WH
Zsolt 1:1	G3739	ος	R-NSM	LXX_WH
Zsolt 1:1	G3364	ουκ	ADV	LXX_WH
Zsolt 1:1	G4198	επορευθη	V-API-3S	LXX_WH
Zsolt 1:1	G1722	εν	PREP	LXX_WH
Zsolt 1:1	G1012	βουλη	N-DSF	LXX_WH
Zsolt 1:1	G0765	ασεβων	A-GPM	LXX_WH
Zsolt 1:1	G2532	και	CONJ	LXX_WH
Zsolt 1:1	G1722	εν	PREP	LXX_WH
Zsolt 1:1	G3598	οδω	N-DSF	LXX_WH
Zsolt 1:1	G0268	αμαρτωλων	A-GPM	LXX_WH
Zsolt 1:1	G3364	ουκ	ADV	LXX_WH
Zsolt 1:1	G2476	εστη	V-AAI-3S	LXX_WH
Zsolt 1:1	G2532	και	CONJ	LXX_WH
Zsolt 1:1	G1909	επι	PREP	LXX_WH
Zsolt 1:1	G2515	καθεδραν	N-ASF	LXX_WH
Zsolt 1:1	G3061	λοιμων	N-GPM	LXX_WH
Zsolt 1:1	G3364	ουκ	ADV	LXX_WH
Zsolt 1:1	G2523	εκαθισεν	V-AAI-3S	LXX_WH
Zsolt 1:2	G0235	αλλ	CONJ	LXX_WH
Zsolt 1:2	G2228	η	CONJ	LXX_WH
Zsolt 1:2	G1722	εν	PREP	LXX_WH
Zsolt 1:2	G3588	τω	T-DSM	LXX_WH
Zsolt 1:2	G3551	νομω	N-DSM	LXX_WH
Zsolt 1:2	G2962	κυριου	N-GSM	LXX_WH
Zsolt 1:2	G3588	το	T-NSN	LXX_WH
Zsolt 1:2	G2307	θελημα	N-NSN	LXX_WH
Zsolt 1:2	G0846	αυτου	D-GSM	LXX_WH
Zsolt 1:2	G2532	και	CONJ	LXX_WH
Zsolt 1:2	G1722	εν	PREP	LXX_WH
Zsolt 1:2	G3588	τω	T-DSM	LXX_WH
Zsolt 1:2	G3551	νομω	N-DSM	LXX_WH
Zsolt 1:2	G0846	αυτου	D-GSM	LXX_WH
Zsolt 1:2	G3191	μελετησει	V-FAI-3S	LXX_WH
Zsolt 1:2	G2250	ημερας	N-GSF	LXX_WH
Zsolt 1:2	G2532	και	CONJ	LXX_WH
Zsolt 1:2	G3571	νυκτος	N-GSF	LXX_WH
Zsolt 1:3	G2532	και	CONJ	LXX_WH
Zsolt 1:3	G1510	εσται	V-FMI-3S	LXX_WH
Zsolt 1:3	G3739	ως	CONJ	LXX_WH
Zsolt 1:3	G3588	το	T-NSN	LXX_WH
Zsolt 1:3	G3586	ξυλον	N-NSN	LXX_WH
Zsolt 1:3	G3588	το	T-NSN	LXX_WH
Zsolt 1:3	G5452	πεφυτευμενον	V-RPPNS	LXX_WH
