Szakasz	Tipus	English_KJV_ref	Heber_vers	Latin_vers	Gorog_LXX_vers	Karoli_igehely_probalt	Karoli_allapot	Statusz
Exo.28:22-28:43	LongVerse/LVElsewhere	Exo.28:22	Exo.28:22	Exo.28:22	Exo.28:22.0	2Móz 28:22	VAN_TELJES	KUTATASI_JELOLT
Exo.28:22-28:43	LongVerseElsewhere	Exo.28:23-28	Exo.28:23-28	Exo.28:23-28	Exo.28:22.1-6	2Móz 28:23-28	RESZLEGES_VAGY_NEM_ELLENORIZHETO	KUTATASI_JELOLT
Exo.36:8-36:38	LongVerseElsewhereJoin	Exo.36:8	Exo.36:8	Exo.36:8	Exo.37:1, 2.1	2Móz 36:8	VAN_TELJES	KUTATASI_JELOLT
Exo.36:8-36:38	LongVerseElsewhereJoin	Exo.36:9	Exo.36:9	Exo.36:9	Exo.37:2.0, 2.2	2Móz 36:9	VAN_TELJES	KUTATASI_JELOLT
Exo.36:8-36:38	LongVerseElsewhere	Exo.36:10-12	Exo.36:10-12	Exo.36:10-12	Exo.37:2.3-5	2Móz 36:10-12	RESZLEGES_VAGY_NEM_ELLENORIZHETO	KUTATASI_JELOLT
Exo.36:8-36:38	LongVerseElsewhere	Exo.36:13	Exo.36:13	Exo.36:13	Exo.37:2.6	2Móz 36:13	VAN_TELJES	KUTATASI_JELOLT
Exo.36:8-36:38	LongVerseElsewhere	Exo.36:14-34	Exo.36:14-34	Exo.36:14-34	Exo.37:2.7-27	2Móz 36:14-34	RESZLEGES_VAGY_NEM_ELLENORIZHETO	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhere	Exo.37:10	Exo.37:10	Exo.37:10	Exo.38:11.1	2Móz 37:10	VAN_TELJES	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhereJoin	Exo.37:11	Exo.37:11	Exo.37:11	Exo.38:9, 11.2	2Móz 37:11	VAN_TELJES	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhere	Exo.37:12	Exo.37:12	Exo.37:12	Exo.38:11.3	2Móz 37:12	VAN_TELJES	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhereJoin	Exo.37:13	Exo.37:13	Exo.37:13	Exo.38:10, 11.4	2Móz 37:13	VAN_TELJES	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhere	Exo.37:14	Exo.37:14	Exo.37:14	Exo.38:11.5	2Móz 37:14	VAN_TELJES	KUTATASI_JELOLT
Exo.37:1-37:29	LongVerseElsewhereJoin	Exo.37:15	Exo.37:15	Exo.37:15	Exo.38:11.0, 11.6	2Móz 37:15	VAN_TELJES	KUTATASI_JELOLT
