Karoli_igehely	Heber_vers	Latin_vers	Gorog_LXX_vers	Elteres_tipusa	Karoli_egyezik_hol
1Kir 10:22	1Ki.10:22	1Ki.10:22	1Ki.10:22*a-c [=9:15, 17-22]	Concatenation/Merge	Heber,Latin
1Kir 10:22	1Ki.10:22	1Ki.10:22	1Ki.10:22*	Concatenation/Merge	Heber,Latin
1Kir 10:26	1Ki.10:26	1Ki.10:26	1Ki.10:26*a[=4:21]	Concatenation/Merge	Heber,Latin
1Kir 11:14	1Ki.11:14	1Ki.11:14	1Ki.11:14*	Concatenation/Merge	Heber,Latin
1Kir 11:14	1Ki.11:14,23-25	1Ki.11:14,23-25	1Ki.11:14*a-c	Concatenation/Merge	EGYIK_SEM
1Kir 11:23	1Ki.11:25	1Ki.11:25	1Ki.11:14a-c	Renumber	EGYIK_SEM
1Kir 11:24	1Ki.11:25	1Ki.11:25	1Ki.11:14a-c  [=12:24f]	Renumber	EGYIK_SEM
1Kir 11:5	1Ki.11:5	1Ki.11:5	1Ki.11:6	Renumber	Heber,Latin
1Kir 11:6	1Ki.11:6	1Ki.11:6	1Ki.11:8	Renumber	Heber,Latin
1Kir 11:7	1Ki.11:7	1Ki.11:7	1Ki.11:5	Renumber	Heber,Latin
1Kir 11:8	1Ki.11:8	1Ki.11:8	1Ki.11:7	Renumber	Heber,Latin
1Kir 12:2	1Ki.12:2	1Ki.12:2	1Ki.11:43 [=12:24a]	Concatenation/Merge	Heber,Latin
1Kir 12:24	1Ki.12:24	1Ki.12:24	1Ki.12:24*a-w [=11:19, 21-22, 24, 26-28, 31, 40, 43; 12:2-11, 14, 16-17, 21-24; 14:1-6, 11-12, 18]	Concatenation/Merge	Heber,Latin
1Kir 12:24	1Ki.12:24	1Ki.12:24	1Ki.12:24*a-w [=11:19, 21-22, 24, 26-28, 31, 40, 43; 12:3-11, 14, 16-17, 21-24; 14:1-6, 11-12, 18]	Concatenation/Merge	Heber,Latin
1Kir 14:1	1Ki.14:1-6	1Ki.14:1-6	1Ki.12:24g	Concatenation/Merge	EGYIK_SEM
1Kir 14:2	1Ki.14:2	1Ki.14:2	1Ki.12:24h	Concatenation/Merge	Heber,Latin
1Kir 14:3	1Ki.14:3	1Ki.14:3	1Ki.12:24h	Concatenation/Merge	Heber,Latin
1Kir 14:4	1Ki.14:4	1Ki.14:4	1Ki.12:24i	Concatenation/Merge	Heber,Latin
1Kir 14:5	1Ki.14:5	1Ki.14:5	1Ki.12:24j	Concatenation/Merge	Heber,Latin
1Kir 14:6	1Ki.14:6	1Ki.14:6	1Ki.12:24j	Concatenation/Merge	Heber,Latin
1Kir 16:28	1Ki.16:28	1Ki.16:28	1Ki.16:28*a-h [=22:41-50]	Concatenation/Merge	Heber,Latin
1Kir 16:28	1Ki.16:28	1Ki.16:28	1Ki.16:28*	Concatenation/Merge	Heber,Latin
1Kir 20:1	1Ki.20:1	1Ki.20:1	1Ki.21:1	Renumber	Heber,Latin
1Kir 20:10	1Ki.20:10	1Ki.20:10	1Ki.21:10	Renumber	Heber,Latin
1Kir 20:11	1Ki.20:11	1Ki.20:11	1Ki.21:11	Renumber	Heber,Latin
1Kir 20:12	1Ki.20:12	1Ki.20:12	1Ki.21:12	Renumber	Heber,Latin
1Kir 20:13	1Ki.20:13	1Ki.20:13	1Ki.21:13	Renumber	Heber,Latin
1Kir 20:14	1Ki.20:14	1Ki.20:14	1Ki.21:14	Renumber	Heber,Latin
1Kir 20:15	1Ki.20:15	1Ki.20:15	1Ki.21:15	Renumber	Heber,Latin
1Kir 20:16	1Ki.20:16	1Ki.20:16	1Ki.21:16	Renumber	Heber,Latin
1Kir 20:17	1Ki.20:17	1Ki.20:17	1Ki.21:17	Renumber	Heber,Latin
1Kir 20:18	1Ki.20:18	1Ki.20:18	1Ki.21:18	Renumber	Heber,Latin
1Kir 20:19	1Ki.20:19	1Ki.20:19	1Ki.21:19	Renumber	Heber,Latin
1Kir 20:2	1Ki.20:2	1Ki.20:2	1Ki.21:2	Renumber	Heber,Latin
1Kir 20:20	1Ki.20:20	1Ki.20:20	1Ki.21:20	Renumber	Heber,Latin
1Kir 20:21	1Ki.20:21	1Ki.20:21	1Ki.21:21	Renumber	Heber,Latin
1Kir 20:22	1Ki.20:22	1Ki.20:22	1Ki.21:22	Renumber	Heber,Latin
