Karoli_konyv_prefix	Karoli_igehely	Oszlop	Nyers_ertek
1Móz	1Móz 2:25	Gorog	Gen.2:25 / 3:1a
1Móz	1Móz 5:31	Gorog	Gen.5:31-6:1a
1Móz	1Móz 5:32	Heber	Gen.5:32-6:1
2Móz	2Móz 36:34	Gorog	Exo.37:2aa
2Móz	2Móz 36:8	Gorog	Exo.36:8; 39:12
2Móz	2Móz 36:9	Gorog	Exo.37:2*a-aa
2Móz	2Móz 36:9	Gorog	Exo.37:2*
2Móz	2Móz 37:10	Gorog	Exo.38:11*a-f
2Móz	2Móz 37:11	Gorog	Exo.38:9,11b
2Móz	2Móz 37:11	Gorog	Exo.38:9; 11b
2Móz	2Móz 37:13	Gorog	Exo.38:10,11d
2Móz	2Móz 37:15	Gorog	Exo.38:11*
2Móz	2Móz 37:17	Gorog	Exo.38:13,17a
2Móz	2Móz 37:17	Gorog	Exo.38:13; 17a
2Móz	2Móz 37:18	Gorog	Exo.38:14,15
2Móz	2Móz 37:18	Gorog	Exo.38:14, 15; 17b
2Móz	2Móz 37:19	Gorog	Exo.38:16; 17c
2Móz	2Móz 37:19	Gorog	Exo.38:16,17c
2Móz	2Móz 37:23	Gorog	Exo.38:17*g
2Móz	2Móz 38:19	Gorog	Exo.37:17; 38:20
2Móz	2Móz 38:20	Gorog	Exo.37:18; 38:21
2Móz	2Móz 39:1	Gorog	Exo.36:8; 39:13
2Móz	2Móz 39:37	Gorog	Exo.39:17, 12
Józs	Józs 24:33	Gorog	Jos.24:33*a-c
Józs	Józs 9:2	Gorog	Jos.9:2*
Józs	Józs 9:2	Gorog	Jos.9:2*a-f
Józs	Józs 9:27	Gorog	Jos.9:27a-f
Józs	Józs 9:2	Heber	Jos.9:2; 8:30-35
Neh	Neh 4:1	Gorog	Neh.3:33 / 4:1
Neh	Neh 4:10	Gorog	Neh.4:4 / 4:10
Neh	Neh 4:11	Gorog	Neh.4:5 / 4:11
Neh	Neh 4:12	Gorog	Neh.4:6 / 4:12
Neh	Neh 4:13	Gorog	Neh.4:7 / 4:13
Neh	Neh 4:14	Gorog	Neh.4:8 / 4:14
Neh	Neh 4:15	Gorog	Neh.4:9 / 4:15
Neh	Neh 4:16	Gorog	Neh.4:10 / 4:16
Neh	Neh 4:17	Gorog	Neh.4:11 / 4:17
Neh	Neh 4:18	Gorog	Neh.4:12 / 4:18
Neh	Neh 4:19	Gorog	Neh.4:13 / 4:19
Neh	Neh 4:2	Gorog	Neh.3:34 / 4:2
Neh	Neh 4:20	Gorog	Neh.4:14 / 4:20
Neh	Neh 4:21	Gorog	Neh.4:15 / 4:21
Neh	Neh 4:22	Gorog	Neh.4:16 / 4:22
Neh	Neh 4:23	Gorog	Neh.4:17 / 4:23
Neh	Neh 4:3	Gorog	Neh.3:35 / 4:3
Neh	Neh 4:4	Gorog	Neh.3:36 / 4:4-5
Neh	Neh 4:5	Gorog	Neh.3:37 / 4:6
Neh	Neh 4:7	Gorog	Neh.4:1 / 4:7
Neh	Neh 4:8	Gorog	Neh.4:2 / 4:8
Neh	Neh 4:9	Gorog	Neh.4:3 / 4:9
Eszt	Eszt 10:3	Gorog	Est.10:3*a-l
Eszt	Eszt 3:13	Gorog	Est.3:13*a-g
Eszt	Eszt 3:13	Gorog	Est.3:13*a-g
Eszt	Eszt 4:17	Gorog	Est.4:17*a-ad
Eszt	Eszt 5:1	Gorog	Est.5:1*a-f
Eszt	Eszt 5:1	Gorog	Est.5:1; 15:1-16
Eszt	Eszt 5:2	Gorog	Est.5:2*a-j
Eszt	Eszt 8:12	Gorog	Est.8:12*a-x
Zsolt	Zsolt 1:1	Gorog	Psa.Psa.151:1-2
Zsolt	Zsolt 1:2	Gorog	Psa.Psa.151:1-2
Zsolt	Zsolt 1:3	Gorog	Psa.Psa.151:3
Zsolt	Zsolt 1:4	Gorog	Psa.Psa.151:4
Zsolt	Zsolt 1:5	Gorog	Psa.Psa.151:5
Zsolt	Zsolt 1:6	Gorog	Psa.Psa.151:6
Péld	Péld 20:9	Gorog	Pro.20:9*
Ézs	Ézs 63:19	Gorog	Isa.63:19--64:1
Dán	Dán 4:10	Gorog	Dan.4:7 / 4:10
Dán	Dán 4:11	Gorog	Dan.4:8 / 4:11
Dán	Dán 4:12	Gorog	Dan.4:9 / 4:12
Dán	Dán 4:13	Gorog	Dan.4:10 / 4:13
Dán	Dán 4:14	Gorog	Dan.4:11 / 4:14
Dán	Dán 4:15	Gorog	Dan.4:12 / 4:15
Dán	Dán 4:16	Gorog	Dan.4:13 / 4:16
Dán	Dán 4:17	Gorog	Dan.4:14 / 4:17
Dán	Dán 4:18	Gorog	Dan.4:15 / 4:18
Dán	Dán 4:19	Gorog	Dan.4:16 / 4:19
