# GENERÁLT: eszkozok/oshl_index_import.py — kézzel nem szerkesztendő.
# forras: openscriptures/HebrewLexicon @ 21c9add13bc727d3a951361778e97e3ff7afd1ce | LexicalIndex.xml sha256=8f7a605c58899d2f44430149c143c00903976e1e91232476677972a69e5bc85f
# licenc: CC BY 4.0 — Open Scriptures Hebrew Bible Project; l. konkordancia/OSHL_lexikalis_index_README.md
strong	strong_eredeti	twot	bdb_id	nyelv	oshl_id	lemma	atiras	szofaj	def_en
H0001	1	4a	a.ae.ab	heber	aac	אָב	ʾāb	N	father
H0002	2	2553	xa.ac.ab	arameus	nyw	אַב	ʾab	N	father
H0003	3	1a	a.ab.ab	heber	aab	אֵב	ʾēb	N	freshness
H0004	4	2554	xa.aa.ac	arameus	nyv	אֵב	ʾēb	N	fruit
H0005	5	—	a.ab.ae	heber	aae	אֲבַגְתָא	ʾăbagtāʾ	Np	Abagtha
H0006	6	2	a.ac.aa	heber	aaf	אָבַד	ʾābad	V	perish
H0007	7	2555	xa.ab.aa	arameus	nyx	אֲבַד	ʾăbad	V	perish
H0008	8	2a	a.ac.ab	heber	aag	אֹבֵד	ʾōbēd	N	destruction
H0009	9	2b	a.ac.ac	heber	aah	אֲבֵדָה	ʾăbēdâ	N	a lost thing
H0010	10	2d	a.ac.af	heber	aai	אבדה	ʾbdh	N	Destruction
H0011	11	2d	a.ac.af	heber	aaj	אֲבַדּוֹן	ʾăbaddôn	Np	Destruction
H0012	12	2c	a.ac.ae	heber	aak	אַבְדָ֑ן	ʾabdān	N	destruction
H0013	13	2c	a.ac.ae	heber	aal	אׇבְדַן	ʾobdan	N	destruction
H0014	14	3	a.ad.aa	heber	aan	אָבָה	ʾābâ	V	be willing
H0015	15	238	b.bn.aa	heber	bnx	בָּיַי	bāyay	Tj	entreat
H0016	16	3c	a.ad.ad	heber	aam	אֵ֫בֶה	ʾēbeh	N	reed
H0017	17	3d	a.af.aa	heber	aap	אֲבוֹי	ʾăbôy	Tj	Oh!
H0018	18	10a	a.an.ab	heber	aaq	אֵבוּס	ʾēbûs	N	crib
