# GENERÁLT: eszkozok/sdbh_sdgnt_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSHebrewDic-v0.9.2-en.JSON sha256=1686a25dd31dc9afb7b932927e160070667c73caedad11aa7e4482c21f800e8e; UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
szotar	entry_id	lemma	tipus	nyers_ertek	allapot
SDBH	000008000000000	אֲבַדֹּה	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	000334000000000	אִילֹו	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	000788000000000	אֵשְׁתַּם	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	000904000000000	בַּחִין	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	001165000000000	בָּרוּר	ervenytelen_kod	Reinier de Blois	AZONOSITVA, NEM JAVITVA
SDBH	001165000000000	בָּרוּר	strong_nelkul	["Reinier de Blois"]	AZONOSITVA, NEM JAVITVA
SDBH	001736000000000	הֲ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDBH	001795000000000	הֹורַי	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	001855000000000	הֲנָפָה	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	002808000000000	יְדִיתוּן	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDBH	002838000000000	יְהֹועַדִּין	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	002930000000000	יְכִילְיָה	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	002985000000000	יעדי	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	002989000000000	יעור	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003058000000000	יֶקֶב־זְאֵב	ervenytelen_kod	2062	AZONOSITVA, NEM JAVITVA
SDBH	003143000000000	יִשְׁבֹּו	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003160000000000	ישׁיב	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003165000000000	ישׁימות	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003319000000000	כלהי	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003320000000000	כְּלוּא	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	003803000000000	מֹופַעַת	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDBH	004068000000000	מַלְכֵּן	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	004238000000000	מַעֲנִית	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	004653000000000	נדא	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	004691000000000	נֹובָי	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	004789000000000	נִיס	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	005254000000000	עֲדָיָא	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	005311000000000	עופי	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	005926000000000	פְּנִיִּים	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDBH	006318000000000	צְפַתָה	ervenytelen_kod	6859	AZONOSITVA, NEM JAVITVA
SDBH	006318000000000	צְפַתָה	strong_nelkul	["6859"]	AZONOSITVA, NEM JAVITVA
SDBH	006756000000000	רְחֹבֹת עִיר	ervenytelen_kod	Reinier de Blois	AZONOSITVA, NEM JAVITVA
SDBH	006756000000000	רְחֹבֹת עִיר	strong_nelkul	["Reinier de Blois"]	AZONOSITVA, NEM JAVITVA
SDBH	006987000000000	שְׂגִיב	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	007736000000000	תּוּבְנָה	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDBH	007741000000000	תוהּ	ervenytelen_kod	Reinier de Blois	AZONOSITVA, NEM JAVITVA
SDBH	007741000000000	תוהּ	strong_nelkul	["Reinier de Blois"]	AZONOSITVA, NEM JAVITVA
SDBH	007749000000000	תֹּולֹון	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	007902000000000	תפל	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDBH	007948000000000	תַּרְמוּת	strong_nelkul	[""]	AZONOSITVA, NEM JAVITVA
SDGNT	000001000000000	α	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000244000000000	Ἀλμεί	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000301000000000	Ἀμών	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000517000000000	Ἀουλία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000632000000000	ἀποπληρόω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000698000000000	Ἀρηί	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000713000000000	Ἀρμίν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000755000000000	Ἀσά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000783000000000	Ἀσσά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000894000000000	β	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000951000000000	Βελζεθά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000960000000000	Βέρος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000961000000000	Βεωορσόρ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000962000000000	Βεώρ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000963000000000	Βηδσαϊδάν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000964000000000	Βηζαθά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000965000000000	Βηθαβαρά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000967000000000	Βηθαραβά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000968000000000	Βηθεσδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000974000000000	Βηρεύς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000976000000000	Βησσαϊδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	000985000000000	Βιθαρά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001049000000000	γ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001057000000000	Γαζαρηνός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001067000000000	Γαλλία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001075000000000	Γαύδη	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001098000000000	Γεργεσηνός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001100000000000	Γερσινός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001141000000000	Γύλλιον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001152000000000	Δαδδαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001186000000000	δεινός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001193000000000	δεκαοκτώ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001222000000000	δευτερόπρωτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001236000000000	δήποτε	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001410000000000	Δονεῖ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001416000000000	Δουβέριος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001457000000000	δωροφορία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001467000000000	Ἑβραϊκός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001496000000000	Ἔγυπτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001677000000000	ἕλιγμα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001740000000000	ἐναντιόομαι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001865000000000	ἐξουσιαστικός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	001994000000000	ἐπισείω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002152000000000	εὐπερίσπαστος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002285000000000	Θαδαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002361000000000	θρῆνος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002369000000000	θρύπτω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002459000000000	Ἰουνία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002489000000000	Ἰωακείμ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002491000000000	Ἰωανᾶς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002493000000000	Ἰωαννᾶς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002499000000000	Ἰωνάθας	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002599000000000	Καρυῶτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002604000000000	καταβαπτίζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002608000000000	καταβιβάζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002674000000000	καταπίμπρημι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002794000000000	κηρίον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002808000000000	κίνησις	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	002816000000000	Κλαῦδα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
SDGNT	003019000000000	Λεββαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
