# GENERÁLT: eszkozok/sdbh_sdgnt_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSHebrewDicLexicalDomains-v0.9.2-en.JSON sha256=fbc862b2c46966cf7f3bf19c2f3e79a7391c34f8c737e1979fa5178ac603d0df; UBSGreekNTDicLexicalDomains-v1.1-en.JSON sha256=a816a6bb2bdbdd7df6f46f771b5ddb1b9c019d73c3f0147e5a5cead5cfef8b4b
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
szotar	kod	szint	szulo_kod	cimke	leiras
SDBH	001	1	—	Objects	All animate and inanimate entities, both natural and supernatural, either created or pre-existent before creation, either existing in nature or human-made.
SDBH	001001	2	001	Regions Above the Earth	All objects found in the regions above the earth.
SDBH	001001001	3	001001	Deities	All supernatural beings.
SDBH	001001002	3	001001	Celestial Bodies	All celestial bodies found in the regions above the earth, such as sun, moon, stars, constellations, etc.
SDBH	001002	2	001	Regions On the Earth	All objects found on the earth.
SDBH	001002001	3	001002	Land	All terms related to land in its relation to the people living there or those engaging with it in other ways.
SDBH	001002002	3	001002	Landforms	All landforms, such as mountains, valleys, plains.
SDBH	001002003	3	001002	Landscapes	All terms for different landscapes, such as forests, deserts, etc.
SDBH	001002004	3	001002	Vegetation	All vegetation.
SDBH	001002004001	4	001002004	Plants	All plants.
SDBH	001002004002	4	001002004	Trees	All trees.
SDBH	001002005	3	001002	Waterbodies	All terms for bodies of water on the earth, such as oceans, seas, lakes, rivers, and ponds.
SDBH	001002006	3	001002	Animals	All living creatures, with the exception of created supernatural beings and humans.
SDBH	001002006001	4	001002006	Wild Animals	All wild land animals of the larger variety, excluding smaller animals, such as the mouse or the weasel, which, according to Lev. 11:29, are to be considered |uSmall Animals|u*.
SDBH	001002006002	4	001002006	Domestic Animals	All domesticated animals.
SDBH	001002006003	4	001002006	Small Animals	All wild land animals of the smaller variety. According to Genesis 1:24 this is a category in itself. It does somewhat overlap with שֶׁרֶץ, however. Leviticus 11:29 refers to (part of) this subcategory of animals as שֶׁרֶץ הַשֹּׁרֵץ עַל־הָאָרֶץ which refers to all land animals that have short legs (reptiles) or no legs at all (snakes). To use the term reptiles would be incorrect as small mammals, such as the mouse and the weasel, are part of this subcategory as well.
SDBH	001002006004	4	001002006	Aquatic Animals	All water creatures except what is considered שֶׁרֶץ הַמַּיִם (see Swarming Creatures). See Leviticus 11:9-12; Deuteronomy 14:9,10.
SDBH	001002006005	4	001002006	Birds	All birds, covered by the Hebrew generic term עוֹף. Flying insects are part of the category Swarming Creatures.
