# GENERÁLT: eszkozok/sdbh_sdgnt_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSHebrewDic-v0.9.2-en.JSON sha256=1686a25dd31dc9afb7b932927e160070667c73caedad11aa7e4482c21f800e8e
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	osszetett	nyelv	szotar	entry_id	lemma	lexid	entry_kod	domen_kod	domen	glossza	hivatkozas_n
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001001000	—	001002007012	Relatives	father	555
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001002000	—	001002007012	Relatives	grandfather; ancestor	385
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001003000	—	001002007012	Relatives	father > founder	33
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001004000	—	002003003011	Engage	the first person to ...	2
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001005000	—	002002002005	Exist	father > creator	4
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001006000	—	001002007007	Officials	adviser	3
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001007000	—	002003003019	Safe	father; protector; helper	16
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001008000	—	001002009010	Tombs	father; place of security; place of comfort	1
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001009000	—	001002007004	Groups	father's house = family	145
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001010000	—	001002007004	Groups	ancestral tribe	9
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001011000	—	001002007004	Groups	ancestry	50
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001012000	—	002003002018	Possess	family possessions; patrimony	1
H0001	H0001	—	heber	SDBH	000003000000000	אָב	000003001013000	—	003001017	Titles	father (as title)	7
H0002	A0002	—	arameus	SDBH	000002000000000	אַב	000002001001000	—	001002007012	Relatives	father	6
H0002	A0002	—	arameus	SDBH	000002000000000	אַב	000002001002000	—	001002007012	Relatives	forefather; ancestor	3
H0003	H0003	—	heber	SDBH	000001000000000	אֵב	000001001001000	—	001002004	Vegetation	blossom; flower	1
H0003	H0003	—	heber	SDBH	000001000000000	אֵב	000001001002000	—	002001001056	Stage	blossom	1
H0003	H0003	—	heber	SDBH	000001000000000	אֵב	000001001003000	—	001002008003004	Fruits	fruit	3
H0004	A0004	—	arameus	SDBH	000001000000000	אֵב	000001001001000	—	001002004	Vegetation	blossom; flower	1
H0004	A0004	—	arameus	SDBH	000001000000000	אֵב	000001001002000	—	002001001056	Stage	blossom	1
H0004	A0004	—	arameus	SDBH	000001000000000	אֵב	000001001003000	—	001002008003004	Fruits	fruit	3
H0005	H0005	—	heber	SDBH	000004000000000	אֲבַגְתָא	000004001001000	—	003001007	Names of People	Abagtha	1
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001001000	—	002002001018	Non-Space	to be lost	2
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001002000	—	002002001018	Non-Space	to wander; to stray	8
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001003000	—	002004002013	Think	to give up as lost	1
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001004000	—	002001001019	Dead	to vanish; to disappear; to be lost; to perish; to be broken; to be destroyed; to be ruined	88
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001004000	—	002002002006	Non-Exist	to vanish; to disappear; to be lost; to perish; to be broken; to be destroyed; to be ruined	88
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001005000	—	002001001019	Dead	to destroy; to kill	62
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001005000	—	002002002006	Non-Exist	to destroy; to kill	62
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001006000	—	002003003010	End	to perish; to come to an end	24
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001007000	—	002003003010	End	to destroy; to corrupt; to put an end	9
H0006	H0006	—	heber	SDBH	000005000000000	אבד	000005001008000	—	002001001019	Dead	to destroy a life > to kill people	1
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001001000	—	002002001018	Non-Space	to be lost	2
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001002000	—	002002001018	Non-Space	to wander; to stray	8
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001003000	—	002004002013	Think	to give up as lost	1
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001004000	—	002001001019	Dead	to vanish; to disappear; to be lost; to perish; to be broken; to be destroyed; to be ruined	88
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001004000	—	002002002006	Non-Exist	to vanish; to disappear; to be lost; to perish; to be broken; to be destroyed; to be ruined	88
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001005000	—	002001001019	Dead	to destroy; to kill	62
H0007	A0007	—	arameus	SDBH	000005000000000	אבד	000005001005000	—	002002002006	Non-Exist	to destroy; to kill	62
