# GENERÁLT: eszkozok/sdbh_sdgnt_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	osszetett	nyelv	szotar	entry_id	lemma	lexid	entry_kod	domen_kod	domen	glossza	hivatkozas_n
G0001	G0001a	—	gorog	SDGNT	000253000000000	ἄλφα	000253001001000	61.7	061	Sequence	alpha; the first; the beginning	3
G0002	G0002	—	gorog	SDGNT	000002000000000	Ἀαρών	000002001001000	93.1	093001	Persons	Aaron	5
G0003	G0003	—	gorog	SDGNT	000003000000000	Ἀβαδδών	000003001001000	93.2	093001	Persons	Abaddon meaning Destroyer	1
G0004	G0004	—	gorog	SDGNT	000004000000000	ἀβαρής	000004001001000	57.225	057019	Be a Financial Burden	not being financially burdensome	1
G0005	G0005	—	gorog	SDGNT	000005000000000	ἀββά	000005001001000	12.12	012001	Supernatural Beings	Father	3
G0006	G0006	—	gorog	SDGNT	000006000000000	Ἅβελ	000006001001000	93.3	093001	Persons	Abel	4
G0007	G0007	—	gorog	SDGNT	000007000000000	Ἀβιά	000007001001000	93.4a	093001	Persons	Abijah	2
G0007	G0007	—	gorog	SDGNT	000007000000000	Ἀβιά	000007001002000	93.4b	093001	Persons	Abijah	1
G0008	G0008	—	gorog	SDGNT	000008000000000	Ἀβιαθάρ	000008001001000	93.5	093001	Persons	Abiathar	1
G0009	G0009	—	gorog	SDGNT	000009000000000	Ἀβιληνή	000009001001000	93.389	093002	Places	Abilene	1
G0010	G0010	—	gorog	SDGNT	000010000000000	Ἀβιούδ	000010001001000	93.6	093001	Persons	Abiud	2
G0011	G0011	—	gorog	SDGNT	000011000000000	Ἀβραάμ	000011001001000	93.7	093001	Persons	Abraham	73
G0011	G0011	—	gorog	SDGNT	000011000000000	Ἀβραάμ	000011001002000	1.16	001002	Regions Above the Earth	Abraham’s bosom; heaven	1
G0012	G0012	—	gorog	SDGNT	000012000000000	ἄβυσσος	000012001001000	1.20	001003	Regions Below the Surface of the Earth	abyss; abode of evil spirits; very deep place	9
G0013	G0013	—	gorog	SDGNT	000013000000000	Ἅγαβος	000013001001000	93.8	093001	Persons	Agabus	2
G0014	G0014	—	gorog	SDGNT	000014000000000	ἀγαθοεργέω	000014001001000	88.3	088001	Goodness	to do good; to perform good deeds; good works	2
G0015	G0015	—	gorog	SDGNT	000015000000000	ἀγαθοποιέω	000015001001000	88.3	088001	Goodness	to do good; to perform good deeds; good works	9
G0016	G0016	—	gorog	SDGNT	000016000000000	ἀγαθοποιΐα	000016001001000	88.3	088001	Goodness	to do good; to perform good deeds; good works	1
G0017	G0017	—	gorog	SDGNT	000017000000000	ἀγαθοποιός	000017001001000	88.8	088001	Goodness	one who does good; one who benefits others	1
G0018	G0018	—	gorog	SDGNT	000018000000000	ἀγαθός	000018001001000	88.1	088001	Goodness	good; goodness; good act	81
G0018	G0018	—	gorog	SDGNT	000018000000000	ἀγαθός	000018001002000	65.20	065003	Good, Bad	good; nice; pleasant	23
G0018	G0018	—	gorog	SDGNT	000018000000000	ἀγαθός	000018001003000	57.110	057008	Give	generous	1
G0018	G0018	—	gorog	SDGNT	000018000000000	ἀγαθός	000018001004000	57.33	057003	Be Rich, Be Wealthy	goods; possessions	2
G0019	G0019	—	gorog	SDGNT	000019000000000	ἀγαθωσύνη	000019001001000	88.1	088001	Goodness	good; goodness; good act	4
G0019	G0019	—	gorog	SDGNT	000019000000000	ἀγαθωσύνη	000019001002000	57.109	057008	Give	to be generous; generosity	1
G0020	G0020	—	gorog	SDGNT	000020000000000	ἀγαλλίασις	000020001001000	25.132	025011	Happy, Glad, Joyful	to be extremely joyful; to rejoice greatly; extreme gladness	5
G0021	G0021	—	gorog	SDGNT	000021000000000	ἀγαλλιάω	000021001001000	25.133	025011	Happy, Glad, Joyful	to be extremely joyful; to be overjoyed; to rejoice greatly	11
G0022	G0022	—	gorog	SDGNT	000022000000000	ἄγαμος	000022001001000	34.76	034010	Marriage, Divorce	unmarried	4
G0023	G0023	—	gorog	SDGNT	000023000000000	ἀγανακτέω	000023001001000	88.187	088024	Anger, Be Indignant With	to be indignant; to be angry with	7
G0024	G0024	—	gorog	SDGNT	000024000000000	ἀγανάκτησις	000024001001000	88.186	088024	Anger, Be Indignant With	indignation; anger	1
G0025	G0025	—	gorog	SDGNT	000025000000000	ἀγαπάω	000025001001000	25.43	025003	Love, Affection, Compassion	to love; to regard with affection; loving concern; love	127
G0025	G0025	—	gorog	SDGNT	000025000000000	ἀγαπάω	000025001002000	25.44	025003	Love, Affection, Compassion	to show one’s love; to demonstrate one’s love	4
G0025	G0025	—	gorog	SDGNT	000025000000000	ἀγαπάω	000025001003000	25.104	025010	Enjoy, Take Pleasure In, Be Fond of Doing	to love to; to like to; to take pleasure in	12
G0026	G0026	—	gorog	SDGNT	000026000000000	ἀγάπη	000026001001000	25.43	025003	Love, Affection, Compassion	to love; to regard with affection; loving concern; love	115
G0026	G0026	—	gorog	SDGNT	000026000000000	ἀγάπη	000026001002000	23.28	023001	Eat, Drink	fellowship meal	1
G0027	G0027	—	gorog	SDGNT	000027000000000	ἀγαπητός	000027001001000	25.45	025003	Love, Affection, Compassion	object of one’s affection; one who is loved; beloved; dear	55
G0027	G0027	—	gorog	SDGNT	000027000000000	ἀγαπητός	000027001002000	58.53	058007	Distinctive, Unique	only; only dear	8
