Strong_padded	Strong_eredeti	Teljes_szocikk
G0001	G1	Α (A｜al'-fah｜noun｜alpha) [Grk] Α, α, ἄλφα, Ἄλφα LN: 61.7 GK: G1, G270 Derivation: of Hebrew origin; Strong's: the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: KJV: --Alpha. Often used (usually ἄν, before a vowel) also in composition (as a contraction from ἄνευ) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of ἅμα). See: ἄνευ See: ἅμα
G0002	G2	Ἀαρών (Aarṓn｜ah-ar-ohn'｜proper noun｜person｜Aaron) [Grk] Ἀαρών LN: 93.1 GK: G2 Hebrew: אַהֲרֹון Derivation: of Hebrew origin (אַהֲרֹון); Strong's: Aaron, the brother of Moses KJV: --Aaron. See: אַהֲרֹון
G0003	G3	Ἀβαδδών (Abaddṓn｜ab-ad-dohn'｜proper noun｜person｜Abbadon) [Grk] Ἀβαδδών LN: 93.2 GK: G3 Hebrew: אֲבַדֹּון Derivation: of Hebrew origin (אֲבַדֹּון); Strong's: a destroying angel KJV: --Abaddon. See: אֲבַדֹּון
G0004	G4	ἀβαρής (abarḗs｜ab-ar-ace'｜adjective｜not burdensome) [Grk] ἀβαρής LN: 57.225 GK: G4 Derivation: from Α (as a negative particle) and βάρος; Strong's: weightless, i.e. (figuratively) not burdensome KJV: --from being burdensome. See: Α See: βάρος
G0005	G5	Ἀββᾶ (Abbâ｜ab-bah'｜proper noun｜person｜Abba, Aramaic for “Father”) [Grk] Ἀββᾶ, ἀββά, αββα, ἀββα LN: 12.12 GK: G5 Hebrew: אַב Derivation: of Chaldee origin (אַב); Strong's: father as a vocative KJV: --Abba. See: אַב
G0006	G6	Ἄβελ (Ábel｜ab'-el｜proper noun｜person｜Abel) [Grk] Ἄβελ, Ἅβελ, Ἇβελ LN: 93.3 GK: G6 Hebrew: הֶבֶל, הֶבֶל Derivation: of Hebrew origin (הֶבֶל); Strong's: Abel, the son of Adam KJV: --Abel. See: הֶבֶל
G0007	G7	Ἀβιά (Abiá｜ab-ee-ah'｜proper noun｜person｜Abijah) [Grk] Ἀβιά LN: 93.4 GK: G7 Hebrew: אֲבִיָּה Derivation: of Hebrew origin (אֲבִיָּה); Strong's: Abijah, the name of two Israelites KJV: --Abia. See: אֲבִיָּה
G0008	G8	Ἀβιαθάρ (Abiathár｜ab-ee-ath'-ar｜proper noun｜person｜Abiathar) [Grk] Ἀβιαθάρ, Ἀβιάθαρ LN: 93.5 GK: G8 Hebrew: אֶבְיָתָר Derivation: of Hebrew origin (אֶבְיָתָר); Strong's: Abiathar, an Israelite KJV: --Abiathar. See: אֶבְיָתָר
G0009	G9	Ἀβιληνή (Abilēnḗ｜ab-ee-lay-nay'｜proper noun｜location｜Abilene) [Grk] Ἀβιληνή LN: 93.389 GK: G9 Hebrew: אָבֵל Derivation: of foreign origin (compare אָבֵל); Strong's: Abilene, a region of Syria KJV: --Abilene. See: אָבֵל
G0010	G10	Ἀβιούδ (Abioúd｜ab-ee-ood'｜proper noun｜person｜Abiud) [Grk] Ἀβιούδ LN: 93.6 GK: G10 Hebrew: אֲבִיהוּד Derivation: of Hebrew origin (אֲבִיהוּד); Strong's: Abihud, an Israelite KJV: --Abiud. See: אֲבִיהוּד
G0011	G11	Ἀβραάμ (Abraám｜ab-rah-am'｜proper noun｜person｜Abraham) [Grk] Ἀβραάμ LN: 1.16, 93.7 GK: G11 Hebrew: אַבְרָהָם Derivation: of Hebrew origin (אַבְרָהָם); Strong's: Abraham, the Hebrew patriarch KJV: --Abraham. (In Acts 7:16 the text should probably read Jacob.) See: אַבְרָהָם
G0012	G12	ἄβυσσος (ábyssos｜ab'-us-sos｜noun｜netherworld) [Grk] ἄβυσσος LN: 1.20 GK: G12 Hebrew: מְצֹולָה, צוּלָה, רַחַב, תְּהֹום Derivation: from Α (as a negative particle) and a variation of βυθός; Strong's: depthless, i.e. (specially) (infernal) "abyss" KJV: --deep, (bottomless) pit. See: Α See: βυθός
G0013	G13	Ἄγαβος (Ágabos｜ag'-ab-os｜proper noun｜person｜Agabus) [Grk] Ἄγαβος, Ἅγαβος, Ἀγαβος, Ἇγαβος LN: 93.8 GK: G13 Hebrew: חָגָב Derivation: of Hebrew origin (compare חָגָב); Strong's: Agabus, an Israelite KJV: --Agabus. See: חָגָב
G0014	G14	ἀγαθοεργέω (agathoergéō｜ag-ath-er-gheh'-o｜verb｜to do good) [Grk] ἀγαθοεργέω, ἀγαθουργέω LN: 88.3 GK: G14 Derivation: from ἀγαθός and ἔργον; Strong's: to work good KJV: --do good. See: ἀγαθός See: ἔργον
