Strong_padded	Strong_eredeti	Teljes_szocikk
H0001	H1	אָב (ʼâb｜awb｜noun｜masculine｜father) [Heb] אָב ETCBC: אָב (subs｜father) OSHL: a.ae.ab TWOT: 4a GK: H3 Greek: γονεύς, κατοικέω, μητρόπολις, νεφέλη, νέφος, πατήρ, πατριά, πατριάρχης, πατρικός, πατρῷος Derivation: a primitive word; Strong's: father, in a literal and immediate, or figurative and remote application KJV: chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'.
H0002	H2	אַב (ʼab｜ab｜noun｜masculine｜father) [Arc] אַב ETCBC: אַב (subs｜father) OSHL: xa.ac.ab TWOT: 2553 GK: H10003 Greek: Ἀββᾶ, Βαραββᾶς Derivation: (Aramaic) corresponding to אָב Strong's: {father} KJV: father.
H0003	H3	אֵב (ʼêb｜abe｜noun｜masculine｜freshness) [Heb] אֵב ETCBC: אֵב (subs｜bud) OSHL: a.ab.ab TWOT: 1a GK: H4 Greek: γεννάω, καρπός, ῥίζα Derivation: from the same as אָבִיב; Strong's: a green plant KJV: greenness, fruit.
H0004	H4	אֵב (ʼêb｜abe｜noun｜masculine｜fruit) [Arc] אֵב ETCBC: אֵב (subs｜fruit) OSHL: xa.aa.ac TWOT: 2554 GK: H10004 Derivation: (Aramaic) corresponding to אֵב Strong's: {a green plant} KJV: fruit.
H0005	H5	אֲבַגְתָא (ʼĂbagthâʼ｜ab-ag-thaw'｜proper noun｜person｜Abagtha) [pn] אֲבַגְתָא ETCBC: אֲבַגְתָא (nmpr｜Abagtha) OSHL: a.ab.ae GK: H5 Derivation: of foreign origin; Strong's: Abagtha, a eunuch of Xerxes KJV: Abagtha.
H0006	H6	אָבַד (ʼâbad｜aw-bad'｜verb｜perish) [Heb] אָבַד ETCBC: אבד (verb｜perish) OSHL: a.ac.aa TWOT: 2 GK: H6 Greek: λύπη Derivation: a primitive root; Strong's: properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy) KJV: break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee.
H0007	H7	אֲבַד (ʼăbad｜ab-ad'｜verb｜perish) [Arc] אֲבַד ETCBC: אבד (verb｜perish) OSHL: xa.ab.aa TWOT: 2555 GK: H10005 Derivation: (Aramaic) corresponding to אָבַד Strong's: {properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)} KJV: destroy, perish.
H0008	H8	אֹבֵד (ʼôbêd｜o-bade'｜noun｜masculine｜destruction) [Heb] אֹבֵד ETCBC: אבד (verb｜perish) OSHL: a.ac.ab TWOT: 2a GK: H7 Greek: ἐξαποστέλλω, εὑρίσκω Derivation: active of participle of אָבַד; Strong's: (concrete) wretched or (abstract) destruction KJV: perish.
H0009	H9	אֲבֵדָה (ʼăbêdâh｜ab-ay-daw'｜noun｜feminine｜a lost thing) [Heb] אֲבֵדָה ETCBC: אֲבֵדָה (subs｜what is lost) OSHL: a.ac.ac TWOT: 2b GK: H8 Derivation: from אָבַד; Compare אֲבַדֹּה. Strong's: concrete, something lost; abstract, destruction, i.e. Hades KJV: lost.
H0010	H10	אֲבַדֹּה (ʼăbaddôh｜ab-ad-do'｜noun｜feminine｜Destruction) [Heb] אֲבַדֹּה ETCBC: אֲבַדֹּה (subs｜destruction) OSHL: a.ac.af TWOT: 2b GK: H9 Derivation: the same as אֲבֵדָה, miswritten for אֲבַדֹּון; Strong's: a perishing KJV: destruction.
H0011	H11	אֲבַדֹּון (ʼăbaddôwn｜ab-ad-done'｜proper noun｜location｜Destruction) [Heb] אֲבַדֹּון, אֲבַדֹּו, אֲבַדֹּון ETCBC: אֲבַדֹּון (subs｜destruction) OSHL: a.ac.af TWOT: 2d GK: H10, H11 Greek: Ἀβαδδών Derivation: intensive from אָבַד; Strong's: abstract, a perishing; concrete, Hades KJV: destruction.
H0012	H12	אַבְדָן (ʼabdân｜ab-dawn'｜noun｜masculine｜destruction) [Heb] אַבְדָן ETCBC: אַבְדָן (subs｜destruction) OSHL: a.ac.ae TWOT: 2c GK: H12 Derivation: from אָבַד; Strong's: a perishing KJV: destruction.
H0013	H13	אׇבְדַן (ʼobdan｜ob-dawn'｜noun｜masculine｜destruction) [Heb] אׇבְדַן, אָבְדָן ETCBC: אָבְדָן (subs｜destruction) OSHL: a.ac.ae TWOT: 2c GK: H13 Derivation: from אָבַד; Strong's: a perishing KJV: destruction.
H0014	H14	אָבָה (ʼâbâh｜aw-baw'｜verb｜be willing) [Heb] אָבָה ETCBC: אבה (verb｜want) OSHL: a.ad.aa TWOT: 3 GK: H14 Derivation: a primitive root; Strong's: to breathe after, i.e. (figuratively) to be acquiescent KJV: consent, rest content will, be willing.
H0015	H15	אָבֶה (ʼâbeh｜aw-beh'｜noun｜feminine｜entreat) [Heb] אָבֶה, אָבִי, בָּיַי ETCBC: אָב (subs｜father) OSHL: b.bn.aa TWOT: 3 GK: H20, H1066 Derivation: from אָבָה; Strong's: longing KJV: desire.
H0016	H16	אֵבֶה (ʼêbeh｜ay-beh'｜noun｜masculine｜reed) [Heb] אֵבֶה ETCBC: אֵבֶה (subs｜reed) OSHL: a.ad.ad TWOT: 3c GK: H15 Derivation: from אָבָה (in the sense of bending toward); Strong's: the papyrus KJV: swift.
