Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0001	אָב	'a.Vi	father
H0002	אַב	'a.va.ha.Ta	father
H0003	אֵב	'i.b	greenery
H0005	אֲבַגְתָא	'a.vag.Ta'	Abagtha
H0006	אָבַד	'a.ve.Dah	to perish
H0007	אֲבַד	ye.Va.du	to destroy
H0008	אֹבֵד	'o.Ved	destruction
H0009	אֲבֵדָה	'a.ve.Dat	something lost
H0010	אֲבַדּוֹן	'a.va.d	destruction
H0011	אֲבַדּוֹן	'a.va.Don	Abaddon
H0012	אַבְדָ֑ן	'av.Dan	destruction
H0013	אׇבְדַן	'a.ve.Dan	destruction
H0014	אָבָה	to.Veh	be willing
H0015	בָּיַי	'a.Vi	oh that!
H0016	אֵ֫בֶה	'e.Veh	swift
H0017	אֲבוֹי	'a.Vo	woe!
H0018	אֵבוּס	'a.vu.Se.	crib
H0020	אֲבַטִּחִים	'a.va.ti.Chim	melon
H0021	אֲבִי	'a.Vi	Abi
H0022	אֲבִיאֵל	'a.vi.'El	Abiel
H0023	אֲבִיאָסָף	'a.vi.'a.Saf	Ebiasaph
H0024	אָבִיב	'a.Viv	Abib
H0026	אֲבִיגַ֫יִל, אֲבִיגַ֫ל	'a.vi.Ga.yil	Abigail
H0027	אֲבִידָן	'a.vi.Dan	Abidan
H0028	אֲבִידָע	'a.vi.Da'	Abida
H0029	אֲבִיָּה	'a.vi.Yah	Abijah
H0030	אֲבִיהוּא	'a.vi.Hu'	Abihu
H0031	אֲבִיהוּד	'a.vi.Hud	Abihud
H0032	אֲבִיחַ֫יִל	'a.vi.Cha.yil	Abihail
H0033	אֲבִי הָעֶזְרִי	'a.Vi	Abiezer
H0034	אֶבְיוֹן	'ev.yo.ne.	needy
H0035	אֲבִיּוֹנָה	'a.vi.yo.Nah	desire
H0036	אֲבִיטוּב	'a.vi.Tuv	Abitub
H0037	אֲבִיטָ֑ל	'a.vi.Tal	Abital
H0038	אֲבִיָּם	'a.vi.Yam	Abijah
H0039	אֲבִימָאֵל	'a.vi.ma.'El	Abimael
H0040	אֲבִימֶ֫לֶךְ	'a.vi.Me.lekh	Abimelech
H0041	אֲבִינָדָב	'a.vi.na.Dav	Abinadab
H0042	אֲבִינֹ֫עַם	'a.vi.No.'am	Abinoam
H0043	אֶבְיָסָף, אֲבִיאָסָף	'ev.ya.Saf	Ebiasaph
H0044	אֲבִיעֶ֫זֶר	'a.vi.'E.zer	Abiezer
H0045	אֲבִי־עַלְבוֹן	'a.vi-	Abi-albon
H0046	אָבִיר	'a.Vir	mighty
H0047	אַבִּיר	'a.bi.Ra	mighty
