Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:1	G0976	Βίβλος	Biblos	βίβλος	book	[The] book	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G1078	γενέσεως	geneseōs	γένεσις	origin	of [the] genealogy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G2424	Ἰησοῦ	Iēsou	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G5547	Χριστοῦ	Christou	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G5207	υἱοῦ	huiou	υἱός	son	son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G1138	Δαυὶδ	Dauid	Δαυείδ, Δαυίδ, Δαβίδ	David	of David	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G5207	υἱοῦ	huiou	υἱός	son	son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:1	G0011	Ἀβραάμ.	Abraam	Ἀβραάμ	Abraham	of Abraham.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G0011	Ἀβραὰμ	Abraam	Ἀβραάμ	Abraham	Abraham	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2464	Ἰσαάκ·	Isaak	Ἰσαάκ	Isaac	Isaac;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2464	Ἰσαὰκ	Isaak	Ἰσαάκ	Isaac	Isaac	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2384	Ἰακώβ·	Iakōb	Ἰακώβ	Jacob	Jacob;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2384	Ἰακὼβ	Iakōb	Ἰακώβ	Jacob	Jacob	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2455	Ἰούδαν	Ioudan	Ἰούδας	Judah/Judas/Jude	Judah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G2532	καὶ	kai	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G3588	τοὺς	tous	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G0080	ἀδελφοὺς	adelphous	ἀδελφός	brother	brothers	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:2	G0846	αὐτοῦ·	autou	αὐτός	he/she/it/self	of him;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G2455	Ἰούδας	Ioudas	Ἰούδας	Judah/Judas/Jude	Judah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
