Strong_padded	Strong_eredeti	Teljes_szocikk
G0001	G1	G1 — Α, ἄλφα τό, the first letter of the Greek alphabet, opening the series which the letter omega ω closes. Hence, the expression ἐγώ εἰμί τό Α (L T Tr WH ἄλφα) καί τό Ω (Ὦ L WH), Rev 1:8, Rev 1:11 Rec., which is explained by the appended words ἡ ἀρχή καί τό τέλος, Rev 21:6, and by the further addition ὁ πρῶτος καί ὁ ἔσχατος, Rev 22:13. On the meaning of the phrase cf. Rev 11:17; Isa 41:4; Isa 44:6; Isa 48:12; (especially B. D. American edition, p. 73). Α, when prefixed to words as an inseparable syllable, is: 1. privative (στερητικόν), like the Latinin-, the English un-, giving a negative sense to the word to which it is prefixed, as ἀβαρής; or signifying what is contrary to it, as ἄτιμος, ἀτιμόω; before vowels generally αν(, as in ἀναίτιος. 2. copulative (ἀθροιστικόν), akin to the particle ἅμα (cf. Curtius, § 598), indicating community and fellowship, as in ἀδελφός, ἀκόλουθος. Hence, it is: 3. intensive (ἐπιτατικόν), strengthening the force of terms, like the Latincon in composition; as ἀτενίζω from ἀτενής (yet cf. Winers Grammar, 100 (95)). This use, however, is doubted or denied now by many (e. g. Lob. Path. Element. i. 34f). Cf. Kühner, i. 741, § 339 Anm. 5; (Jelf, § 342 δ.); Alexander Buttmann (1873) Gram. § 120 Anm. 11; (Donaldson, Gram., p. 334; New Crat. §§ 185, 213; Liddell and Scott, under the word).
G0002	G2	G2 — Ἀαρών indeclinable proper name (ὁ Ἀαρών, (ῶνος in Josephus), אַהֲרֹן (from the unused Hebrew radical אָהַר — Syriac )rYha ( )libidinosus,lascivus — enlightened, Fürst; according to Dietrich wealthy, or fluent, like אומָר, according to Philo, de ebriet. § 32, from הַר mountain and equivalent to ὀρεινός), Aaron, the brother of Moses, the first high priest of the Israelites and the head of the whole sacerdotal order: Luk 1:5; Act 7:40; Heb 5:4; Heb 7:11; Heb 9:4.
G0003	G3	G3 — Ἀβαδδών indeclinable, אֲבַדּון, 1. ruin, destruction (from אָבַד to perish), Job 31:12. 2. the place of destruction equivalent to Orcus, joined with שְׁאול, Job 26:6; Pro 15:11. 3. as a proper name it is given to the angel-prince of the infernal regions, the minister of death and author of havoc on earth, and is rendered in Greek by Ἀπολλύων Destroyer, Rev 11:11.
G0004	G4	G4 — ἀβαρής (ές (βάρος weight), without weight, light; tropically, not burdensome: ἀβαρῆ ὑμῖν, ἐμαυτόν ἐτήρησα I have avoided burdening you with expense on my account, 2Co 11:9; see 1Th 2:9, cf. 6. (From Aristotle down.)
G0005	G5	G5 — Ἀββᾶ (WH (βά), Hebrew אָב father, in the Chaldean emphatic state, אַבָּא i. e. ὁ πατήρ, a customary title of God in prayer. Whenever it occurs in the N. T. (Mar 14:36; Rom 8:15; Gal 4:6) it has the Greek interpretation subjoined to it; this is apparently to be explained by the fact that the Chaldee אַבָּא, through frequent use in prayer, gradually acquired the nature of a most sacred proper name, to which the Greek-speaking Jews added the appellative from their own tongue.
G0006	G6	G6 — Ἄβελ (WH Ἅβ. (see their Introductory § 408)), indeclinable proper name (in Josephus (e. g. Antiquities 1, 2, 1) Ἄβελος, ), חֶבֶל (breath, vanity), Abel, the second son born to Adam (Gen 4:2ff), so called from his short life and sudden death (cf. B. D. American edition, p. 5), (Job 7:16; Psa 39:6): Mat 23:35; Luk 11:51; Heb 11:4; Heb 12:24.
G0007	G7	G7 — Ἀβιά indeclinable proper name (Josephus, Antiquities 7, 10, 3; 8, 10, 1 ὁ Ἀβίας (Winer's Grammar, § 6, 1 m.), ), אֲבִיָה and אֲבִיָהוּ (my father is Jehovah), Abia (or Abijah, cf. B. D. under the word), 1. a king of Judah, son of Rehoboam: Mat 1:7 (1Ki 14:31; 1Ki 15:1). 2. a priest, the head of a sacerdotal family, from whom, when David divided the priests into twenty-four classes (1Ch 24:10), the class Abia, the eighth in order, took its name: Luk 1:5.
G0008	G8	G8 — Ἀβιαθάρ indeclinable proper name (though in Josephus, Antiquities 6, 14, 6 Ἀβιαθάρος, ), אֶבְיָתָר (father of abundance), Abiathar, a certain Hebrew high priest: Mar 2:26 — where he is by mistake confounded with Ahimelech his father (1Sa 21:1ff); (yet cf. 1Sa 22:20 with 1Ch 18:16; 1Ch 24:6, 1Ch 24:31; also 2Sa 15:24-29; 1Ki 2:26, 1Ki 2:27 with 2Sa 8:17; 1Ch 24:6, 1Ch 24:31. It would seem that double names were especially common in the case of priests (cf. 1 Macc. 2:1-5; Josephus, Vit. §§1,2) and that father and son often bore the same name (cf. Luk 1:5, Luk 1:59; Josephus, the passage cited and Antiquities 20, 9, 1). See McClellan at the passage and B. D. American edition, p. 7).
G0009	G9	G9 — Ἀβιληνή (WH Ἀβειλ. (see under the word εἰ)), (ῆς, ἡ (namely, χώρα, the district belonging to the city Abila). Abilene, the name of a region lying between Lebanon and Hermon toward Phoenicia, 18 miles distant from Damascus and 37 (according to the Itin. Anton. 38) from Heliopolis: Luk 3:1. Cf. Λυσανίας (and B. D. under the word).
G0010	G10	G10 — Ἀβιούδ ὁ, indeclinable proper name, אֲבִיהוּד (father of the Jews (others, of glory)), Abiud, son of Zorobabel or Zerubbabel: Mat 1:13.
