# GENERÁLT: eszkozok/ubs_dntg_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
entry_id	lemma	tipus	nyers_ertek	allapot
000001000000000	α	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000244000000000	Ἀλμεί	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000301000000000	Ἀμών	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000517000000000	Ἀουλία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000632000000000	ἀποπληρόω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000698000000000	Ἀρηί	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000713000000000	Ἀρμίν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000755000000000	Ἀσά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000783000000000	Ἀσσά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000894000000000	β	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000951000000000	Βελζεθά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000960000000000	Βέρος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000961000000000	Βεωορσόρ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000962000000000	Βεώρ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000963000000000	Βηδσαϊδάν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000964000000000	Βηζαθά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000965000000000	Βηθαβαρά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000967000000000	Βηθαραβά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000968000000000	Βηθεσδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000974000000000	Βηρεύς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000976000000000	Βησσαϊδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
000985000000000	Βιθαρά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001049000000000	γ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001057000000000	Γαζαρηνός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001067000000000	Γαλλία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001075000000000	Γαύδη	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001098000000000	Γεργεσηνός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001100000000000	Γερσινός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001141000000000	Γύλλιον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001152000000000	Δαδδαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001186000000000	δεινός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001193000000000	δεκαοκτώ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001222000000000	δευτερόπρωτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001236000000000	δήποτε	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001410000000000	Δονεῖ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001416000000000	Δουβέριος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001457000000000	δωροφορία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001467000000000	Ἑβραϊκός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001496000000000	Ἔγυπτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001677000000000	ἕλιγμα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001740000000000	ἐναντιόομαι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001865000000000	ἐξουσιαστικός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
001994000000000	ἐπισείω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002152000000000	εὐπερίσπαστος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002285000000000	Θαδαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002361000000000	θρῆνος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002369000000000	θρύπτω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002459000000000	Ἰουνία	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002489000000000	Ἰωακείμ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002491000000000	Ἰωανᾶς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002493000000000	Ἰωαννᾶς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002499000000000	Ἰωνάθας	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002599000000000	Καρυῶτος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002604000000000	καταβαπτίζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002608000000000	καταβιβάζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002674000000000	καταπίμπρημι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002794000000000	κηρίον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002808000000000	κίνησις	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
002816000000000	Κλαῦδα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003019000000000	Λεββαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003020000000000	Λεββεδαῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003035000000000	Λευεί	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003036000000000	Λευής	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003111000000000	Μαγαδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003113000000000	Μαγδαλά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003114000000000	Μαγδαλάν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003116000000000	Μαγεδά	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003117000000000	Μαγεδάν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003208000000000	μελίσσιος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003279000000000	μήγε	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003391000000000	Ναραῖος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003427000000000	Νήφα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003456000000000	νόσημα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003480000000000	ξαίνω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003549000000000	ὀλίγως	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003565000000000	ὅμιλος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003605000000000	ὁπότε	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003642000000000	ὅρος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003884000000000	πειθώ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003952000000000	περιραίνω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003953000000000	περιραντίζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
003987000000000	πηρόω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004097000000000	πόντος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004193000000000	προκατέχομαι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004225000000000	προσανέχω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004227000000000	προσαχέω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004228000000000	προσβιβάζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004235000000000	προσεγγίζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004260000000000	προσλέγω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004338000000000	Πύθιος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004372000000000	ῥαίνω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004415000000000	Ῥωμαϊκός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004435000000000	Σαλμάν	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004476000000000	Σειλεᾶς	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004519000000000	σιρός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004530000000000	Σκαριότα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004570000000000	σμῆγμα	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004648000000000	Στογύλιον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004662000000000	στρατοπέδαρχος	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004668000000000	Στρογγύλιον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004707000000000	συζήτησις	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004906000000000	Ταδδαῖον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
004922000000000	ταραχή	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005052000000000	τροφοφορέω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005065000000000	Τρωγύλλιον	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005073000000000	τυρβάζομαι	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005118000000000	ὑπερασπίζω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005191000000000	ὑσσός	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005197000000000	ὑφαίνω	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
005473000000000	ψίξ	strong_nelkul	[]	AZONOSITVA, NEM JAVITVA
