# GENERÁLT: eszkozok/ubs_dntg_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	lemma	main_id	lexid	entry_kod	domen_kod	domen	definicio_rovid	definicio_hosszu	glosszak	megjegyzes
G0001	G0001a	ἄλφα	000253000000000	000253001001000	61.7	061	Sequence	the first in a series, with implications of significance or importance	—	alpha; the first; the beginning	This expression is explained in some manuscripts as ‘the beginning and the end’ and in others as ‘the first and the last’ and in {S:06602201300006} as both ‘the first and the last’ and ‘the beginning and the end.’ The combination of alpha and omega in secular literature came to designate the entire universe and all kinds of divine and demonic powers, so that in Revelation this title could refer to Christ’s dominion over the universe. In the use of such an expression as ‘the alpha and the omega,’ there is obviously also an important element of status.
G0002	G0002	Ἀαρών	000002000000000	000002001001000	93.1	093001	Persons	the elder brother of Moses and Israel’s first high priest	—	Aaron	—
G0003	G0003	Ἀβαδδών	000003000000000	000003001001000	93.2	093001	Persons	the Hebrew name for the ruling angel in Hell; see {D:93.32}	—	Abaddon meaning Destroyer	—
G0004	G0004	ἀβαρής	000004000000000	000004001001000	57.225	057019	Be a Financial Burden	(a figurative extension of meaning of ἀβαρής ‘to be light in weight,’ not occurring in the NT) pertaining to not being financially burdensome to anyone	—	not being financially burdensome	—
G0005	G0005	ἀββά	000005000000000	000005001001000	12.12	012001	Supernatural Beings	(title for God; a Greek transliteration of an Aramaic word meaning ‘father’) one who combines aspects of supernatural authority and care for his people	—	Father	Though there is a widespread tendency to preserve the Aramaic transliteration in the form of either abba or aba, there are frequent dangers in doing so, since the transliterated form may actually correspond to another word in a receptor language and thus provide an obstacle to proper understanding. In general, there is no point in a translation of ἀββά, since the resulting expression would simply be Father Father. Accordingly, in many languages the combination of Abba, Father is simply reduced to Father. In a number of languages, however, a vocative form (that is to say, a form used in direct address) is different from a form used in speaking about God as Father. It is, of course, essential to employ the appropriate grammatical form.|In a number of languages it is necessary to distinguish clearly between ‘Father’ when referring to the heavenly Father and ‘father’ as a reference to a human father. The use of capitalization is quite satisfactory for the individual who is reading a text but not for one who is hearing it read, and since more people hear a text read than read it for themselves, it is essential that the reference of ‘Father’ be clear. In order to identify the use of ‘Father’ as a title for God, it is possible in many languages to use ‘Father in heaven’ or ‘Father above’ or ‘Father God.’|In some languages it may even be necessary to identify the ‘Father’ as the creator and therefore employ a phrase such as ‘our Father who created us.’|A particularly complicating factor involved in the use of ‘Father’ as a title for God is its occurrence without a pronominal reference as to whose father is involved. For example, in a number of languages one cannot speak of ‘father’ without indicating whose father, because a person does not become a father except by some relationship to another individual. Therefore, one must always speak of ‘my father’ or ‘his father’ and never simply ‘the father.’ In passages in which Jesus is speaking of ‘the Father’ in relationship to himself, it is necessary usually to employ a phrase such as ‘my Father.’ When, however, ‘Father’ is used as a title for ‘God’ in his relationship to people generally, then one may speak of ‘our Father’ (normally with an inclusive first person plural pronoun if the language in question makes a distinction between inclusive and exclusive first person plural pronoun referents).
G0006	G0006	Ἅβελ	000006000000000	000006001001000	93.3	093001	Persons	the second son of Adam and Eve and the brother of Cain	—	Abel	—
G0007	G0007	Ἀβιά	000007000000000	000007001001000	93.4a	093001	Persons	a person in the genealogy of Jesus	—	Abijah	—
G0007	G0007	Ἀβιά	000007000000000	000007001002000	93.4b	093001	Persons	a founder of a class of priests	—	Abijah	—
G0008	G0008	Ἀβιαθάρ	000008000000000	000008001001000	93.5	093001	Persons	a priest to David	—	Abiathar	—
G0009	G0009	Ἀβιληνή	000009000000000	000009001001000	93.389	093002	Places	a territory around the city of Abila, northwest of Damascus and ruled over by Lysanias	—	Abilene	—
